restaurant,region,restaurant,other,address,other,phone number,location,other
Kohaku - Roma - un ristorante della Guida MICHELIN,Lazio     Ristoranti Roma,Kohaku,,"via Marche 66, Roma, 00187, Italia","€€€€
                        ·
                    

                    
                        Giapponese contemporanea",+39 06 4566 5202,Cerca un hotel a Roma,Sabrina Rossi/Kohaku            Sabrina Rossi/Kohaku            Sabrina Rossi/Kohaku            Sabrina Rossi/Kohaku            Sabrina Bai/Kohaku            Sabrina Rossi/Kohaku            Sabrina Rossi/Kohaku            Sabrina Rossi/Kohaku
,,,,,,,,
Estrò - Pescara - un ristorante della Guida MICHELIN,Abruzzo     Ristoranti Pescara,Estrò,6.0,"piazza della Rinascita 23, Pescara, 65122, Italia","€
                        ·
                    

                    
                        Contemporanea, Del territorio",+39 085 62388,Cerca un hotel a Pescara,ALESSIO MITOLA/Estrò            ALESSIO MITOLA/Estrò            ALESSIO MITOLA/Estrò            ALESSIO MITOLA/Estrò            ALESSIO MITOLA/Estrò            Alessio Mitola /Estrò
CRUdoRE - Napoli - un ristorante della Guida MICHELIN,Campania     Ristoranti Napoli,CRUdoRE,7.0,"via Carlo Poerio 45/46, Napoli, 80121, Italia","€€€
                        ·
                    

                    
                        Pesce e frutti di mare",+39 081 1916 8806,Cerca un hotel a Napoli,lotti giovanni/Cru...do...Re            Cru...do...Re            LOTTI GIOVANNI/Cru...do...Re            LOTTI GIOVANNI/Cru...do...Re            LOTTI GIOVANNI/Cru...do...Re            lotti giovanni/Cru...do...Re            lotti giovanni/Cru...do...Re
,,,,,,,,
La Posta - Cavour - un ristorante della Guida MICHELIN,Piemonte     Ristoranti Cavour,La Posta,11.0,"via dei Fossi 4, Cavour, 10061, Italia","€€
                        ·
                    

                    
                        Piemontese, Tradizionale",+39 0121 69989,Cerca un hotel a Cavour,La Posta            Andrea Balzano/La Posta            La Posta            La Posta            La Posta            La Posta            La Posta            La Posta            La Posta            La Posta            La Posta
,,,,,,,,
Carusu - Agrigento - un ristorante della Guida MICHELIN,Sicilia     Ristoranti Agrigento,Carusu,9.0,"passeggiata Archeologica 8, Agrigento, 92100, Italia","€€€
                        ·
                    

                    
                        Creativa",+39 0922 691893,Cerca un hotel a Agrigento,Officina digitale /Carusu            Officina digitale /Carusu            Officina digitale /Carusu            Officina digitale /Carusu            Officina digitale /Carusu            Officina digitale /Carusu            Officina digitale /Carusu            Officina digitale/Carusu            Officina digitale/Carusu
San Tommaso 10 - Torino - un ristorante della Guida MICHELIN,Piemonte     Ristoranti Torino,San Tommaso 10,4.0,"via San Tommaso 10, Torino, 10122, Italia","€€€
                        ·
                    

                    
                        Piemontese, Moderna",+39 011 534201,Cerca un hotel a Torino,andrea guermani/San Tommaso 10            stefano videtta/San Tommaso 10            Andrea Guermani/San Tommaso 10            andrea guermani/San Tommaso 10
Dallo Zio - Rimini - un ristorante della Guida MICHELIN,Emilia-Romagna     Ristoranti Rimini,Dallo Zio,7.0,"via Santa Chiara 16, Rimini, 47921, Italia","€€
                        ·
                    

                    
                        Pesce e frutti di mare, Classica",+39 0541 786747,Cerca un hotel a Rimini,Giulio Cesare Semprini/Dallo Zio            Giulio Cesare Semprini/Dallo Zio            Giulio Cesare Semprini/Dallo Zio            Giulio Cesare Semprini/Dallo Zio            Giulio Cesare Semprini/Dallo Zio            Giulio Cesare Semprini/Dallo Zio            Giulio Cesare Semprini/Dallo Zio
Al Gatto Verde - Modena - un ristorante della Guida MICHELIN,Emilia-Romagna     Ristoranti Modena,Al Gatto Verde,7.0,"Stradello Bonaghino 56, Modena, 41126, Italia","€€€€
                        ·
                    

                    
                        Contemporanea, Emiliana",+39 059 469054,Cerca un hotel a Modena,Lido Vannucchi/Al Gatto Verde            Lido Vannucchi/Al Gatto Verde            Lido Vannucchi/Al Gatto Verde            Lido Vannucchi/Al Gatto Verde            Lido Vannucchi/Al Gatto Verde            Lido Vannucchi/Al Gatto Verde            Lido Vannucchi/Al Gatto Verde
Le Vie del Borgo - Toceno - un ristorante della Guida MICHELIN,Piemonte     Ristoranti Toceno,Le Vie del Borgo,5.0,"via alla Piazza 6, Toceno, 28858, Italia","€€
                        ·
                    

                    
                        Del territorio, Contemporanea",+39 346 624 9050,Cerca un hotel a Toceno,Le Vie del Borgo            Le Vie del Borgo            Le Vie del Borgo            Le Vie del Borgo            Le Vie del Borgo
Casu Osteria Contemporanea - Giarre - un ristorante della Guida MICHELIN,Sicilia     Ristoranti Giarre,Casu Osteria Contemporanea,,"corso Italia 294, Giarre, 95014, Italia","€€
                        ·
                    

                    
                        Siciliana, Moderna",+39 380 862 2848,Cerca un hotel a Giarre,Bonafè Licia /Casu Osteria Contemporanea            Casu Osteria Contemporanea            Licia Bonafè /Casu Osteria Contemporanea            Casu Osteria Contemporanea            Bonafè Licia/Casu Osteria Contemporanea            Casu Osteria Contemporanea            Casu Osteria Contemporanea            Bonafè Licia /Casu Osteria Contemporanea
La Cerreta Osteria - Sassetta - un ristorante della Guida MICHELIN,,La Cerreta Osteria,14.0,"via della Cerreta 7, Sassetta, 57120, Italia","€€
                        ·
                    

                    
                        Toscana, Tradizionale",+39 0565 794352,Cerca un hotel a Sassetta,Emma Mazzitelli/La Cerreta Osteria            Emma Mazzitelli/La Cerreta Osteria            Emma Mazzitelli/La Cerreta Osteria            Emma Mazzitelli/La Cerreta Osteria            Emma Mazzitelli/La Cerreta Osteria            Emma Mazzitelli/La Cerreta Osteria            Emma Mazzitelli/La Cerreta Osteria            Emma Mazzitelli/La Cerreta Osteria            Emma Mazzitelli/La Cerreta Osteria            La Cerreta Osteria            Emma Mazzitelli/La Cerreta Osteria            Lido Vannucchi/La Cerreta Osteria            Lido Vannucchi/La Cerreta Osteria            Lido Vannucchi/La Cerreta Osteria
La Risacca Blu - Milano - un ristorante della Guida MICHELIN,Lombardia     Ristoranti Milano,La Risacca Blu,6.0,"via Tunisia, angolo via Tadino, Milano, 20124, Italia","€€€
                        ·
                    

                    
                        Pesce e frutti di mare",+39 02 2048 0964,Cerca un hotel a Milano,Gualianone Carmelo/La Risacca Blu            Titolare/La Risacca Blu            Gualianone Carmelo/La Risacca Blu            Gualianone Carmelo/La Risacca Blu            Titolare/La Risacca Blu            Gualianone Carmelo/La Risacca Blu
El Brite di Larieto - Cortina d'Ampezzo - un ristorante della Guida MICHELIN,Veneto     Ristoranti Cortina d'Ampezzo,El Brite di Larieto,7.0,"Località Larieto, strada per Passo Tre Croci, Cortina d'Ampezzo, 32043, Italia","€€€
                        ·
                    

                    
                        Alpina, Tradizionale",+39 368 700 8083,Cerca un hotel a Cortina d'Ampezzo,Stefania Giorgi/El Brite di Larieto            Stefania Giorgi/El Brite di Larieto            Stefania Giorgi/El Brite di Larieto            Stefania Giorgi/El Brite di Larieto            Stefania Giorgi/El Brite di Larieto            Stefania Giorgi/El Brite di Larieto            Stefania Giorgi/El Brite di Larieto
Ling's Ravioleria Migrante - Bologna - un ristorante della Guida MICHELIN,Emilia-Romagna     Ristoranti Bologna,Ling's Ravioleria Migrante,9.0,"via Leandro Alberti 34/2c, Bologna, 40137, Italia","€
                        ·
                    

                    
                        Asiatica, Fusion",+39 351 577 1536,Cerca un hotel a Bologna,Michela Balboni/Ling's Ravioleria Migrante            Michela Balboni/Ling's Ravioleria Migrante            Michela Balboni/Ling's Ravioleria Migrante            Michela Balboni/Ling's Ravioleria Migrante            Michela Balboni/Ling's Ravioleria Migrante            Michela Balboni/Ling's Ravioleria Migrante            Michela Balboni/Ling's Ravioleria Migrante            Michela Balboni/Ling's Ravioleria Migrante            Michela Balboni/Ling's Ravioleria Migrante
Il Bavaglino - Terrasini - un ristorante della Guida MICHELIN,Sicilia     Ristoranti Terrasini,Il Bavaglino,6.0,"via dei Mille 2/b, Terrasini, 90049, Italia","€€€
                        ·
                    

                    
                        Creativa, Contemporanea",+39 091 868 2285,Cerca un hotel a Terrasini,Aluia Vincenzo/Il Bavaglino            Aluia Vincenzo/Il Bavaglino            Aluia Vincenzo/Il Bavaglino            Aluia Vincenzo/Il Bavaglino            Aluia Vincenzo/Il Bavaglino            Aluia Vincenzo/Il Bavaglino
SaQua by Il Frantoio - Montescudaio - un ristorante della Guida MICHELIN,,SaQua by Il Frantoio,4.0,"viale Vittorio Veneto 40, Montescudaio, 56040, Italia","€€
                        ·
                    

                    
                        Toscana, Contemporanea",+39 0586 650381,Cerca un hotel a Montescudaio,Matteo Serpi/Il Frantoio            Matteo Serpi/Il Frantoio            Matteo Serpi/Il Frantoio            Matteo Serpi/Il Frantoio
Il Frantoio - Colle di Val d'Elsa - un ristorante della Guida MICHELIN,,Il Frantoio,17.0,"via del Castello 40, Colle di Val d'Elsa, 53034, Italia","€€
                        ·
                    

                    
                        Italiana contemporanea, Moderna",+39 0577 923652,Cerca un hotel a Colle di Val d'Elsa,Digital Tomato/Il Frantoio            Digital Tomato/Il Frantoio            Digital Tomato/Il Frantoio            digital tomato/Il Frantoio            digital tomato/Il Frantoio            digital tomato/Il Frantoio            digital tomato/Il Frantoio            digital tomato/Il Frantoio            digital tomato/Il Frantoio            digital tomato/Il Frantoio            digital tomato/Il Frantoio            digital tomato/Il Frantoio            digital tomato/Il Frantoio            Digital Tomato/Il Frantoio            digital tomato/Il Frantoio            digital tomato/Il Frantoio            Digital Tomato /Il Frantoio
Savô - Laigueglia - un ristorante della Guida MICHELIN,Liguria     Ristoranti Laigueglia,Savô,11.0,"piazza XXV Aprile 8, Laigueglia, 17053, Italia","€€€
                        ·
                    

                    
                        Italiana contemporanea",+39 0182 038029,Cerca un hotel a Laigueglia,Letizia Cigliutti/Savô            Lorenzo Butti/Savô            Letizia Cigliutti/Savô            Lorenzo Butti/Savô            Letizia Cigliutti/Savô            Letizia Cigliutti/Savô            Letizia Cigliutti/Savô            Lorenzo Butti/Savô            Letizia Cigliutti/Savô            Lorenzo Butti/Savô            Lorenzo Butti/Savô
Ladinia - Corvara in Badia - un ristorante della Guida MICHELIN,Trentino-Alto Adige     Ristoranti Corvara in Badia,Ladinia,6.0,"strada Pedercorvara 10, Corvara in Badia, 39033, Italia","€€
                        ·
                    

                    
                        Regionale, Italiana contemporanea",+39 0471 836010,Cerca un hotel a Corvara in Badia,Ladinia            Ladinia            Ladinia            Ladinia            Ladinia            Ladinia
Hosteria del Platano - Varenna - un ristorante della Guida MICHELIN,Lombardia     Ristoranti Varenna,Hosteria del Platano,,"via Statale 29, Varenna, 23829, Italia","€€
                        ·
                    

                    
                        Classica, Del territorio",+39 0341 815215,Cerca un hotel a Varenna,Andrea Pisapia/Hosteria del Platano            Andrea Pisapia/Hosteria del Platano            Andrea Pisapia/Hosteria del Platano            Andrea Pisapia/Hosteria del Platano            Andrea Pisapia/Hosteria del Platano            Andrea Pisapia/Hosteria del Platano            Andrea Pisapia/Hosteria del Platano            Andrea Pisapia/Hosteria del Platano
Stefano Mocellin al Padovanino - Padova - un ristorante della Guida MICHELIN,Veneto     Ristoranti Padova,Stefano Mocellin al Padovanino,6.0,"via Santa Chiara 1, Padova, 35123, Italia","€€€
                        ·
                    

                    
                        Creativa",+39 375 619 7434,Cerca un hotel a Padova,Riccardo Ciriello /Stefano Mocellin al Padovanino            Riccardo Ciriello/Stefano Mocellin al Padovanino            Leonard Regazzo/Stefano Mocellin al Padovanino            Ina Cenusa /Stefano Mocellin al Padovanino            Ina Cenusa/Stefano Mocellin al Padovanino            Ina Cenusa/Stefano Mocellin al Padovanino
Locanda 53 Supper Club - Arco - un ristorante della Guida MICHELIN,Trentino-Alto Adige     Ristoranti Arco,Locanda 53 Supper Club,9.0,"via Vergolano 53, Arco, 38062, Italia","€€€
                        ·
                    

                    
                        Contemporanea",+39 366 161 9666,Cerca un hotel a Arco,Carlo Faggionato /Locanda 53 Supper Club            CARLO FAGGIONATO/Locanda 53 Supper Club            Carlo Faggionato/Locanda 53 Supper Club            Carlo Faggionato/Locanda 53 Supper Club            CARLO FAGGIONATO/Locanda 53 Supper Club            CARLO FAGGIONATO/Locanda 53 Supper Club            Carlo Faggionato/Locanda 53 Supper Club            Carlo Faggionato /Locanda 53 Supper Club            CARLO FAGGIONATO/Locanda 53 Supper Club
Osteria Grande - Arezzo - un ristorante della Guida MICHELIN,,Osteria Grande,19.0,"piazza Grande 26, Arezzo, 52100, Italia","€€€
                        ·
                    

                    
                        Italiana contemporanea, Cucina di stagione",+39 348 691 0306,Cerca un hotel a Arezzo,Lido Vannucchi/Osteria Grande            Lido Vannucchi/Osteria Grande            Lido Vannucchi/Osteria Grande            Lido Vannucchi/Osteria Grande            Lido Vannucchi/Osteria Grande            Lido Vannucchi/Osteria Grande            Lido Vannucchi/Osteria Grande            Lido Vannucchi/Osteria Grande            Lido Vannucchi/Osteria Grande            Lido Vannucchi/Osteria Grande            Lido Vannucchi/Osteria Grande            Lido Vannucchi/Osteria Grande            Lido Vannucchi/Osteria Grande            Lido Vannucchi/Osteria Grande            Lido Vannucchi/Osteria Grande            Lido Vannucchi/Osteria Grande            Lido Vannucchi/Osteria Grande            Lido Vannucchi/Osteria Grande            Lido Vannucchi/Osteria Grande
,,,,,,,,
