Book Title,Book Title,Author,Book Title,Price,Price,Seller,Category,Pages,Price,Book Description,Book Description,Author,Book Title,Book Description,Book Title,Pages,Price,Price,Price,Book Title,Book Title,Date of publication,Price,Price,Book Title
Java Road - Lawrence Osborne,Java Road,Lawrence Osborne,"Traduzione di Mariagrazia Gini    Fabula  , 396   2023, pp. 209   isbn: 9788845937989","€ 19,00","€ 18,05",shya-la-la workshop limited,,2023 / pp. 209 /,"€ 10,99","Messico, Cambogia, Marocco, Bangkok: i veri protagonisti di Osborne sono i luoghi dei suoi romanzi. I personaggi sanno sempre dove sono; meno chiaro, ai loro stessi occhi, è  chi  sono: questa la scintilla che innesca il racconto.  Java Road  ci porta a Hong Kong, nel torbido clima di una società in crisi, di un regime in bilico: le proteste studentesche infiammano le strade, i ricchi si accingono a riparare all’estero e gli stranieri non sono più visti di buon occhio. Adrian Gyle è un oscuro giornalista inglese di mezza età che vive lì da oltre vent’anni, ma che per la gente del posto continua a essere un  gwai lo  , un «fantasma bianco». Tra le sue scarse frequentazioni, l’ex compagno di università Jimmy Tang, un cinico miliardario che sguazza nell’alta società di Hong Kong come un pesce nell’acqua e che un giorno gli presenta la sua ultima fiamma, una studentessa di buona famiglia coinvolta nei tumulti. Se ingolosisce i paparazzi, la loro relazione preoccupa il clan Tang, tanto per i suoi risvolti politici quanto per il rischio di scandali: e quando la ragazza scomparirà nel nulla, sarà Adrian a condurre un’indagine in proprio – un’indagine che, forse, non è mossa solo dal desiderio di scoprire la verità. Sebbene le sue storie ci facciano girare il mondo, Osborne finisce per guidarci sempre nel posto che gli è più congeniale: la zona grigia al confine tra realtà e illusione, quella dove «cammini per strada nel sole di mezzogiorno e a un tratto ti accorgi che sul marciapiede la tua ombra non c’è».","Cosa faresti se il tuo più vecchio amico
fosse un assassino, ma non ne avessi le
prove?",Lawrence Osborne,Il regno di vetro,"Osborne, erede accreditato di Graham Greene, sfodera a sorpresa un finale degno di Ballard. E il lettore si trova immerso con sgomento in una imprevedibile ghost-story.","Fabula, 379",2022 / pp. 265 /,"€ 20,00","€ 16,00","€ 10,99",La ballata di un piccolo giocatore,"Fabula, 336",2018 / pp. 212 /,"€ 18,00","€ 14,40","Han Kang   L’ora di greco   «Un romanzo eccelso che diventa più profondo a ogni lettura» («The Guardian»).              Benjamín Labatut   Maniac   L’odissea nera di John von Neumann, l’uomo che disegnò la mappa infernale del mondo che oggi abitiamo, nel nuovo straordinario libro di Benjamín Labatut.              Ian Fleming   Al servizio segreto di Sua Maestà   Uno dei più celebri, e rapinosi, capitoli delle avventure di James Bond.                  Michael Bible   L’ultima cosa bella sulla faccia della terra   «Un pugno nello stomaco» («New York Times Book Review»).              Pierre Boileau, Thomas Narcejac   I volti dell’ombra   Una lenta, inesorabile discesa nell’incubo.              Jean Stafford   Il puma   Una grande scrittrice che attende ancora di essere scoperta.                  Inès Cagnati   Giorno di vacanza   Il dolore delle origini in un romanzo di insolente intensità.              Peter Cameron   Che cosa fa la gente tutto il giorno?   I moti infinitesimali del nostro animo svelati dal Cameron più penetrante.              Christopher Isherwood   Il mondo di sera   Isherwood al massimo del suo estro narrativo."
"Ricordi e commenti - Igor’ Stravinskij, Robert Craft",Ricordi e commenti,"Igor’ Stravinskij  ,  Robert Craft","Traduzione di Franco Salvatorelli    gli Adelphi  , 679   2023, pp. 414   isbn: 9788845938450","€ 14,00","€ 13,30","irving penn, vogue / condé nast",Interviste         Ritratti         Musica,2008 / pp. 414 /,"€ 36,00      € 28,80","«Di recente ho visto Stravinskij... Dice: il mio  Uccello di fuoco  , la mia  Sagra  , allo stesso modo in cui un bambino dice: la mia trottola, il mio cerchio. E non è altro che questo: un bambino viziato che talvolta mette le dita nel naso della musica. O un giovane selvaggio che porta cravatte chiassose e fa il baciamano alle signore mentre pesta loro i piedi. Da vecchio sarà insopportabile, o meglio, non sopporterà nessuna musica; ma per ora è straordinario!».     Claude Debussy","Vita, incontri, pensieri del grande  sorcier  del Novecento musicale.",,,,,,,,,,,,,,"Ingeborg Bachmann   Il libro Franza   «Anzi io affermo – e tenterò soltanto di fornire una prima prova – che ancora oggi moltissime persone non muoiono ma vengono assassinate».              Daisetz T. Suzuki   Lo Zen e la cultura giapponese   La migliore guida per avvicinarsi al Giappone.              Alfred Polgar   Marlene   La sola attrice capace di «far sognare il nostro sangue nelle vene».                  Kenneth Anger   Hollywood Babilonia, II   «... un universo splendido e crudelissimo, mistura di paradiso e inferno, di lustrini e di lacrime, di successo e di abiezione» (Giovanni Mariotti).              Georges Simenon   Gli altri   Un suicidio inspiegabile, un’eredità contesa, una famiglia dilaniata da antichi dissapori – sotto lo sguardo inclemente di un’intera città.              Milan Kundera   L’arte del romanzo   «... il romanziere non è né uno storico, né un profeta: è un esploratore dell’esistenza» (Milan Kundera).                  Katherine Mansfield   Qualcosa di infantile ma di molto naturale   «La sola scrittura di cui sia mai stata invidiosa» (Virginia Woolf).              Sam Kean   La Brigata dei bastardi   L’avvincente racconto di una missione bellico-scientifica tanto misconosciuta quanto decisiva.              August Strindberg   Inferno   «Tra i miei lettori ho un autentico genio, lo svedese August Strindberg» (Friedrich Nietzsche a Meta von Salis, 29 dicembre 1888)."
Marlene - Alfred Polgar,Marlene,Alfred Polgar,"Traduzione di Maria Letizia Travo   A cura, e con un saggio, di Ulrich Weinzierl    gli Adelphi  , 681   2023, pp. 112   isbn: 9788845938436","€ 12,00","€ 11,40",deutsche kinemathek - marlene dietrich collection berlin,Letterature di lingua tedesca,2023 / pp. 112 /,"€ 6,99","A metà degli anni Venti in un teatro viennese anda­va in scena  Broadway  , una  dark comedy  impreziosita da «cinque signorine elegantemente svestite». Tra queste, ne spiccava una «di strana e avvincente bel­lezza», che «sbrigava la sua parte con una sorta di bal­danzosa bravura». Alfred Polgar, che era tra il pubbli­co, ne rimase folgorato. Tanto che a distanza di anni – quando quell’attrice, assurta a fama mondiale, era ormai diventata il simbolo stesso del divismo 
cine­matografico – scrisse questo ritratto ispirato, vera e propria ecfrasi dell’opera d’arte vivente che era Marlene Dietrich. Con quella leggerezza di tocco che lo aveva reso celebre nella Vienna di inizio Novecen­to, Polgar dipinge magistralmente i tratti che hanno fatto di Dietrich un fenomeno unico: un viso «che parla non solo all’occhio ma anche allo spirito»; una voce «in cui verità e illusione coesistono in maniera sconcertante», e che «esercita una fortissima magia erotica»; il portamento inconfondibile di chi «ha la musica dentro» – e una personalità che si riflette nei personaggi da lei interpretati: «donne per le quali l’amore è l’aria che respirano, la rinuncia un pecca­to contro natura, l’infedeltà un imperativo della fe­deltà che esse serbano al proprio io».",La sola attrice capace di «far sognare il nostro sangue nelle vene».,Alfred Polgar,Manuale del critico,,"Piccola Biblioteca Adelphi, 455",2000 / pp. 115 /,"€ 8,00","€ 6,40",,Piccole storie senza morale,"Biblioteca Adelphi, 291",1994 / pp. 417 /,"€ 29,00","€ 23,20","Ingeborg Bachmann   Il libro Franza   «Anzi io affermo – e tenterò soltanto di fornire una prima prova – che ancora oggi moltissime persone non muoiono ma vengono assassinate».              Daisetz T. Suzuki   Lo Zen e la cultura giapponese   La migliore guida per avvicinarsi al Giappone.              Kenneth Anger   Hollywood Babilonia, II   «... un universo splendido e crudelissimo, mistura di paradiso e inferno, di lustrini e di lacrime, di successo e di abiezione» (Giovanni Mariotti).                  Georges Simenon   Gli altri   Un suicidio inspiegabile, un’eredità contesa, una famiglia dilaniata da antichi dissapori – sotto lo sguardo inclemente di un’intera città.              Igor’ Stravinskij, Robert Craft   Ricordi e commenti   Vita, incontri, pensieri del grande  sorcier  del Novecento musicale.              Milan Kundera   L’arte del romanzo   «... il romanziere non è né uno storico, né un profeta: è un esploratore dell’esistenza» (Milan Kundera).                  Katherine Mansfield   Qualcosa di infantile ma di molto naturale   «La sola scrittura di cui sia mai stata invidiosa» (Virginia Woolf).              Sam Kean   La Brigata dei bastardi   L’avvincente racconto di una missione bellico-scientifica tanto misconosciuta quanto decisiva.              August Strindberg   Inferno   «Tra i miei lettori ho un autentico genio, lo svedese August Strindberg» (Friedrich Nietzsche a Meta von Salis, 29 dicembre 1888)."
Lettere di una vita - Irène Némirovsky,Lettere di una vita,Irène Némirovsky,"Traduzione di Laura Frausin Guarino   A cura di Olivier Philipponnat    La collana dei casi  , 150   2023, pp. 460   isbn: 9788845938344","€ 24,00","€ 22,80",stefano bianchetti / bridgeman images,Letteratura francese,2023 / pp. 460 /,"€ 16,99","«Irène Némirovsky non apparteneva alla categoria degli scrittori che, nel dedicarsi alla corrispondenza, si sentono osservati dalla posterità» osserva Olivier Philippon­nat nella prefazione a questo volume. E tuttavia, aggiunge, le sue lettere fanno par­te a pieno titolo dell’opera letteraria, so­prattutto perché ci consentono di scopri­re una voce più intima, più autentica, di­versa da quella che abbiamo imparato ad amare nei romanzi e nei racconti – sorprendente. Se le prime, le lettere delle  années folles  , ci restituiscono l’immagine di una ragazza vivace e spensierata che, pur le­gata alle sue origini russe (e al ricordo del­la tragedia a cui ha assistito), approfitta go­losamente di tutto quello che Parigi e la Francia possono offrirle – e che non perde l’ironia nemmeno quando si sente malinco­nica, arrivando a chiedersi: «Pene di cuo­re o indigestione di astice?» –, in quelle de­gli anni Trenta scopriamo la romanziera brillante e determinata, sia nei rapporti con gli editori che nei confronti della critica. Con lo scoppio della guerra, l’occupazio­ne nazista e le leggi antiebraiche, vediamo crescere in lei l’angoscia, la collera, la di­sillusione – e leggeremo con un nodo in gola la lettera con cui affida le figlie alla governante, elencando i beni di cui disfar­si per provvedere al loro sostentamento, e l’ultima, scritta al marito subito prima del­la deportazione ad Auschwitz.",L’aspetto più segreto di Irène Némirovsky – e una parte essenziale della sua opera.,Irène Némirovsky,Tempesta in giugno,"«Irène Némirovsky possedeva i doni del grande roman­ziere, come se Tolstoj, Dostoevskij, Balzac, Flaubert, Turgenev le fossero accanto e le guidassero la mano». (Pietro Citati)","Biblioteca Adelphi, 734",2022 / pp. 339 /,"€ 20,00","€ 16,00","€ 10,99",Il vino della solitudine,"gli Adelphi, 445",2013 / pp. 245 /,"€ 11,00","€ 8,80","William Atkins   Un mondo senza confini   «Solo due tipi di esseri si trovano bene nel deserto: i beduini e gli dèi» (Lawrence d’Arabia).              Vasilij Golovanov   Verso le rovine di Čevengur   «Dopo il crollo del comunismo e la caduta del Muro di Berlino, non abbiamo più un altrove.» (Vasilij Golovanov)              Emmanuel Carrère   V13   Un viaggio al termine dell’orrore e della pietà raccontato con lucida empatia, senza
un’ombra di enfasi o di lirismo, dall’autore dell’  Avversario  .                  David Quammen   Senza respiro   In contemporanea con l’uscita negli Stati Uniti, il nuovo libro di David Quammen sugli «angeli oscuri dell’evoluzione»: i virus.              Michael Pollan   Piante che cambiano la mente   Che cos’è davvero una droga?              Azar Nafisi   Quell'altro mondo   Esiliata in patria, prigioniera di un regime totalitario, lacerata da un sentimento di irrealtà, abbandono e isolamento, Azar Nafisi non poteva che tornare all’amato Nabokov.                  Sam Kean   La Brigata dei bastardi   L’avvincente racconto di una missione bellico-scientifica tanto misconosciuta quanto decisiva.              William S. Burroughs   Il mio passato è un fiume malvagio   Nel laboratorio di Burroughs.              Benedetta Craveri   La contessa   «Portava la sua giovinezza come un’im­mortalità» (Gabriele D’Annunzio)."
Maniac - Benjamín Labatut,Maniac,Benjamín Labatut,"Traduzione di Norman Gobetti    Fabula  , 395   2023, pp. 361   isbn: 9788845938320",,,kevin cooley,,2023 / pp. 361 /,,,"L’odissea nera di John von Neumann, l’uomo che disegnò la mappa infernale del mondo che oggi abitiamo, nel nuovo straordinario libro di Benjamín Labatut.",Benjamín Labatut,La pietra della follia,"Come e quando gli incubi di Lovecraft, le visioni di Philip K. Dick e l’inquietante matematica di Hilbert abbiano finito per diventare qualcosa che assomiglia al nostro mondo. O peggio, che lo è.","Microgrammi, 13",2021 / pp. 77 /,"€ 5,00","€ 4,00","€ 1,99",Quando abbiamo smesso di capire il mondo,"Fabula, 365",2021 / pp. 180 /,"€ 18,00","€ 14,40","Lawrence Osborne   Java Road   Cosa faresti se il tuo più vecchio amico
fosse un assassino, ma non ne avessi le
prove?              Han Kang   L’ora di greco   «Un romanzo eccelso che diventa più profondo a ogni lettura» («The Guardian»).              Ian Fleming   Al servizio segreto di Sua Maestà   Uno dei più celebri, e rapinosi, capitoli delle avventure di James Bond.                  Michael Bible   L’ultima cosa bella sulla faccia della terra   «Un pugno nello stomaco» («New York Times Book Review»).              Pierre Boileau, Thomas Narcejac   I volti dell’ombra   Una lenta, inesorabile discesa nell’incubo.              Jean Stafford   Il puma   Una grande scrittrice che attende ancora di essere scoperta.                  Inès Cagnati   Giorno di vacanza   Il dolore delle origini in un romanzo di insolente intensità.              Peter Cameron   Che cosa fa la gente tutto il giorno?   I moti infinitesimali del nostro animo svelati dal Cameron più penetrante.              Christopher Isherwood   Il mondo di sera   Isherwood al massimo del suo estro narrativo."
Invocazione all’Orsa Maggiore - Ingeborg Bachmann,Invocazione all’Orsa Maggiore,Ingeborg Bachmann,"Edizione con testo a fronte a cura di Luigi Reitani   Con una Nota di Hans Höller    Biblioteca Adelphi  , 752   2023, pp. 362   isbn: 9788845938283","€ 24,00","€ 22,80","2023 musée des beaux-arts, nantes/rmn-grand palais/gérard blot/dist. foto scala, firenze",Letterature di lingua tedesca         Poesia,2023 / pp. 362 /,"€ 14,99","Nell’agosto 1956, in vista della pubblicazione di questa raccolta poetica, destinata a diventare celebre, Ingeborg Bachmann scriveva al redattore che si stava occupando del volume: «Sarei grata se nel risvolto non si desse la possibilità ai critici di “inchiodarmi” a un’interpretazione anticipata o simili». Le preoccupazioni dell’autrice non erano infondate, e difatti non mancò chi cercò di ricondurre  Invocazione all’Orsa Maggiore  agli schemi della critica letteraria dell’epoca. Tentativi peregrini, perché davvero nessuna categoria poteva attagliarsi alla poesia di quella giovane austriaca che già con la precedente raccolta si era imposta, nelle parole dello «Spiegel», come «la più importante poetessa tedesca del dopoguerra». Una poesia multiforme, cangiante, dove classico e moderno si fondono in versi ora audaci e spigolosi ora di chiara musicalità, e lo sguardo della Bachmann si mostra attento a cogliere la violenza della realtà e il dolore, in particolare nei paesaggi italiani, luminosi e arcaici, feriti e vitali, lontanissimi dai cliché della tradizione classico-romantica: «Nel mio paese primogenito, nel sud / mi assalì la vipera / e nella luce l’orrore». Un dolore che dev’essere accettato, reso concreto, se vogliamo superare i confini che ci vengono imposti e tendere all’impossibile, all’irraggiungibile, «sia esso l’amore, la libertà o qualsiasi entità pura». Se vogliamo diventare  vedenti  , sensibili al vero, il che implica smascherare le parole della frode, gli abusi di cui sono portatrici, affidandoci al linguaggio salvifico della poesia: «Vieni, grazia di suono e di fiato, / fortifica questa bocca, / quando la sua debolezza / ci atterrisce e frena. // Vieni e non ti negare, / poiché noi siamo in lotta con tanto male».","«Un Io lirico profondamente ambivalente, senza patria, sempre in viaggio di costa in costa, frontaliero...» (Siegfried Unseld).",Ingeborg Bachmann,Il libro Franza,«Anzi io affermo – e tenterò soltanto di fornire una prima prova – che ancora oggi moltissime persone non muoiono ma vengono assassinate».,"gli Adelphi, 684",2024 / pp. 377 /,"€ 14,00","€ 13,30","€ 24,00      € 19,20",Malina,"gli Adelphi, 235",2003 / pp. 297 /,"€ 13,00","€ 10,40",
Il Teorema di Pitagora - Paolo Zellini,Il Teorema di Pitagora,Paolo Zellini,"Piccola Biblioteca Adelphi  , 794   2023, 2ª ediz., pp. 157   isbn: 9788845938092","€ 14,00","€ 13,30",,Matematica         Storia della scienza,2023 / pp. 157 /,"€ 7,99","Il Teorema di Pitagora riassume in modo e­semplare le proprietà uniche ed esclusive del­l’angolo retto. Nella tradizione è legato al de­mone divino del filosofo di Samo, ma risale in realtà a tempi remoti ed è patrimonio comune di diverse culture. Ripresentandosi regolarmen­te in formalismi complessi, questo celeberri­mo Teorema si è rivelato una delle acquisizio­ni stabili e irrinunciabili della matematica, che continua a servirsene anche nelle sue tecniche avanzate. Ma se da un lato esprime aspetti es­senziali del pensiero antico, dall’altro offre un osservatorio privilegiato per scoprire come il calcolo moderno ha provveduto a rimuovere con ogni cura i motivi religiosi e filosofici che hanno segnato la sua origine. La conseguenza di questa rimozione è la rinuncia a una sfera più ampia dell’esattezza, e a quel mondo idea­le che per Hermann Weyl ne costituiva l’intimo cuore. Un cuore che questo nuovo, acuminato libro di Paolo Zellini ci permette di avvertire nelle sue pulsazioni più segrete.","Il più famigerato teorema della storia della matematica, che nessuno conosce.",Paolo Zellini,Discreto e continuo,La millenaria questione matematica del rapporto tra discreto e continuo.,"Biblioteca Scientifica, 67",2022 / pp. 406 /,"€ 28,00","€ 22,40","€ 13,99",La matematica degli dèi e gli algoritmi degli uomini,"Piccola Biblioteca Adelphi, 696",2016 / pp. 258 /,"€ 15,00","€ 12,00",
"Hollywood Babilonia, II - Kenneth Anger","Hollywood Babilonia, II",Kenneth Anger,"Traduzione di Davide Tortorella    gli Adelphi  , 682   2023, pp. 475   isbn: 9788845938467","€ 18,00","€ 17,10",,Cinema         Mitologie         Spettacolo,1986 / pp. 332 /,"€ 38,00","Dopo il leggendario  Hollywood Babilonia  , Kenneth Anger ci ha offerto, come seguito, questa scatola fragrante di «bonbon avvelenati». Che cosa ci troveremo? «Un supplemento di chicche & chiacchiericcio, o, se preferite, un supplemento di storia segreta del cinema. Signori e signore, vi offro il braccio per un’altra passeggiata lungo il Viale del Trapasso, la Strada della Fama di Hollywood, o la Strada dell’Infamia, come la chiamò Jane Whiters quando Hugh Hefner comprò la sua star sul lubrico marciapiede». La passeggiata non potrà che partire dalla tomba di Rodolfo Va-lentino, «nella quiete placida e orizzontale del cimitero di Hollywood». E subito ci sentiremo a casa, fra Gloria Swanson e gli imbrogli del vecchio Kennedy, fra le sottili torture praticate da Hitchcock sulle sue bionde preferite, Grace Kelly e Tippi Hedren, e ancora fra Busby Berkeley, Joan Crawford, Clark Gable, Carole Lombard, James Dean, Loretta Young, mentre spesso ci perdiamo stupefatti in un fastoso contorno di comparse che almeno un giorno furono protagoniste nell’epos nero di Hollywood.","«... un universo splendido e crudelissimo, mistura di paradiso e inferno, di lustrini e di lacrime, di successo e di abiezione» (Giovanni Mariotti).",,,,,,,,,,,,,,"Ingeborg Bachmann   Il libro Franza   «Anzi io affermo – e tenterò soltanto di fornire una prima prova – che ancora oggi moltissime persone non muoiono ma vengono assassinate».              Daisetz T. Suzuki   Lo Zen e la cultura giapponese   La migliore guida per avvicinarsi al Giappone.              Alfred Polgar   Marlene   La sola attrice capace di «far sognare il nostro sangue nelle vene».                  Georges Simenon   Gli altri   Un suicidio inspiegabile, un’eredità contesa, una famiglia dilaniata da antichi dissapori – sotto lo sguardo inclemente di un’intera città.              Igor’ Stravinskij, Robert Craft   Ricordi e commenti   Vita, incontri, pensieri del grande  sorcier  del Novecento musicale.              Milan Kundera   L’arte del romanzo   «... il romanziere non è né uno storico, né un profeta: è un esploratore dell’esistenza» (Milan Kundera).                  Katherine Mansfield   Qualcosa di infantile ma di molto naturale   «La sola scrittura di cui sia mai stata invidiosa» (Virginia Woolf).              Sam Kean   La Brigata dei bastardi   L’avvincente racconto di una missione bellico-scientifica tanto misconosciuta quanto decisiva.              August Strindberg   Inferno   «Tra i miei lettori ho un autentico genio, lo svedese August Strindberg» (Friedrich Nietzsche a Meta von Salis, 29 dicembre 1888)."
Qualcosa di infantile ma di molto naturale. Tutti i racconti - Katherine Mansfield,Qualcosa di infantile ma di molto naturale,Katherine Mansfield,"Prefazione di Lucia Drudi Demby   Note introduttive di John Middleton Murry    gli Adelphi  , 676   2023, pp. 889   isbn: 9788845938184","€ 18,00","€ 17,10",alamy stock photo,,,,"«Leggere, o rileggere dopo molti anni e molti libri, questi racconti, dà una sensazione di letizia dolorosa, la felicità severa di incontrare qualcuno che scriveva avendo in mente una sorta di perfezione, una scrittura elusiva ed impossibile, una letteratura esigente, rigorosa, spietata; e con quella idea della letteratura scriveva pagine di una lievità, una illusionistica inconsistenza, tra essere, alludere, cessare di essere; pagine che non vogliono voce per essere lette, ma non più di un sussurro interiore, una parlata di ombre, un chiacchierio di pure immagini che hanno rinunciato al corpo, ma non a quella lancinante illusione che è l’esistere, il consistere in una instabile e rapinosa corrente di oggetti, cose, calore, acqua, fiori, ricordi, errori, amori e disamori».     Giorgio Manganelli",«La sola scrittura di cui sia mai stata invidiosa» (Virginia Woolf).,Katherine Mansfield,Viaggio in Urewera,L’incunabolo dell’arte letteraria di Katherine Mansfield.,"Biblioteca minima, 64",2015 / pp. 101 /,"€ 8,00","€ 6,40",,Una Tazza di tè,Numeri rossi,1966 / pp. XVI-232 /,,,"Ingeborg Bachmann   Il libro Franza   «Anzi io affermo – e tenterò soltanto di fornire una prima prova – che ancora oggi moltissime persone non muoiono ma vengono assassinate».              Daisetz T. Suzuki   Lo Zen e la cultura giapponese   La migliore guida per avvicinarsi al Giappone.              Alfred Polgar   Marlene   La sola attrice capace di «far sognare il nostro sangue nelle vene».                  Kenneth Anger   Hollywood Babilonia, II   «... un universo splendido e crudelissimo, mistura di paradiso e inferno, di lustrini e di lacrime, di successo e di abiezione» (Giovanni Mariotti).              Georges Simenon   Gli altri   Un suicidio inspiegabile, un’eredità contesa, una famiglia dilaniata da antichi dissapori – sotto lo sguardo inclemente di un’intera città.              Igor’ Stravinskij, Robert Craft   Ricordi e commenti   Vita, incontri, pensieri del grande  sorcier  del Novecento musicale.                  Milan Kundera   L’arte del romanzo   «... il romanziere non è né uno storico, né un profeta: è un esploratore dell’esistenza» (Milan Kundera).              Sam Kean   La Brigata dei bastardi   L’avvincente racconto di una missione bellico-scientifica tanto misconosciuta quanto decisiva.              August Strindberg   Inferno   «Tra i miei lettori ho un autentico genio, lo svedese August Strindberg» (Friedrich Nietzsche a Meta von Salis, 29 dicembre 1888)."
Il pulcino di Kant - Giorgio Vallortigara,Il pulcino di Kant,Giorgio Vallortigara,"Illustrazioni di Claudia Losi    Biblioteca Scientifica  , 70   2023, 2ª ediz., pp. 171   isbn: 9788845938146",,,,Neuroscienze         Biologia         Etologia,2023 / pp. 171 /,,"Le ricerche di Giorgio Vallortigara, uno degli scienziati italiani più noti a livello internazionale per le sue indagini sui meccanismi neurali della cognizione animale, stanno ridisegnando il confine tra la biologia e il mondo astratto delle speculazioni metafisiche. Ne è un esempio questo saggio affascinante sull’imprinting e l’origine della conoscenza che vede protagonisti i pulcini, oggetto di studi sperimentali condotti per quasi trent’anni in parallelo con quelli sui neonati umani. Tali studi ci mostrano come, prima di qualsiasi esperienza specifica di apprendimento, un pulcino conosca le proprietà meccaniche degli oggetti e sappia che essi non solo occupano un determinato spazio con specifiche proprietà euclidee ma possono essere dotati di certe  numerosità  , che è in grado di stimare eseguendo in maniera non verbale e non simbolica le quattro operazioni dell’aritmetica. Così, fin dalla schiusa, il pulcino sa ravvisare gli indizi della presenza nel mondo di creature animate, quali un volto o la semovenza, presupposto per la costruzione di un cervello sociale. Alla luce di queste scoperte, la contrapposizione tra eredità e ambiente, natura e cultura appare irrimediabilmente datata. La mente, argomenta Vallortigara, non è una  tabula rasa  . L’apprendimento dall’esperienza è possibile solo se il sistema nervoso possiede in partenza una struttura atta a favorirlo. Le ricerche sui pulcini corroborano dunque la tesi delle conoscenze innate sintetizzata da Lorenz nell’espressione «l’a priori kantiano è un a posteriori filogenetico». Una sapienza di cui non siamo depositari esclusivi: condividiamo schemi di comportamento, predisposizioni, emozioni, organizzazioni neurali con creature da cui ci dividono trecento milioni di anni di evoluzione. Come i piccoli dell’uomo, anche i «pulcini di Kant» cercano la mamma. Divertono, commuovono e fanno pensare.","Il nuovo, affascinante saggio di uno degli scienziati più attenti e creativi nell’indagare i meccanismi neurali della cognizione animale.",Giorgio Vallortigara,Pensieri della mosca con la testa storta,Un approccio minimalista che apre nuove prospettive allo studio della coscienza.,"Animalia, 6",2021 / pp. 221 /,"€ 20,00","€ 16,00","€ 10,99",Cervelli che contano,"Biblioteca Scientifica, 54",2014 / pp. 191 /,"€ 25,00",,
