primaryTitle,primaryTitle,rating,runtimeMinutes,primaryTitle,titleType,primaryTitle,rating,Star,Other,Other,Other,Other,Other,Other,release date,release_date,Other,trama
Watering the Flowers (Short 1896) - IMDb,Watering the Flowers,5.6,84,"This lost film presumably features a person watering flowers to comedic effect. This film is believed to have imitated the Louis and Auguste Lumière film 'L'arroseur arrose', which survives.","This lost film presumably features a person watering flowers to comedic effect. This film is believed to have imitated the Louis and Auguste Lumière film 'L'arroseur arrose', which survives.",Georges Méliès,5.6,Georges Méliès,,,,,,,,1896 (France),The Sprinkler Sprinkled,By what name was Watering the Flowers (1896) officially released in Canada in English?
Awakening of Rip (Short 1896) - IMDb,Awakening of Rip,4.4,615,A series of short black-and-white films from director William K.L. Dickson that chronicle the adventures of Rip Van Winkle.,A series of short black-and-white films from director William K.L. Dickson that chronicle the adventures of Rip Van Winkle.,William K.L. Dickson        Writer      Washington Irving        Star      Joseph Jefferson,4.4,William K.L. Dickson        Writer      Washington Irving        Star      Joseph Jefferson,4.0,4.0,Interesting Films,Rip's Toast (1896),2.0,Michael_Elliott,"Jan 4, 2009","September 1, 1896 (United States)",Пробуждение Рипа,What is the Spanish language plot outline for Awakening of Rip (1896)?
The Clown Barber (Short 1898) - IMDb,The Clown Barber,5.1,32,,,,,,,,,,,,,August 1898 (United Kingdom),,
Akrobatisches Potpourri (Short 1895) - IMDb,Akrobatisches Potpourri,5.2,380,Eight circus performers known as the Grunato family perform their famous balancing act.,Eight circus performers known as the Grunato family perform their famous balancing act.,Max Skladanowsky        Star      Grunato,5.2,Max Skladanowsky        Star      Grunato,2.0,2.0,The Human Shoe Tree,"A group of acrobats settle into one of those formations where a bunch are standingon each other, and others are hanging from each other.",,boblipton,"Aug 26, 2020",,Акробатическая смесь,
Blacksmith Scene (Short 1895) - IMDb,Blacksmith Scene,5.1,1.1K,"Two blacksmiths work while the vapors rise in the air. Later, another man arrives and offers a drink.","Two blacksmiths work while the vapors rise in the air. Later, another man arrives and offers a drink.",Louis Lumière,5.1,Louis Lumière,6.0,6.0,Feel the Steam,"This film, along with nine other films, was shown at a Paris, mini-film festival, by pioneering filmmakers, the Lumiere brothers, in December of 1895. The sixth movie ever shown to a paying audience, probably had more questions than answers, but it stimulated conversation in the audience, especially in 1895. What are these guys doing? What are they making? The steam rising, as the man dunks the metal into the barrel of water, gives some temperature to the scene, thus making it more tangible. I was wondering how people in 1895 were feeling when they saw the steam rise from the barrels of water. Did they subconsciously feel the heat, while sitting in the theater. This is probably the first time they ever saw images up on a screen or wall. Who knows what they thought. They may have even thought of it, as being a parlor trick. That is the tangibility this film emits. If you put yourself into a 1895 frame of mind, you might feel the steam too.",1.0,PCC0921,"Nov 26, 2022","June 28, 1896 (Finland)",The Blacksmiths,By what name was Blacksmith Scene (1895) officially released in Canada in English?
Rough Sea at Dover (Short 1895) - IMDb,Rough Sea at Dover,5.2,875,,"The sea is quite rough, and at Dover a series of heavy waves pounds against a pier and along the adjacent shoreline. The scene then shifts to a different view of flowing water, and shows a heavy current from a point along a riverbank.",,5.2,,10.0,10.0,Pretty to watch but mundane,"Okay, since the film was made all the way back in 1895 (when films were in their infancy), I'll cut the film some slack. After all, ALL the movies were dull and short pieces about the most mundane activities. And so, compared to contemporary pieces, it's not too bad. The subject matter--waves crashing--isn't too interesting, but the film has an artistic composition that make it rather like an Ansel Adams print come to life. Not great, certainly, but for 1895 not bad.",1.0,planktonrules,"Sep 15, 2006","January 14, 1896 (United Kingdom)",A South-West Storm in Dover,By what name was Rough Sea at Dover (1895) officially released in Canada in English?
Miss Jerry (1894) - IMDb,Miss Jerry,5.3,208,The adventures of a female reporter in the 1890s.,The adventures of a female reporter in the 1890s.,Alexander Black        Writer      Alexander Black        Stars      Blanche Bayliss     William Courtenay     Chauncey Depew,5.3,Alexander Black        Writer      Alexander Black        Stars      Blanche Bayliss     William Courtenay     Chauncey Depew,,1.0,The Illusion of Motion,"While both in USA and in Europe directors were producing one-shot short films, merely of a documentary nature, Alexander Black had produced (arguably) the first feature of moving pictures. The photoplay 'Miss Jerry' tried its best to create the illusion of motion, with the slides changing once every 15 seconds, while Black was effortlessly providing the voice for every character.",18.0,johnny-m,"Jun 19, 2004","October 9, 1894 (United States)",Fräulein Jerry,By what name was Miss Jerry (1894) officially released in Canada in English?
The Photographical Congress Arrives in Lyon (Short 1895) - IMDb,The Photographical Congress Arrives in Lyon,5.7,1.9K,"The photographers who need to participate in the congress of Lyon get off a boat in Neuville-sur-Saône, dividing to the right and left.","The photographers who need to participate in the congress of Lyon get off a boat in Neuville-sur-Saône, dividing to the right and left.",Louis Lumière        Stars      Auguste Lumière     P.J.C. Janssen,5.7,Louis Lumière        Stars      Auguste Lumière     P.J.C. Janssen,11.0,11.0,"Louis Lumiere - scientist, manufacturer, inventor, photographer","Louis Lumiere was a businessman. Since he was in the photographic business (his families factory in Lyon, France produced what many considered to be the best treated glass plates used in photography at that time - the mid 1890s), he was also a photographer. But, I am sure, he considered himself first-and-foremost a scientist. He considered his new invention, the Cinematopgraph, to be a scientific instrument. That is why during 1894 and 1895, he spent quite a bit of effort to gain approbation from various scientific groups. He wanted to keep the photographic community, in which he was well known, appraised of his endeavors. One method of doing this was to attend, in June 1895, a congress of photographers that was gathering at Neuville-Sur-Soane - a town just a short distance north of Lyon.",4.0,jhaugh,"Jul 28, 2006","June 12, 1895 (France)",Прибуття делегатів на фотоконгрес у Ліоні,By what name was The Photographical Congress Arrives in Lyon (1895) officially released in Canada in English?
Chinese Opium Den (Short 1894) - IMDb,Chinese Opium Den,,183,,,William K.L. Dickson,,William K.L. Dickson,,,,,,,,"October 17, 1894 (United Kingdom)",Китайский опиумный притон,
Cordeliers' Square in Lyon (Short 1895) - IMDb,Cordeliers' Square in Lyon,5.6,1.2K,,"A stationary camera looks across the boulevard at a diagonal toward one corner of Lyon's Cordeliers' Square. It's a long shot, with a great deal of depth of focus. We can see the sky and fronts of four buildings, each four or five stories tall. It's a busy thoroughfare, with pede...  Read all",Louis Lumière,5.6,Louis Lumière,5.0,5.0,A world long gone,,1.0,Tornado_Sam,"Nov 22, 2017","December 28, 1895 (France)","Cordeliers Square, Lyons, France",What is the English language plot outline for Cordeliers' Square in Lyon (1895)?
The Sea (Short 1895) - IMDb,The Sea,5.7,1.5K,"Several little boys run along a pier, then jump into the ocean.","Several little boys run along a pier, then jump into the ocean.",Louis Lumière,5.7,Louis Lumière,8.0,8.0,Run to the Sea in 1895,"The tenth film the Lumiere brothers showed at their mini-film festival screening, shown in Paris, in December of 1895, was part of a group of ten films. This was the last film shown. To some, this is the tenth film ever shown with a paid admission. There may be some historians that dispute that assessment. Historical records weren't that great and some dates were lost to time. All of this did happen in 1895, but certain dates do dispute, that some exhibitors may have beaten the Lumiere brothers, by a couple months, to the admission price jackpot. Either way, these are some of the first films ever made. The Sea (1895), gave the audience the first film setting at the beach. Look at the swimming fashions of the day. Everyone is fully dressed with shoes. It was a different time and we wouldn't be able to enjoy it without these early films. Swimmers running down a dock, jumping in the surf and running back to the dock. That's all it was. That's all it needed to be. Put yourself in a 1895, frame-of-mind and soak up some sun at the beach, 130 years ago.",,PCC0921,"Nov 26, 2022","June 28, 1896 (Finland)",A Dip in the Sea,By what name was The Sea (1895) officially released in Canada in English?
Italienischer Bauerntanz (Short 1895) - IMDb,Italienischer Bauerntanz,4.6,338,"Two children, Ploetz and Larella, perform an Italian peasant dance.","Two children, Ploetz and Larella, perform an Italian peasant dance.",,4.6,,2.0,2.0,Kids Jumping Around,That's pretty much what this movie is: two children who are suppose to be dancing an Italian folk dance for pioneering German film producer-director-cameraman-inventor Max Skladanowsky and his brother Emil.,,boblipton,"Aug 23, 2020",,Італійський селянський танець,By what name was Italienischer Bauerntanz (1895) officially released in Canada in English?
The Messers. Lumière at Cards (Short 1896) - IMDb,The Messers. Lumière at Cards,5.6,1.6K,"Two men play cards, as a third watches and a waiter brings drinks. The third man pours drinks as the waiter laughs.","Two men play cards, as a third watches and a waiter brings drinks. The third man pours drinks as the waiter laughs.",Louis Lumière        Stars      Antoine Féraud     Antoine Lumière     Félicien Trewey,5.6,Louis Lumière        Stars      Antoine Féraud     Antoine Lumière     Félicien Trewey,9.0,9.0,Partie de cartes is one of the earliest films I've reviewed here,,2.0,tavm,"Jul 16, 2009","February 23, 1896 (France)",Game of Cards,By what name was The Messers. Lumière at Cards (1896) officially released in Canada in English?
Blacksmith Scene (Short 1893) - IMDb,Blacksmith Scene,6.2,2.7K,Three men hammer on an anvil and pass a bottle of beer around.,Three men hammer on an anvil and pass a bottle of beer around.,William K.L. Dickson        Stars      Charles Kayser     John Ott,6.2,William K.L. Dickson        Stars      Charles Kayser     John Ott,25.0,25.0,Showing the potential possibilities of motion picture perfectly.,This early movie perfectly demonstrates the future possibilities of motion picture.,2.0,Boba_Fett1138,"Oct 15, 2007","May 9, 1893 (United States)",Blacksmith Scene #1,By what name was Blacksmith Scene (1893) officially released in India in English?
Opening of the Kiel Canal (Short 1895) - IMDb,Opening of the Kiel Canal,4.2,122,,,Birt Acres        Stars      Empress Augusta Victoria     Kaiser Wilhelm II,4.2,Birt Acres        Stars      Empress Augusta Victoria     Kaiser Wilhelm II,2.0,2.0,One of the First News-Reel Films Ever,"AKA: Inauguration of the Kiel Canal by Kaiser Wilhelm II (1895). This film is considered, one of the first examples, of a news-reel film. The actual inauguration of the canal happened in June of 1895. The film probably wasn't released until 1896. It is a mere 13 seconds long, with a shot of a row-boat, slowly moving down the canal. A lonely man walks by and then, like anybody, looks back at the camera, trying to figure out what's going on. It is an early example of an Instagram video. This British film production, utilizes a nice contrast in the main shot. It is a contrast, that is very professional for 1896. It is a good blend of the black and white thresholds. It also has an appealing composition to the shot as well. Opening of the Kiel Canal (1896), shows how well these pioneering directors, of the late-1800s, like Birt Acres, knew their craft so well.",,PCC0921,"Sep 6, 2023","June 19, 1895 (United Kingdom)",Inauguration of the Kiel Canal by Kaiser Wilhelm II,
The Derby 1895 (Short 1895) - IMDb,The Derby 1895,4.8,369,,"A stationary camera, looking diagonally across a racetrack toward the infield, records the horses as they race past. Once they are out of view and the race is over, police officers run onto the infield. The crowd moves around.",Birt Acres,4.8,Birt Acres,,,on the limitations of the camera.,"This short is called 'The Derby', but the horse-racing is of minimal importance here.  Rather than adopt a distant, god's eye view, the camera takes its place with the crowd, another observer.  Indeed the crowd itself is more interesting than the sport, as we watch a policeman chat with an old hand, and wonder what they're talking about, as well as the thousands of other conversations the deafmute camera cannot overhear.",12.0,the red duchess,"Oct 31, 2000","November 20, 1895 (United Kingdom)",Дерби 1895,What is the Spanish language plot outline for The Derby 1895 (1895)?
Le clown et ses chiens (Short 1892) - IMDb,Le clown et ses chiens,5.7,270,,"Lost short film consisting of 300 painted images. It shows a clown entering a circus ring and greeting the audience before he starts to perform tricks with three dogs. The dogs jump through hoops, walk on a ball and jump over a wand.",,5.7,,,,,,,,,"November 16, 1892 (United States)",The Clown and His Dogs,What is the Spanish language plot outline for Le clown et ses chiens (1892)?
The Oxford and Cambridge University Boat Race (Short 1896) - IMDb,The Oxford and Cambridge University Boat Race,3.9,43,,"Although the content of this film is primitive in the extreme - a shot of the traditional Oxford versus Cambridge University Boat Race, filmed on March 30 1895 - this film is of immense historical importance as being the first ever British film",Birt Acres,3.9,Birt Acres,,,,,,,,"January 14, 1896 (United Kingdom)",,By what name was The Oxford and Cambridge University Boat Race (1896) officially released in Canada in English?
Un bon bock (Short 1892) - IMDb,Un bon bock,5.5,178,,Lost 1892 French short animated film directed by Émile Reynaud about a wanderer who orders a good beer ('Un bon bock') and meets a traveler who also orders a beer. They enter an argument because a kitchen boy steals their beers.,,5.5,,,1.0,cinematic masterpiece!!!!!!!!!!,"until this film came along the use of motion picture had been mostly hobby of gadgetry for the rich and idle. the idea that stories could be told through the medium of film was as distant an alien as one could be. the this came out in 1892, and what by today's standards would be considered a short film with little as far as plot or anything else would instead set some of the key components of film that would developed over the next twenty years and finalized by DW Grifith early in the twentieth century. If you can find an archival institution that has this film, find it and see. For the first attempts at translating theater to the silent screen. All the primordial aspects of film from direction, plot, narrative, action, arch, development, acting, et cetera exist in this movie in some form or another.",11.0,PIST-OFF,"Nov 22, 2005","October 28, 1892 (France)",Полная кружка пива,What is the Spanish language plot outline for Un bon bock (1892)?
