Name,Other,Rating,Name,Other,Rating,Address,Check in hours,Check in hours,Other,Other,Other,Additional informations,Other,Other
Chianti chic - Gaiole in Chianti - lastminute.com,(16),24 recensioni,Chianti chic,1 / 20,,"11 Piazza Antico Mercato, Gaiole in Chianti, Italia","ven, 16 feb","dom, 18 feb",12 feb,19 feb,Recensioni di Chianti chic,"La struttura non è disponibile per feste di addio al nubilato/celibato o simili. Siete pregati di comunicare in anticipo a Chianti chic l'orario in cui prevedete di arrivare. Potrete inserire questa informazione nella sezione Richieste Speciali al momento della prenotazione, o contattare la struttura utilizzando i recapiti riportati nella conferma della prenotazione. Struttura gestita da un host privato",ven 16 feb,dom 18 feb
Casa Dellatorre - Alba - lastminute.com,(12),31 recensioni,Casa Dellatorre,1 / 16,88.0,"VIA ELVIO PERTINACE 20, Alba, Italia","gio, 4 apr","dom, 7 apr",01 apr,08 apr,Recensioni di Casa Dellatorre,"Le opportunità di svago non mancano: avrai a disposizione un servizio di noleggio biciclette, oltre a il Wi-Fi gratuito e una parete di piante vere. In questo affittacamere potrai inoltre contare su l'assistenza per la prenotazione di tour e biglietti e un parcheggio per biciclette.",gio 4 apr,dom 7 apr
Podere La Chiusella - Rapolano Terme - lastminute.com,(33),165 recensioni,Podere La Chiusella,1 / 37,,"Loc. Armaiolo, 64, Rapolano Terme, Italia","gio, 15 feb","dom, 18 feb",12 feb,19 feb,Recensioni di Podere La Chiusella,"Scegli tra l'ampia gamma di servizi ricreativi disponibili, che includono una piscina stagionale all'aperto e un servizio di noleggio biciclette. In questo aparthotel potrai inoltre contare su il Wi-Fi gratuito, un'area picnic e un'area barbecue.",gio 15 feb,dom 18 feb
Arco Antico - Alba - lastminute.com,,127 recensioni,Arco Antico,1 / 44,95.0,"Vicolo dell'Arco, 1, Alba, Italia","ven, 8 mar","dom, 10 mar",,,Recensioni di Arco Antico,"Siete pregati di comunicare in anticipo a Arco Antico l'orario in cui prevedete di arrivare. Potrete inserire questa informazione nella sezione Richieste Speciali al momento della prenotazione, o contattare la struttura utilizzando i recapiti riportati nella conferma della prenotazione. La struttura non è disponibile per feste di addio al nubilato/celibato o simili. In risposta al Coronavirus (COVID-19) questa struttura ha adottato misure extra di sicurezza e igiene. Struttura gestita da un host privato",,
Offerta pazzesca in centro citta'! - Roma - lastminute.com,,,,,,Roma,"gio, 8 feb","dom, 11 feb",,,Recensioni di Offerta pazzesca in centro citta'!,,,
Antica Locanda Al Gambero - Venezia - lastminute.com,,,Antica Locanda Al Gambero,1 / 22,88.0,"Calle dei Fabbri, 4687 S.Marco, Venezia, Italia","mer, 24 gen","ven, 26 gen",,,Recensioni di Antica Locanda Al Gambero,,,
Palazzo Leopoldo Dimora Storica & Spa - Radda in Chianti - lastminute.com,(122),1005 recensioni,Palazzo Leopoldo Dimora Storica & Spa,1 / 126,88.0,"Via Roma 33, Radda in Chianti, Italia","ven, 9 feb","dom, 11 feb",05 feb,12 feb,Recensioni di Palazzo Leopoldo Dimora Storica & Spa,"Rilassati presso la spa con servizi completi, dove ti attendono massaggi, trattamenti per il corpo e trattamenti per il viso. Se cerchi opportunità di svago, apprezzerai un centro fitness, una piscina all'aperto e una piscina coperta. Questo hotel propone, inoltre, il Wi-Fi gratuito, servizi di concierge e un servizio babysitter a pagamento. Gli ospiti potranno raggiungere le vicine attrazioni con la navetta locale (con supplemento).",ven 9 feb,
Hotel Renaissance - Firenze - lastminute.com,(30),287 recensioni,Hotel Renaissance,1 / 34,92.0,"Via Della Condotta 4, Firenze, Italia","sab, 2 mar","mar, 5 mar",26 feb,,Recensioni di Hotel Renaissance,"Avrai a disposizione utili servizi come il Wi-Fi gratuito, servizi di concierge e servizi per matrimoni.",sab 2 mar,mar 5 mar
Mercure Roma Piazza Bologna - Roma - lastminute.com,(26),2220 recensioni,Mercure Roma Piazza Bologna,1 / 30,,"Via Reggio Calabria 54, Roma, Italia","ven, 23 feb","lun, 26 feb",19 feb,26 feb,Recensioni di Mercure Roma Piazza Bologna,,ven 23 feb,lun 26 feb
Antico Panada - Venezia - lastminute.com,(13),5464 recensioni,Antico Panada,1 / 17,,"San Marco 646, Venezia, Italia","mer, 24 gen","ven, 26 gen",,29 gen,Recensioni di Antico Panada,,,ven 26 gen
