Additional Information,Location,Location,Name,Rating,other,restaurant type,description,opening hours,Address,Location,other,Phone Number,website,last update,Annotation in webpage,Rating,user,user,Additional informations,Additional informations,Unknown,Additional informations,Location,other,Annotation in webpage,Other
Toasthouse - Naples  Restaurant - HappyCow,,,Toasthouse,(8),5.0,Veg-options,"Serves meat, vegan options available. A sandwich shop with a variety of toasted sandwiches. Reported to be the only clearly labeled vegan item in the train station. The 'vegano' is a vegetable burger with lettuce and tomatoes grilled on toast/panini style with a variety of beverages, and sides of cut fruit, salad, or french fries.",Open Mon-Sun 09:30-21:30.,"Corso Novara, 1B (at Inside Napoli Centrale Train Station Food Hall)",,80142.0,+39-0815562709,toasthouse.it,Last update on 14 Jun 2022 by Guest,camvkl  on 14 Jun 2022,8 Reviews,camvkl,lizardsv,Points +58,14 Jan 2024,Vegan option,This page has been viewed 2445 times.,,80142.0,camvkl  on 14 Jun 2022,
Pizzeria Trianon da Ciro - Naples  Restaurant - HappyCow,,,Pizzeria Trianon da Ciro,(2),20.0,Veg-options,"Serves meat, vegan options available. Historic pizza restaurant with some vegan pizza options.","Open Mon-Sun 11:00-15:30, 19:00-00:00.","Via Pietro Colletta, 44",,80139.0,+39-0815539426,pizzeriatrianon.it,Last update on 21 Mar 2022 by Guest,,2 Reviews,KlaudiaLachowicz,Thejaysta,Points +91,12 Sep 2023,Pretty good pizza,This page has been viewed 2036 times.,,80139.0,,"Gelateria Al Polo Nord                                          12 reviews      Via P Coletta, 41/43    0.0 km                   Pizzeria da Michele                                            78 reviews      Via Cesare Sersale 1    0.0 km                   Caffè Moreno       Write a review       25 Via Renovella    0.3 km                   Mozzelato                                            8 reviews      Via San Biagio dei Librai, 69    0.3 km                   Vegan Art                                            126 reviews      Via Duomo, 238    0.3 km"
Buddy VEGGY - Rome  Restaurant - HappyCow,View all Rome listings,Rome,Buddy VEGGY,(606),761.0,Vegan,"Vegan restaurant offering soups, salads, pastas and pizza. Previously vegetarian, reported fully vegan since Sept '22.","Open Mon-Fri 10:00-23:00, Sat-Sun 09:00-23:00.","Corso Vittorio Emaunele II, 107 A",Rome,186.0,+39-0687728433,buddyroma.com,,buddyroma  on 05 Jul 2015,606 Reviews,santafeamanda,sml_rvn,Points +12,17 Jan 2024,Best vegan pizza!,This page has been viewed 59803 times.,Rome,186.0,buddyroma  on 05 Jul 2015,L'Insalata Ricca                                            13 reviews      Largo dei Chiavari 85    0.1 km                   Gelateria La Romana                                          5 reviews      Piazza Sant'Andrea della Valle 1    0.1 km                   Origano Campo de' Fiori                                          330 reviews      Largo de Chiavari 83    0.1 km                   Te Amo                                          1 review      Via di Torre Argentina 7    0.1 km                   La Baguetteria del Valle       Write a review       Via del Teatro Valle 40    0.2 km
Vyta - Naples  Bakery  - HappyCow,,,,(1),9.0,Bakery,This cafe in central station has vegan cookies and soymilk.,,"Piazza Giuseppe Garibaldi, 3",,80142.0,,,Last update on 20 Jun 2018 by Guest,Plantarchista  on 20 Jun 2018,1 Review,PaulinaPeters,,,,,This page has been viewed 2240 times.,,80142.0,Plantarchista  on 20 Jun 2018,
LUSH - Florence  Other  - HappyCow,View all Florence listings,Florence,LUSH,Chain Rating,,Other,"Cosmetics company with outlets globally selling handmade cosmetics & beauty products which are not tested on animals. Ingredients are mostly vegan. Find selections of soap, shampoo, conditioner, lotion, lip balm, deodorant, and other body care products.","Open Mon-Fri 10:00-20:00, Sat 10:00-20:30, Sun 10:00-20:00.","Via Por Santa Maria, 60/62R",Florence,,+39-0550124294,it.lush.com,Last update on 24 Jan 2020 by Guest,,,,,,,,This page has been viewed 818 times.,Florence,,,
Romeow Cat Bistrot - Rome  Restaurant - HappyCow,View all Rome listings,Rome,Romeow Cat Bistrot,(212),527.0,Vegan,"Opened late-2014 this bistro serves vegan and raw-vegan dishes (from 8pm) inspired by local and international cuisines. Diners eat in the company of six cats who wander around the tables. Cozy atmosphere. Reservations are required for dinner, usually 5+ days in advance. Kitchen is open 10AM-11:30AM (breakfast) / 1PM-2:30PM (lunch) / 4PM-6:30PM (afternoon snack) / 8PM-10:30PM (dinner).","Open Tue-Sun 10:00-12:30, 13:00-19:30, 20:00-23:00.","Via Francesco Negri, 15",Rome,154.0,+39-0657289203,romeowcatbistrot.com,,veg-geko  on 02 Jan 2015,212 Reviews,MauradelGusto,camillaf,Points +82,05 Jan 2024,Can't wait to go back,This page has been viewed 40855 times.,Rome,154.0,veg-geko  on 02 Jan 2015,
Valentina - Cervia  Bakery  - HappyCow,View all Cervia listings,Cervia,Valentina,(2),,Bakery,"Gluten-free bakery with a wide range of vegan and vegetarian pastries, baked goods and specialty birthday cakes.","Open Wed-Fri 08:30-16:00, Sat 08:30-13:00, Sun 09:00-13:00.",144 Via Circonvallazione Edoardo Sacchetti,Cervia,48015.0,+39-3292879463,valentina-alternative-bakery.business.site,Last update on 25 Feb 2022 by Guest,ValentinaMucci  on 25 Feb 2022,2 Reviews,Ludoslav,JohannaNabrotzki,Points +400,26 Aug 2022,Cute little bakery in the city centre,This page has been viewed 376 times.,Cervia,48015.0,ValentinaMucci  on 25 Feb 2022,"Osteria Il Cantinone                                          1 review      28 Via XX Settembre    0.0 km                   Ruelle                                          1 review      22 Viale Nazario Sauro    0.2 km                   Gelateria Del Borgo                                          2 reviews      Via Cavour 10    0.2 km                   Il Papavero                                          1 review      8 Piazza Andrea Costa    0.3 km                   Un Equiseto - Maybe closed                                          5 reviews      Viale Roma, 55    0.4 km"
Ruelle - Cervia  Restaurant - HappyCow,View all Cervia listings,Cervia,Ruelle,(1),1.0,Veg-options,"Serves meat, vegan options available. Lebanese restaurant with a variety of hummus choices and falafel.",,22 Viale Nazario Sauro (at Borgo Marina),Cervia,48015.0,+39-0544478176,,Last update on 18 Oct 2022 by Guest,GiuliaBrigliadori  on 18 Oct 2022,1 Review,maarquiisee,,,,,This page has been viewed 285 times.,Cervia,48015.0,GiuliaBrigliadori  on 18 Oct 2022,
Barabrith - Donji Budacki  B&B  - HappyCow,View all Donji Budacki listings,Donji Budacki,Barabrith,(8),9.0,B&B,"Vegan-owned guesthouse in a rural area offering 3 rooms (each with a double bed), facilities to shower, and to use the outdoor barbecue. Call or email to info@barabrith.org for details.",Open Mon-Sun 09:00-21:00.,Donji Budački 28,Donji Budacki,47242.0,+385-923546731,barabrith.org,Last update on 18 Jun 2022 by Guest,jon active  on 02 Sep 2019,8 Reviews,Anarchocyclist,fisler,Points +19,22 Oct 2023,Great Host,This page has been viewed 2603 times.,Donji Budacki,47242.0,jon active  on 02 Sep 2019,Chandra                                            2 reviews      22 Ul. Jurja Haulika    15.1 km                   Bistro Špajza                                            3 reviews      Grgura Ninskog 4    15.2 km                   Bistro Kastel                                          1 review      Zagrad-Gaj ul. 5    16.2 km
Pizzeria da Michele - Naples  Restaurant - HappyCow,,,Pizzeria da Michele,(78),240.0,Vegetarian,One of this city's three original pizzerias that's 100+ years old. Makes just 2 kinds of pizza: one with cheese and one without -- much like a few other pizza joints around here. Reported August 2021 to now offer four types of pizza.,Open Mon-Sat 11:00-22:30.,Via Cesare Sersale 1,,80139.0,+39-0815539204,damichele.net,,msvegan  on 15 Nov 2011,78 Reviews,msvegan,missys.eats,Points +84,27 Dec 2023,Must visit for classic marinara pizza,This page has been viewed 26430 times.,,80139.0,msvegan  on 15 Nov 2011,"Gelateria Al Polo Nord                                          12 reviews      Via P Coletta, 41/43    0.0 km                   Pizzeria Trianon da Ciro                                            2 reviews      Via Pietro Colletta, 44    0.0 km                   Mozzelato                                            8 reviews      Via San Biagio dei Librai, 69    0.3 km                   Vegan Art                                            126 reviews      Via Duomo, 238    0.3 km                   Caffè Moreno       Write a review       25 Via Renovella    0.3 km"
