book title,category,category,book title,author,Editor,Author,price,price,price,pages,other,price,price,price,price,other,other,price,price,other,Book Title,author,publisher,category,date of publication,pages,Code/ID,date of publication,author
Un giorno questo dolore ti sarà utile - Peter Cameron - Libro - Adelphi - Gli Adelphi | Feltrinelli,,,Un giorno questo dolore ti sarà utile,Peter Cameron,,Peter Cameron,"(Altri 15 da 6,00 €)","9,60 €","12,00 €",100.0,3263,"9,60 €","12,00 €","9,60 €","12,00 €",Tutte le offerte (16),Nuovo (14),"9,60 €","12,00 €",Promo attive (1),,Peter Cameron,Adelphi,Gli Adelphi,9 giugno 2010,"206 p., Brossura        Titolo originale:      Someday This Pain Will Be Useful to You",9788845925023,"1959, Pompton Plains, New Jersey","Scrittore statunitense. Si è laureato all'Hamilton College di New York nel 1982 in letteratura inglese.Ha venduto il suo primo racconto al The New Yorker nel 1983 dove ha successivamente pubblicato numerose altre storie. Il suo primo romanzo è stato una raccolta di racconti dal titolo In un modo o nell'altro, pubblicato da Harper & Row nel 1986 (in Italia da Rizzoli). Il suo secondo romanzo, The Weekend, è stato pubblicato nel 1994 da Farrar, Straus & Giroux, che ha anche pubblicato Andorra, nel 1997 e Quella sera dorata nel 2002.Ha pubblicato anche Un giorno questo dolore ti sarà utile (2007), Paura della matematica (2008), Coral Glynn (Adelphi 2012), Gli inconvenienti della vita (Adelphi 2018), Cose che succedono la notte (Adelphi 2020), Anno..."
Reminders of him. La parte migliore di te - Colleen Hoover - Libro - Sperling & Kupfer - Pandora | Feltrinelli,Narrativa erotica e rosa,Rosa,Reminders of him. La parte migliore di te,Colleen Hoover,Sperling & Kupfer,Colleen Hoover,"(Altri 12 da 16,00 €)","16,06 €","16,90 €",160.0,59,"16,06 €","16,90 €","16,06 €","16,90 €",Tutte le offerte (13),Nuovo (13),"16,06 €","16,90 €",Promo attive (1),"La storia straziante ma piena di speranza di una giovane madre alla disperata ricerca di redenzione, dall'autrice Colleen Hoover, bestseller numero 1 del New York Times.     Dopo aver scontato cinque anni di prigione per un tragico errore che costò la vita al suo grande amore Scott, Kenna Rowan torna a casa con l’unico desiderio di riabbracciare Diem, la figlia di quattro anni che non ha mai conosciuto. Ma i vecchi rancori sono duri a morire: tutti nella vita della bambina sono determinati a escludere Kenna, non importa quanto duramente lavori per dimostrare di essere cambiata. L’unica persona che non le ha chiuso completamente la porta è Ledger Ward, proprietario del bar della città. Ma se qualcuno dovesse scoprire che lui, pian piano, sta diventando una parte importante della sua vita, entrambi rischierebbero di perdere la fiducia di tutte le persone importanti per loro. Ma se Kenna vuole costruire un futuro con lui e Diem, dovrà trovare un modo per riparare agli errori del passato.",Colleen Hoover,Sperling & Kupfer,Pandora,9 gennaio 2024,"336 p., Rilegato",9788820075477,"1979, Sulphur Springs (Texas)","Colleen Hoover (Sulphur Springs, 1979) vive in Texas con il marito e i figli. Nel 2015 ha fondato con la sua famiglia The Bookworm Box: una libreria e al tempo stesso un servizio di abbonamento mensile che offre libri autografati e donati dagli scrittori, il cui ricavato viene devoluto in beneficenza a diverse associazioni ed enti. È autrice bestseller del “New York Times” con i romanzi Tutto ciò che sappiamo dell’amore (Rizzoli, 2013) e il seguito Tutto ciò che sappiamo di noi due (Fabbri, 2015). Fra gli altri suoi libri ricordiamo: Le sintonie dell'amore (Leggereditore, 2014), Forse un giorno (ONE, 2017), Le confessioni del cuore (Leggereditore, 2016), Un ricordo ti parlerà di noi (Sperling & Kupfer,..."
Innamorarsi di Anna Karenina il sabato sera. L'arte di leggere i classici in dieci brevi lezioni - Guendalina Middei - Libro - Feltrinelli - Scintille | Feltrinelli,"Classici, poesia, teatro e critica",Storia e critica,Innamorarsi di Anna Karenina il sabato sera. L'arte di leggere i classici in dieci brevi lezioni,Guendalina Middei,Feltrinelli,Guendalina Middei,"(Altri 8 da 15,20 €)","15,20 €","16,00 €",150.0,41,"15,20 €","16,00 €","15,20 €","16,00 €",Tutte le offerte (9),Nuovo (9),"15,20 €","16,00 €",Promo attive (1),"Chiunque ami il gusto di letture che non smettono di sorprendere per la loro ricchezza troverà in questo libro suggestioni preziose per accostarle e lasciare che ci parlino, superando con piccoli stratagemmi le difficoltà che pongono.     Leopardi, Tolstoj, Manzoni, Mann, Kafka, Dostoevskij, Austen, Tomasi di Lampedusa e Orwell rivelano le illusioni in cui siamo irretiti e ci danno strumenti di straordinaria modernità per vivere in un presente incerto. In questo viaggio attraverso alcuni dei loro capolavori, Guendalina Middei presta ascolto alle voci che, come magiche zattere, si levano dalle loro pagine, alla ricerca di quelle stelle polari che indicano la rotta in questa strana cosa che si chiama esistenza. Nei personaggi, che si muovono tra gli inciampi, le emozioni e la ricerca di un senso profondo, l’autrice sente risuonare le tante domande che bruciano dentro di noi. Così, Anna Karenina non è solo la storia di una relazione clandestina e tragica, ma quella di una donna che, riappropriandosi dei suoi desideri, rinasce alla vita. Delitto e castigo ci racconta di un giovane che sente e pensa troppo intensamente, interrogandosi sul dolore e su come superarlo. In Leopardi ritroviamo l’ansia tormentosa di un ragazzo che vorrebbe aprirsi al mondo e scoprire quale posto occupare. E, ancora, a quanti è capitato di vivere una metamorfosi interiore tanto inaspettata come quella di cui ci parla Kafka?",Guendalina Middei,Feltrinelli,Scintille,16 gennaio 2024,"208 p., Brossura",9788807174353,"1992, Roma","Guendalina Middei é un'autrice italiana. Nata a Roma nel 1992, ha scritto per diversi giornali e riviste tra cui “Critica Letteraria” e “Culturificio” e “Sintesi Dialettica”. Tra i suoi titoli, Clodio (Navarra Editore, 2022), Intervista con un matto (Navarra Editore, 2023) e Innamorarsi di Anna Karenina il sabato sera. L'arte di leggere i classici in dieci brevi lezioni (Feltrinelli, 2024)."
La culla di ghiaccio - James Rollins - Libro - Nord - Narrativa Nord | Feltrinelli,,Fantasy,La culla di ghiaccio,James Rollins,Nord,James Rollins,,"19,00 €","20,00 €",190.0,12,"19,00 €","20,00 €","19,00 €","20,00 €",,,"19,00 €",,,"La profezia si è compiuta. Il viaggio è cominciato. Ma ogni passo avrà un costo altissimo.     «Una scrittura magnifica, stratificata e ricca di dettagli. Un universo e dei personaggi magistralmente delineati. Un libro imperdibile per gli amanti della narrativa fantasy.»  -  Booklist     La fine è vicina. Presto la profezia si compirà e ogni forma di vita sarà annientata. L'ultima speranza è raggiungere in tempo le Lande Gelide, in cui pare si celi l'unica risorsa in grado di sventare la catastrofe imminente. Nyx e i suoi compagni fanno quindi rotta verso quella terra aspra e inospitale, dove nessuno osa avventurarsi. E ben presto si renderanno conto che dovranno difendersi non solo dai nemici celati tra i ghiacci eterni, ma forse anche dagli amici... Nel frattempo, il principe Kanthe e il suo gruppo hanno raggiunto la Città Eterna, dove ottengono il sostegno dell'imperatore e il permesso di cercare nella sua biblioteca le informazioni necessarie per aiutare Nyx. Tuttavia la loro missione viene bruscamente interrotta quando un'orda di guerrieri invade il palazzo imperiale, costringendoli a fuggire. Tre pagine strappate da un antico volume sono tutto ciò che riescono a portare a bordo della nave dei venti, che si allontana dalla capitale a gran velocità. Però sono abbastanza per capire che l'esito della battaglia è nelle mani di Eligor, una divinità antica e potentissima, che per secoli è rimasta dormiente. Ora sta per svegliarsi e dovrà scegliere se schierarsi con loro o contro di loro. In ogni caso, le conseguenze saranno devastanti...",James Rollins,Nord,Narrativa Nord,,"744 p., Brossura",9788842933557,"1961, Chicago","Laureatosi nel 1985 all'Università del Missouri, James Rollins è stato per vari anni un apprezzato veterinario.A un certo punto della sua vita ha deciso di anteporre al lavoro le sue tre grandi passioni: la speleologia, le immersioni subacquee e, soprattutto, la scrittura.Fin dal suo esordio, si è dimostrato una delle voci più nuove e convincenti nel campo del romanzo d'avventura. Suoi Amazzonia (2004), Artico (2005), La mappa di pietra (2006), L’ordine del sole nero (2007), Il marchio di Giuda (2007), La città sepolta (2008), L'ultimo oracolo (2009), La chiave dell'apocalisse (2010), L'ombra del re (2010), L'altare dell'Eden (2011), La via d'oro (2011), Il teschio sacro (2011), L'ultima eclissi (2012), Il risveglio della sfinge (2012), L'eredità..."
Avete presente l'amore? - Dolly Alderton - Libro - Rizzoli - Varia narrativa straniera | Feltrinelli,,,Avete presente l'amore?,Dolly Alderton,Rizzoli,Dolly Alderton,"(Altri 7 da 17,10 €)","17,10 €","18,00 €",170.0,127,"17,10 €","18,00 €","17,10 €","18,00 €",Tutte le offerte (8),Nuovo (8),"17,10 €","18,00 €",,"Giovedì 18 gennaio alle 18:00 Dolly Alderton presenta su   www.ibs.it   il libro  Avete presente l'amore  (Rizzoli) in dialogo con Andrea Amadio @libriconfagole.     Per partecipare, acquista il libro dal 9 gennaio in tutte le librerie Feltrinelli o online su  www.ibs.it  . Ricevi un codice che ti permetterà di incontrare l’autrice e di porle delle domande in diretta.   L’autrice mette in scena relazioni, rotture e cuori infranti di una generazione alle prese con la sfida più grande: sopravvivere all’età adulta.    Trentacinquenne con il sogno di diventare uno stand-up comedian di successo, Andy è un’anima che gira a vuoto. Da quando la sua ragazza l’ha lasciato, ha in testa mille domande su di sé, ma una più delle altre lo tiene sveglio e lo sballotta per le strade di Londra: perché l’unica donna che abbia mai davvero amato se ne è andata così, dall’oggi al domani? Senza più una casa, Andy si trasferisce prima dalla madre e poi nella camera degli ospiti di una coppia di amici, e intanto divaga: giorno e notte si abbandona a gratuiti esercizi mentali, compila lunghe liste di dubbi su Jen, sulla fine della loro relazione, sperando così di sciogliere il mistero dei propri insuccessi e di riuscire a voltare pagina. Tra fallimenti professionali, grotteschi tentativi di riallacciare i rapporti con ex fidanzate dei tempi della scuola, sbronze sconsolanti e coinquilini complottisti ultrasettantenni, capirà che per uscire dalla prigione della propria nostalgia e diventare finalmente l’adulto che si è sempre rifiutato di essere, dovrà mettere in discussione tutto quello che credeva di sapere sulle donne, su se stesso e sull’amore. Con l’ironia e l’acume che l’hanno resa un’autrice di culto in tutto il mondo, Alderton torna alle origini e mette in scena relazioni, rotture e cuori infranti di una generazione di uomini e donne alle prese con la sfida più grande: sopravvivere all’età adulta.",Dolly Alderton,Rizzoli,Varia narrativa straniera,9 gennaio 2024,,9788817185196,"1988, Londra","Dolly Alderton è una giornalista e autrice britannica. Laureata in teatro all’Università di Exeter, ha poi frequentato un master in giornalismo. Ha lavorato per The Sunday Times, per cui curava una rubrica. Il suo libro di esordio, Tutto quello che so sull'amore (Rizzoli, 2021) ha vinto il National Book Award nella categoria biografie. Sempre per Rizzoli escono nel 2022 Sparire quasi del tutto e nel 2024 Avete presente l'amore?.Fonte immagine: sito web Rizzoli editore."
Solo la speranza lenisce il dolore - Simone Veil - Libro - Corbaccio - Saggi | Feltrinelli,Biografie,Biografie e autobiografie,Solo la speranza lenisce il dolore,Simone Veil,Corbaccio,Simone Veil,,"17,10 €","18,00 €",170.0,2,"17,10 €","18,00 €","17,10 €","18,00 €",,,"17,10 €",,Promo attive (1),"Veil si lascia condurre dai ricordi, mescola aneddoti e riflessioni, le piccole storie alla grande Storia. Con uno scritto di Liliana Segre.     Questo libro nasce dall'eccezionale videoracconto che Simone Veil fece nel 2006 per la Fondation pour la Mémoire de la Shoah e l'INA, l'Institut national de l'audiovisuel. Di fronte alla telecamera, Simone Veil parla della sua vita. Il sole di Nizza, una famiglia unita, repubblicana e laica. E poi invece il freddo, la fame, le umiliazioni, i compagni di prigionia, i rapporti fra uomini e donne, i suoi diciotto mesi in un campo di concentramento. Racconta il ritorno, nuove forme di umiliazioni, la difficoltà di parlare, il suo impegno per la salvaguardia della memoria. Solo la speranza che la Shoah non venga mai dimenticata può lenire il dolore. Dalle sue parole emerge un libro di un'immediatezza rara: la sua forza non sta nei fatti che descrive, e che sono ben noti, bensì nella forma, di una spontaneità stupefacente.",Simone Veil,Corbaccio,Saggi,19 gennaio 2024,"240 p., Brossura",9791259920805,,
Naively mine. Ingenuamente mio - A.J. Foster - Libro - Magazzini Salani -  | Feltrinelli,Narrativa italiana,Horror e narrativa gotica,Naively mine. Ingenuamente mio,A.J. Foster,Magazzini Salani,A.J. Foster,"(Altri 7 da 16,06 €)","16,06 €","16,90 €",160.0,52,"16,06 €","16,90 €","16,06 €","16,90 €",Tutte le offerte (8),Nuovo (8),"16,06 €","16,90 €",Promo attive (1),"Un debito da pagare. Una bugia da espiare. Si può conquistare un cuore senza barare?     Non sempre la vita ci riserva le gioie che meriteremmo. Grace Walker ha dovuto impararlo presto. Rimasta orfana di madre, con un padre gravemente malato, la ragazza è costretta a rinunciare alla sua passione più grande: la danza. Rassegnata a sopravvivere senza vivere davvero, Grace trova lavoro come domestica nello chalet in Vermont degli Harrison, i fratelli più belli e dannati d’America. La ragazza, però, non è una semplice cameriera, ha una missione da portare a termine, se vuole assicurare a suo padre le cure migliori e garantirsi un futuro. Fare il doppio gioco, però, per un animo candido come il suo non è facile. E come se non bastasse, a scombinarle il cuore ci si mette anche l’attrazione per Aron Harrison. Oltre il sorriso irresistibile e la calcolata gentilezza con cui ha imparato a manipolare chi lo circonda, Aron nasconde una personalità tormentata. Come Grace, ha dovuto mettere da parte i suoi sogni. Nel vano tentativo di proteggerlo, la ragazza cerca di respingerlo in ogni modo, ma se resistere a un Harrison è difficile, mentirgli è impossibile. Eppure, anche se Aron e i suoi fratelli sembrano inscalfibili, hanno tutti un punto debole: l’amore.",,,,16 gennaio 2024,"512 p., Brossura",9791259571632,,"A.J. Foster è un’autrice italiana. Appassionata di scrittura fin da piccola, ha iniziato a condividere le sue storie sulla piattaforma di lettura sociale, Wattpad, appassionando un gran numero di lettori. Studia Giurisprudenza e lavora come amministratrice aziendale. Dal 2023 Magazzini Salani pubblica La saga Harrison, composta da Dangerously Mine. Pericolosamente mio, Strangely Mine. Stranamente mio e Naively mine. Ingenuamente mio."
La filosofia di VillaBanks - VillaBanks - Libro - SEM - Neon | Feltrinelli,"Cinema, musica, tv, spettacolo",Musica,La filosofia di VillaBanks,VillaBanks,SEM,VillaBanks,"(Altri 10 da 14,21 €)","14,25 €",,,6,,"15,00 €",,"15,00 €",Tutte le offerte (11),Nuovo (11),,"15,00 €",Promo attive (1),"In questo libro, intimo, appassionato e feroce, VillaBanks ripercorre la sua storia personale trasformandola in universale, dalla quale abbiamo tutte e tutti qualcosa da imparare. Spingere! Spingere!     Se la musica è lo specchio delle generazioni che la ascoltano, Vieri Igor Traxler, in arte VillaBanks, è il portavoce della Gen Z: poliedrico, provocante e figlio del nuovo mondo. Questo libro è un distillato in pillole della realtà che lo circonda e ci riguarda: pagina dopo pagina, la temperatura sale e si dipana la sua visione, dirompente e furiosa, che punta dritto al cuore di chi lo legge. A colpi di riflessioni e poesie, l’autore spezza le catene di un passato bigotto e di un futuro intorpidito con i quali non vuole avere più niente a che fare e dà voce alla sua personale rivoluzione. Come in una jam session di sacro e profano, si bruciano i paradigmi misogini e omofobi, e dalle ceneri si ricomincia a parlare di amore, di sesso e di identità, piantando le basi per un’educazione sentimentale senza filtri. Dai social network alla spremuta d’arancia, da Michael Jackson a Don Chisciotte, dalle ragnatele alle farfalle: un viaggio nel profondo e ai confini della nostra realtà, virtuale e bestiale, che emerge come un grido travolgente in un mondo dove ogni giorno veniamo bombardati di informazioni. La voce di un artista che è stato anche un ragazzo chiuso al buio nella sua cameretta ad ascoltare per ore una cassa gracchiare mentre i sogni prendevano forma come ombre e, nelle tenebre, gli mostravano la strada.",VillaBanks,SEM,Neon,16 gennaio 2024,"144 p., Brossura",9788893905725,"2000, Ravenna","All'anagrafe Vieri Igor Traxler, VillaBanks è un rapper italiano. Si è approcciato giovanissimo al mondo della musica, iniziando a suonare il sassofono all'età di sei anni per poi appassionarsi alla musica rap da adolescente. Nel 2019 debutta con l'album autopubblicato Non lo so, certificato disco d’oro nel 2023. Vanta diverse collaborazioni con artisti italiani, tra cui Madame, TY1, Briga e Alfa.Tra i suoi album, pubblicati da Virgin Records: Quanto manca (2020), El puto mundo (2021), Filtri (2021), Sex Festival (2022) e VillaBanks (2023).Nel 2024 esce per SEM il libro, La filosofia di VillaBanks.Fonte immagine: copertina libro La filosofia di VillaBanks."
La baronessa - Anne Jacobs - Libro - Giunti Editore - A | Feltrinelli,Narrativa erotica e rosa,Rosa,La baronessa,Anne Jacobs,Giunti Editore,Anne Jacobs,"(Altri 9 da 17,96 €)","17,96 €","18,90 €",180.0,21,"17,96 €","18,90 €","17,96 €","18,90 €",Tutte le offerte (10),Nuovo (10),"17,96 €","18,90 €",,"Dai fasti degli anni '40 all'inizio degli anni '90,  La baronessa  è il primo capitolo di una nuova appassionante saga familiare, ricca di emozioni e colpi di scena.     Franziska non può credere che sia vero: adesso che il muro di Berlino è caduto può finalmente andare nella Germania dell'Est, dove si trova la tenuta dei von Dranitz. Un ritorno al passato, nella casa in cui è nata, in cui ha conosciuto il suo primo amore, in cui sono seppelliti i suoi antenati. E che, a causa degli sconvolgimenti della Seconda guerra mondiale, è stata espropriata mentre lei e sua madre sono state costrette ad andare via. Ma ora che è di nuovo lì deve fare i conti con la realtà: sono passati più di quarant'anni e la casa padronale, oltre a essere trascurata e fatiscente, è diventata una cooperativa sociale di proprietà dello Stato e, come se non bastasse, il sindaco che la gestisce non ha la minima intenzione di restituirgliela. Franziska è ormai anziana e vedova, la figlia preferisce vivere in una comune e della nipote non ha notizie, però non si scoraggia e decide che si accamperà lì, anche a costo di dormire all'addiaccio, fino a che non avrà trovato il modo di riprendersela. Dopotutto è una von Dranitz e una von Dranitz non si arrende mai. Tra le pareti della casa avita e i campi abbandonati si fanno strada i ricordi, le illusioni della gioventù e tante domande irrisolte. Nessuno sa cosa sia veramente successo all'uomo che doveva sposare, il maggiore Iversen, e come sia morta sua sorella Elfriede. Eppure la verità è più vicina di quanto non creda…",Anne Jacobs,Giunti Editore,A,10 gennaio 2024,"492 p., Brossura",9788809888876,"1941, Bassa Sassonia","Anne Jacobs è nata in un paesino della Bassa Sassonia, per poi trasferirsi a Francoforte sul Meno, dove ha studiato musica classica al conservatorio. Ha esordito come autrice di romanzi storici e saghe familiari, e ha raggiunto il successo internazionale con La Villa delle Stoffe, il primo capitolo di una saga, a cui seguono Le ragazze della Villa delle Stoffe (Giunti, 2019), L'eredità della Villa delle Stoffe (Giunti, 2020), Tempesta sulla villa delle stoffe (Giunti, 2022) e Appuntamento all'atelier Rosen (Giunti, 2023)."
Amore senza fine. Love me love me. Vol. 3 - Stefania S. - Libro - Sperling & Kupfer - Paperback | Feltrinelli,Narrativa erotica e rosa,Rosa,Amore senza fine. Love me love me. Vol. 3,Stefania S.,,Stefania S.,,"14,25 €",,,109,,"15,00 €",,"15,00 €",,,,,Promo attive (1),"Finalmente in libreria l'attesissimo capitolo finale della serie bestseller  Love me love me  , nata su Wattpad, divenuta un fenomeno del #booktok, ora un caso editoriale da oltre 100.000 copie vendute.     L'amore non è mai sbagliato. È ormai giunto l'ultimo anno di liceo per June. Le cose tra lei e James non potrebbero andare meglio di così, ora che entrambi hanno ammesso i sentimenti che provano l'uno per l'altra. Le cose cambiano quando lui, dopo una visita misteriosa a casa, scompare senza lasciare traccia. Chiedere aiuto alla polizia non è un'opzione e così la ragazza non può fare altro che rivolgersi a William. Ben presto si renderà conto che sono ancora troppi i segreti che si nascondono dietro la famiglie che credeva di conoscere e che coinvolgono le persone a cui tiene di più. Ma può l'amore sopravvivere a tutto? Può un legame essere così forte da durare per sempre?",Stefania S.,Sperling & Kupfer,Paperback,06 febbraio 2024,"672 p., Brossura",9788855441865,,"Stefania S. è un'autrice italiana. Si definisce un'amante della musica, delle serie TV e dei viaggi in giro per il mondo. Dal 2023 esce per Sperling & Kupfer la serie Love me love me."
I frutti della memoria. La mia testimonianza nelle scuole - Edith Bruck - Eugenio Murrali - Libro - La nave di Teseo - Le onde | Feltrinelli,Biografie,Biografie e autobiografie,I frutti della memoria. La mia testimonianza nelle scuole,,,,,"14,25 €",,,1,,"15,00 €",,"15,00 €",,,,,Promo attive (0),"In occasione del Giorno della Memoria, la testimonianza del dialogo continuo di Edith Bruck con ragazzi e studenti di ogni età sugli orrori del nazifascismo e dell'Olocausto, per tramandare alle generazioni future, ancora e ancora, il capitolo più buio della storia dell'uomo.     “Cari studenti, dopo tantissimi anni che mi mandate lettere, versi, disegni, sento il bisogno di rispondervi, di raccontare non il mio vissuto, che conoscete, e spero non dimenticherete mai, come me, ma la vostra promessa di portare avanti la testimonianza. Sono in debito con voi per il mio silenzio su ciò che aveva significato per me il vostro ascolto, il vostro voler sapere, le vostre domande sia sulla mia povera infanzia in Ungheria, sia sulla persecuzione, i veti, le angherie, le violenze dei compagni di scuola stessi, avvelenati dalla propaganda nazifascista e dall’antisemitismo mai sradicato contro il popolo cui appartengo.”",,,Le onde,,"160 p., Brossura",9788834616673,,
