DateTime,EventName,EventName,DateTime,Address,Other,Location,Currency,DateTime,Other
2015-09-11T21:00,Iranian Movie Nights-Tales,Iranian Movie Nights-Tales,2015-09-12T00:00,United States,http://schema.org/SoldOut,Cinema Dariche Group(Laguna Hills Cinema),USD,2015-09-09T00:00,15.00
2015-09-13T19:00,Iranian Movie Nights-Tales,Iranian Movie Nights-Tales,2015-09-13T22:00,United States,http://schema.org/SoldOut,Cinema Dariche Group(Laguna Hills Cinema),USD,2015-09-10T00:00,15.00
2015-06-06T20:00,Masoud Darvish and Baharak Live in Concert,Masoud Darvish and Baharak Live in Concert,2015-06-06T23:00,"8440 Wilshire Blvd, Beverly Hills, Ca 90211","['http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut']",Saban Theatre Beverly Hills,"['USD', 'USD', 'USD', 'USD']","['2015-05-04T10:00', '2015-05-04T10:00', '2015-05-04T10:00', '2015-05-04T10:00']","['50.00', '80.00', '40.00', '100.00']"
2017-11-29T19:00,Dar Bazm Arefan,Dar Bazm Arefan,2017-11-29T22:00,11330 Santa Monica Blvd Los Angeles California 90025 United States,http://schema.org/SoldOut,"Sholeh Restaurant , Meeting Room",USD,2017-10-30T00:00,15.00
2019-03-02T20:00,Bijan Mortazavi,Bijan Mortazavi,2019-03-02T23:00,2200 E Katella Anaheim,"['http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut']",City National Grove,"['USD', 'USD', 'USD', 'USD']","['2019-01-25T00:00', '2019-01-25T00:00', '2019-01-25T00:00', '2019-01-25T00:00']","['65.00', '85.00', '105.00', '45.00']"
2018-06-24T18:00,BALCONY,BALCONY,2018-06-24T21:00,"15928 Ventura Blvd Encino, CA 91436","['http://schema.org/SoldOut', 'http://schema.org/SoldOut']",Bi Bi Sara,"['USD', 'USD']","['2018-06-13T00:00', '2018-06-13T00:00']","['35.00', '45.00']"
2015-01-23T20:00,Susan Deyhim,Susan Deyhim,2015-01-23T23:00,"340 Royce Drive, Los Angeles, CA 90095","['http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut']","Royce Hall, UCLA","['USD', 'USD', 'USD', 'USD']","['2014-12-18T16:00', '2014-12-18T16:00', '2014-12-18T16:00', '2014-12-18T16:00']","['69.00', '29.00', '49.00', '39.00']"
2018-10-07T18:00,APARTMENT,APARTMENT,2018-10-07T21:00,18230 Kittridge St,"['http://schema.org/SoldOut', 'http://schema.org/SoldOut']",Reseda high School,"['USD', 'USD']","['2018-09-18T00:00', '2018-09-18T00:00']","['49.00', '39.00']"
2018-01-21T18:30,BALKON,BALKON,2018-01-21T21:30,"2627 Pico Boulevard Santa Monica, CA 90405","['http://schema.org/SoldOut', 'http://schema.org/SoldOut']",Morgan Wixson Theatre,"['USD', 'USD']","['2018-01-09T00:00', '2018-01-09T00:00']","['35.00', '45.00']"
2015-09-13T21:00,Iranian Movie Nights-What's the Time In your world,Iranian Movie Nights-What's the Time In your world,2015-09-14T00:00,United States,http://schema.org/SoldOut,Cinema Dariche Group(Laguna Hills Cinema),USD,2015-09-09T00:00,15.00
2017-08-26T19:00,The Cinema Rex Trial,The Cinema Rex Trial,2017-08-26T22:00,"2627 Pico Boulevard Santa Monica, CA 90405",http://schema.org/SoldOut,Morgan Wixson Theatre,USD,2017-08-26T10:00,20.00
2017-06-25T19:00,Siamak Shajarian Concert,Siamak Shajarian Concert,2017-06-25T22:00,"15600 Mulholland dr., Bel-Air, Ca, 90077","['http://schema.org/SoldOut', 'http://schema.org/SoldOut']",Gindi Auditorium - American Jewish University,"['USD', 'USD']","['2017-04-25T12:00', '2017-04-25T12:00']","['39.75', '54.75']"
2017-11-12T19:00,BALCONY,BALCONY,2017-11-12T22:00,"18719 Sherman Way, Reseda, CA 91335","['http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut']",Babylon,"['USD', 'USD', 'USD']","['2017-10-31T00:00', '2017-10-31T00:00', '2017-10-31T00:00']","['45.00', '35.00', '25.00']"
2017-11-16T19:30,"Jewish Film Festival Documentary \""Ben Gurion, Epilogue\","Jewish Film Festival Documentary \""Ben Gurion, Epilogue\",2017-11-16T22:30,"8440 Wilshire Blvd, Beverly Hills, Ca 90211","['http://schema.org/SoldOut', 'http://schema.org/SoldOut']",Saban Theatre Beverly Hills,"['USD', 'USD']","['2017-11-02T00:00', '2017-11-02T00:00']","['260.00', '36.00']"
2014-10-12T19:00,Hotel 2nd Floor,Hotel 2nd Floor,2014-10-12T22:00,"4401 West 8th Street, Los Angeles, CA, 90005","['http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut']",Wilshire Ebell Theatre,"['USD', 'USD', 'USD', 'USD', 'USD', 'USD', 'USD', 'USD', 'USD']","['2014-09-03T14:00', '2014-09-03T14:00', '2014-09-03T14:00', '2014-09-03T14:00', '2014-09-03T14:00', '2014-09-03T14:00', '2014-09-03T14:00', '2014-09-03T14:00', '2014-09-03T14:00']","['70.00', '35.00', '55.00', '45.00', '55.00', '45.00', '55.00', '45.00', '45.00']"
2017-09-10T18:00,Fiddlers Beyond The Roof,Fiddlers Beyond The Roof,2017-09-10T20:00,"8440 Wilshire Blvd, Beverly Hills, Ca 90211","['http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut']",Saban Theatre Beverly Hills,"['USD', 'USD', 'USD', 'USD', 'USD', 'USD', 'USD', 'USD', 'USD', 'USD']","['2017-08-16T00:00', '2017-08-16T00:00', '2017-08-16T00:00', '2017-08-16T00:00', '2017-08-16T00:00', '2017-08-16T00:00', '2017-08-16T00:00', '2017-08-16T00:00', '2017-08-16T00:00', '2017-08-16T00:00']","['75.00', '45.00', '120.00', '150.00', '200.00', '185.00', '100.00', '65.00', '85.00', '55.00']"
2018-01-28T18:30,BALKON,BALKON,2018-01-28T21:30,"14100 Culver Dr,","['http://schema.org/SoldOut', 'http://schema.org/SoldOut']",Caspian Restaurant,"['USD', 'USD']","['2018-01-09T00:00', '2018-01-09T00:00']","['65.00', '45.00']"
2015-09-12T21:00,Iranian Movie Nights-What's the Time In your world,Iranian Movie Nights-What's the Time In your world,2015-09-13T00:00,United States,http://schema.org/SoldOut,Cinema Dariche Group(Laguna Hills Cinema),USD,2015-09-09T00:00,15.00
2018-05-20T20:00,Shab-e Shomal,Shab-e Shomal,2018-05-20T23:00,"21433 Strathern St, Canoga Park, CA 91304","['http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut']",Knights of Columbus,"['USD', 'USD', 'USD']","['2018-04-30T00:00', '2018-04-30T00:00', '2018-04-30T00:00']","['55.00', '95.00', '65.00']"
2015-09-10T21:30,Iranian Movie Nights-What's the Time In your world,Iranian Movie Nights-What's the Time In your world,2015-09-11T00:30,United States,http://schema.org/SoldOut,Cinema Dariche Group(Laemmle Music Hall),USD,2015-09-09T00:00,15.00
2019-03-30T19:00,Happy Kurdish New Year,Happy Kurdish New Year,2019-03-30T21:00,"20 Lake Rd, Irvine, CA 92604",http://schema.org/SoldOut,20 Lake Rd,USD,2019-03-21T00:00,50.00
2014-06-01T19:00,Hotel,Hotel,2014-06-01T22:00,"20215 Saticoy Street, Canoga Park, CA 91306",http://schema.org/SoldOut,Iranian Cultural Center,USD,2014-05-09T15:00,35.00
2016-05-15T11:00,Celebrating Israel's Independence,Celebrating Israel's Independence,2016-05-15T14:00,2551 Motor Ave Los Angeles California 90064,http://schema.org/SoldOut,Rancho Park,USD,2016-04-18T00:00,10.00
2015-07-14T20:00,فیلم استراحت مطلق,"Laemmle's Music Hall,Beverly Hills (10-16 Jul) 9036 Wishire Blvd ,Beverly Hills,CA 9021    Laemmle's Town Center 5,Enino(17-23 Jul) 17200 Ventura Blvd #121,Encino,CA 91316   Laguna Hills Mall Cinema,Laguna Hills (10-19 Jul) 24155 Laguna Hills Mall,Laguna Hills, CA 92653   For session times and more info visit www.DarichehCinema.com This Voucher must be exchanged at the Box office for a ticket of your preferred session Ticket subject to seat availability.Please call the cinema in advanced to make sure the session is not sold out . Arrive at the box-office half an hour in advance to ensure your seats are available .",2015-07-14T23:00,United States,http://schema.org/SoldOut,Daricheh Cinema(Beverly Hills/Encino/Laguna Hills),USD,2015-07-14T00:00,15.00
2014-09-14T19:00,Surprise Party,Surprise Party,2014-09-14T22:00,1418 4TH ST,http://schema.org/SoldOut,MAGICAPOLIS,USD,2014-09-10T15:00,35.00
2019-08-17T20:00,Aref,Aref,2019-08-17T23:00,2200 E Katella Anaheim,"['http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut']",City National Grove,"['USD', 'USD', 'USD', 'USD', 'USD']","['2019-07-16T00:00', '2019-07-16T00:00', '2019-07-16T00:00', '2019-07-16T00:00', '2019-07-16T00:00']","['45.00', '105.00', '65.00', '125.00', '85.00']"
2014-11-16T19:00,Hamed Nikpay & Shahrokh Meshkin Ghalam,Hamed Nikpay & Shahrokh Meshkin Ghalam,2014-11-16T22:00,"4401 West 8th Street, Los Angeles, CA, 90005","['http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut']",Wilshire Ebell Theatre,"['USD', 'USD', 'USD', 'USD']","['2014-10-27T10:00', '2014-10-27T10:00', '2014-10-27T10:00', '2014-10-27T10:00']","['45.00', '100.00', '65.00', '35.00']"
2017-12-31T21:00,2018 New Year's Eve Celebration,2018 New Year's Eve Celebration,2018-01-01T00:00,"6170 Wilbur Avenue, Tarzana, CA 91335","['http://schema.org/SoldOut', 'http://schema.org/SoldOut']",Eretz Cultural Center,"['USD', 'USD']","['2017-12-26T12:00', '2017-12-26T12:00']","['135.00', '99.00']"
2016-07-24T19:00,Shabe Molana,Shabe Molana,2016-07-24T22:00,11301 Olympic Blvd #204,http://schema.org/SoldOut,Olympic Collection,USD,2016-07-11T13:00,40.00
2018-10-07T18:00,I LOVE TV by PARVIZ SAYYAD,I LOVE TV by PARVIZ SAYYAD,2018-10-07T21:00,"15600 Mulholland dr., Bel-Air, Ca, 90077","['http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut']",Gindi Auditorium - American Jewish University,"['USD', 'USD', 'USD']","['2018-07-23T00:00', '2018-07-23T00:00', '2018-07-23T00:00']","['65.00', '55.00', '45.00']"
2016-12-03T20:00,Alireza Shahmohammadi and Avasaz Ensemble Present Old Wine i,Alireza Shahmohammadi and Avasaz Ensemble Present Old Wine i,2016-12-03T23:00,"4401 West 8th Street, Los Angeles, CA, 90005","['http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut']",Wilshire Ebell Theatre,"['USD', 'USD', 'USD', 'USD', 'USD']","['2016-10-18T19:00', '2016-10-18T19:00', '2016-10-18T19:00', '2016-10-18T19:00', '2016-10-18T19:00']","['50.00', '40.00', '30.00', '70.00', '100.00']"
2017-02-19T20:00,Razor's Edge: The Legacy of Iranian Actresses,Razor's Edge: The Legacy of Iranian Actresses,2017-02-19T23:00,135 South Doheny Drive,http://schema.org/SoldOut,Writers Guild Theatre,USD,2017-01-07T00:00,50.00
2018-06-17T18:00,BALCONY,BALCONY,2018-06-17T21:00,"15928 Ventura Blvd Encino, CA 91436","['http://schema.org/SoldOut', 'http://schema.org/SoldOut']",Bi Bi Sara,"['USD', 'USD']","['2018-06-13T00:00', '2018-06-13T00:00']","['35.00', '45.00']"
2015-09-13T17:00,Iranian Movie Nights-What's the Time In your world,Iranian Movie Nights-What's the Time In your world,2015-09-13T20:00,United States,http://schema.org/SoldOut,Cinema Dariche Group(LaemmleTown Center),USD,2015-09-09T00:00,15.00
2014-07-27T20:30,Sussan Deyhim,Sussan Deyhim,2014-07-27T23:30,"5515 Wilshire Blvd, Los Angeles, Ca, 90036","['http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut']",El Rey Theatre,"['USD', 'USD', 'USD', 'USD']","['2014-06-17T15:00', '2014-06-17T15:00', '2014-06-17T15:00', '2014-06-17T15:00']","['65.00', '65.00', '40.00', '80.00']"
2015-07-16T20:00,شهر موشها 2,"Laemmle's Music Hall,Beverly Hills (10-16 Jul) 9036 Wishire Blvd ,Beverly Hills,CA 9021    Laemmle's Town Center 5,Encino(17-23 Jul) 17200 Ventura Blvd #121,Encino,CA 91316   Laguna Hills Mall Cinema,Laguna Hills (10-19 Jul) 24155 Laguna Hills Mall,Laguna Hills, CA 92653   For session times and more info visit www.DarichehCinema.com This Voucher must be exchanged at the Box office for a ticket of your preferred session Ticket subject to seat availability.Please call the cinema in advanced to make sure the session is not sold out . Arrive at the box-office half an hour in advance to ensure your seats are available .",2015-07-16T23:00,United States,http://schema.org/SoldOut,Daricheh Cinema(Beverly Hills/Encino/Laguna Hills),USD,2015-07-14T00:00,15.00
2015-09-10T19:30,Iranian Movie Nights-Tales,Iranian Movie Nights-Tales,2015-09-10T22:30,United States,http://schema.org/SoldOut,Cinema Dariche Group(Laemmle Music Hall),USD,2015-09-09T00:00,15.00
2016-02-28T19:00,Shahla Sarokhani Longing & Affection Songs,Shahla Sarokhani Longing & Affection Songs,2016-02-28T22:00,"200 S Grand Ave Los Angeles, CA 90012","['http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut']",Zipper Hall Colburn School of Music,"['USD', 'USD', 'USD', 'USD']","['2016-01-18T00:00', '2016-01-18T00:00', '2016-01-18T00:00', '2016-01-18T00:00']","['35.00', '65.00', '85.00', '45.00']"
2015-09-12T21:30,Iranian Movie - What's the time in your world/Tales,Iranian Movie - What's the time in your world/Tales,2015-09-13T00:30,United States,http://schema.org/SoldOut,Cinema Dariche Group(Laemmle Music Hall/Laemmle Town Center),USD,2015-09-09T00:00,15.00
2016-04-09T16:00,Nowruz Party,Nowruz Party,2016-04-09T19:00,"3900 W. Manchester Blvd, Inglewood CA 90305","['http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut']",The Forum,"['USD', 'USD', 'USD', 'USD', 'USD']","['2016-03-17T16:00', '2016-03-17T16:00', '2016-03-17T16:00', '2016-03-17T16:00', '2016-03-17T16:00']","['100.00', '120.00', '150.00', '90.00', '60.00']"
2015-03-08T11:00,"Business Expo 2015, Noruz Festival","Business Expo 2015, Noruz Festival",2015-03-08T14:00,555 Universal Hollywood Dr,http://schema.org/SoldOut,Hotel Hilton Universal City,USD,2015-02-05T14:00,10.00
2014-11-30T18:30,Hotel 2nd Floor,Hotel 2nd Floor,2014-11-30T21:30,18230 Kittridge St,"['http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut']",Reseda high School,"['USD', 'USD', 'USD', 'USD', 'USD', 'USD', 'USD', 'USD']","['2014-11-06T14:00', '2014-11-06T14:00', '2014-11-06T14:00', '2014-11-06T14:00', '2014-11-06T14:00', '2014-11-06T14:00', '2014-11-06T14:00', '2014-11-06T14:00']","['60.00', '35.00', '60.00', '25.00', '35.00', '35.00', '35.00', '45.00']"
2017-08-19T20:00,Kooban Ensemble,Kooban Ensemble,2017-08-19T23:00,"15600 Mulholland dr., Bel-Air, Ca, 90077","['http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut', 'http://schema.org/SoldOut']",Gindi Auditorium - American Jewish University,"['USD', 'USD', 'USD', 'USD']","['2017-07-10T12:00', '2017-07-10T12:00', '2017-07-10T12:00', '2017-07-10T12:00']","['45.00', '65.00', '35.00', '55.00']"
