DateTime,EventName,DateTime,EventStatusType,Organization,EventAttendanceModeEnumeration
2020-10-13T14:20:00.000Z,Adventure Trek 3,2020-10-16T23:00:00.000Z,https://schema.org/EventCancelled,Location is TBD,https://schema.org/OfflineEventAttendanceMode
2020-09-24T22:00:00.000Z,Kofu Park - September 24th,2020-09-25T00:00:00.000Z,https://schema.org/EventScheduled,Kofu Park,https://schema.org/OfflineEventAttendanceMode
2020-09-26T02:00:00.000Z,Outdoor Movie Theate - September 25th,2020-09-26T04:30:00.000Z,https://schema.org/EventScheduled,17 W Lockeford St,https://schema.org/OfflineEventAttendanceMode
2020-07-21T16:00:00.000Z,One Eighty Community Boat Day,2020-07-22T02:20:00.000Z,https://schema.org/EventCancelled,South Shore Lake Camanche Marina,https://schema.org/OfflineEventAttendanceMode
2020-04-23T13:00:00.000Z,Mt. Shasta Summit Trip,2020-04-27T17:00:00.000Z,https://schema.org/EventScheduled,Location is TBD,https://schema.org/OfflineEventAttendanceMode
2020-07-13T14:00:00.000Z,Santa Cruz Beach Bash,2020-07-16T22:00:00.000Z,https://schema.org/EventCancelled,Location is TBD,https://schema.org/OfflineEventAttendanceMode
2020-09-17T22:00:00.000Z,Kofu Park - September 17th,2020-09-18T00:00:00.000Z,https://schema.org/EventScheduled,Kofu Park,https://schema.org/OfflineEventAttendanceMode
2020-09-30T22:00:00.000Z,Kofu Park - September 30th,2020-10-01T00:00:00.000Z,https://schema.org/EventScheduled,Kofu Park,https://schema.org/OfflineEventAttendanceMode
2020-09-19T02:00:00.000Z,Marvel Movie Marathon - September 18th,2020-09-19T04:30:00.000Z,https://schema.org/EventScheduled,17 W Lockeford St,https://schema.org/OfflineEventAttendanceMode
2020-03-15T16:00:00.000Z,Spring Break 2020 Road Trip!!!,2020-03-18T20:00:00.000Z,https://schema.org/EventScheduled,Location is TBD,https://schema.org/OfflineEventAttendanceMode
2020-10-03T02:00:00.000Z,Outdoor Movie Theate - October 2nd,2020-10-03T04:30:00.951Z,https://schema.org/EventScheduled,17 W Lockeford St,https://schema.org/OfflineEventAttendanceMode
2020-09-23T22:00:00.000Z,Kofu Park - September 23rd,2020-09-24T00:00:00.000Z,https://schema.org/EventScheduled,Kofu Park,https://schema.org/OfflineEventAttendanceMode
2020-10-01T22:00:00.000Z,Kofu Park - October 1st,2020-10-02T00:00:00.000Z,https://schema.org/EventScheduled,Kofu Park,https://schema.org/OfflineEventAttendanceMode
2020-06-04T14:00:00.000Z,Adventure Trek 1,2020-06-07T18:00:00.000Z,https://schema.org/EventScheduled,Location is TBD,https://schema.org/OfflineEventAttendanceMode
