DateTime,EventDescription,DateTime,EventDescription,EventStatusType,EventAttendanceModeEnumeration,EventName
2020-08-10 18:00:00,"Rewire Your Brain to Rewire Your Life - Interview with Cari Rosno Mon Aug 10, 6:00 PM - Mon Aug 10, 7:00 PM",2020-08-10 19:00:00,"Today on our podcast, we are joined with Cari Rosno, an amazing entrepreneur who devotes her life to empowering others to see past their self-doubt to reach their true potential.",https://schema.org/EventScheduled,https://schema.org/OfflineEventAttendanceMode,On The Spot Dallas Mobile Car Wash
2020-10-09T20:00:00-04:00,Ty Segall and the Freedom Band @ Mohawk,2020-10-10T00:00:00-04:00,Margin Walker + LEVITATION present ALL AGES,,,Mohawk Austin
2023-03-16T00:00:00-04:00,A Better Future for Texas Craft Beer,2023-03-16T08:00:00-04:00,Why we support SB 515-518,,,Austin Beerworks
2020-09-14 12:00:00,"Pressure Mon Sep 14, 12:00 PM - Sat Oct 10, 6:00 PM",2020-10-10 18:00:00,Pressure seeks validation of the black female form by allowing it to exist as a mindset that rejects mind-less strength and claims self-preservation.,https://schema.org/EventScheduled,https://schema.org/OfflineEventAttendanceMode,Big Medium
2019-12-07 13:00:00,"2nd Annual 12 Bars of Christmas Bar Crawl® - Austin Sat Dec 7, 1:00 PM - Sat Dec 7, 9:00 PM",2019-12-07 21:00:00,"The 3rd Annual 12 Bars of Christmas Crawl® is coming back to town Saturday December 7th from 12pm-8pm!! Put on your best holiday onesies, Santa suits, ugly sweaters, and elf costumes and get ready to crawl! What you get: - 16oz Bad Santa Stadium Cup",https://schema.org/EventScheduled,https://schema.org/OfflineEventAttendanceMode,6th Street Area Bars
2020-08-22 18:30:00,"Big Brothers Big Sisters' 2020 Ice Ball: A Big Night In Sat Aug 22, 6:30 PM - Sat Aug 22, 8:00 PM",2020-08-22 20:00:00,"An online evening of entertainment, inspiration and revelry that makes a lifetime of difference for kids in our community.",https://schema.org/EventScheduled,https://schema.org/OfflineEventAttendanceMode,Livestreaming online
2020-10-01 19:30:00,"Kiss Thu Oct 1, 7:30 PM - Thu Oct 1, 7:30 PM in 4 days",2020-10-01 19:30:00,,https://schema.org/EventScheduled,https://schema.org/OfflineEventAttendanceMode,Austin360 Amphitheater
2020-10-17T20:00:00-04:00,Pinecrest Gardens presents 'Banyan Bowl Live” Featuring Jon Secada,2020-10-17T22:00:00-04:00,"With a career spanning over two decades, two Grammy Awards, 20 million albums sold, and starring roles on Broadway, the acclaimed Jon Secada established himself as one of the first bilingual artists to have international crossover success.",,,Online event
2020-09-23 18:30:00,"5 Ways to Market yourself as an Artist on Social Media Wed Sep 23, 6:30 PM - Wed Sep 23, 8:00 PM",2020-09-23 20:00:00,"5 Ways to Market Yourself as an Artist on Social Media is hosted by Film producer, Funmi Ogunro who will share methods on how to market yourself and your art on social media.",https://schema.org/EventScheduled,https://schema.org/OnlineEventAttendanceMode,Big Medium
2020-11-13T19:00:00-05:00,Austin Food + Wine Festival 2020,2020-11-15T15:00:00-05:00,"Austin Food + Wine Festival will be rescheduled to November 13-15, 2020 at Auditorium Shores. In all instances, the health and safety of our guests, chefs, partners, staff and community is our top priority and planned for accordingly.",,,Austin Food + Wine Festival
