HotelName,AddressLocality,AddressLocality,PostalCode,Other,Other,HotelDescription
Artesia Inn,Artesia,1820 South 1st Street,,32.821344,-104.39566,
Days Inn - Tucumcari,Tucumcari,2623 South 1St St I-40,88401.0,35.1016,-103.741,5
Days Inn - Santa Rosa,Santa Rosa,1830 Will Rogers Drive,88435.0,34.944962,-104.666634,
Comfort Inn,Farmington,555 Scott Ave.,87401.0,36.730899,-108.189813,"The Comfort Inn® hotel is located on Scott Road, off of U.S. Highway 516. This Farmington hotel is close to many nearby points of interest including San Juan College, the San Juan River, Aztec Speedway, Chaco Culture National Historical Park and Pinon Hills Golf Course, which was rated by Golf Digest as the \""Best Municipal Golf Course\"" in the United States.</p"
Homestead Suites - Albuquerque,Albuquerque,5400 San Antonio Boulevard,87109.0,35.159532,-106.584216,TH
Fairfield Inn & Suites Hobbs,Hobbs,1350 West Joe Harvey Boulevard,88240.0,32.7407253609,-103.1530018038,"Travel with confidence by checking into the Fairfield Inn & Suites by Marriott Hobbs hotel, with outstanding service to make all of your travels easy and comfortable - at an exceptional value. With a great location near the Black Gold Casino and Race Track, we are always ready to welcome you with amenities like thoughtfully designed guest rooms and suites that allow you to work and relax, free Wi-Fi throughout the hotel to stay connected during your stay, and fitness facilities that include a pool and fitness center. You'll find it easy to settle into our vibrant lobby, with spaces to gather, relax and work. Jump-start your day with our free breakfast, now with more hot choices like scrambled eggs, sausage and oatmeal, plus favorites including fresh fruit and yogurt. At the Fairfield Inn & Suites Hobbs, you'll always find the courteous service you deserve, plus all the little things you expect from Fairfield Inn & Suites to help you get it done when you travel."
Holiday Inn Clovis,Clovis,2700 East Mabry Dr P.O. Box 973,88101.0,34.404709,-103.205338,12
Best Western Kachina Lodge,Taos,413 Paseo Del Pueblo Norte,87571.0,36.412192,-105.568685,TH
Comfort Inn,Roswell,3595 N. Main St.,88201.0,33.4405146475,-104.5231088,"Ideally located directly off Highway 285 and Highway 70, the Comfort Inn® hotel is just minutes from area attractions like the Spring River Park & Zoo, the Roswell Museum & Art Center and the Anderson Museum of Contemporary Art. Travelers will enjoy visiting Bottomless Lakes State Park and Petroglyph National Monument.</p"
Quality Inn & Suites,Alamogordo,1020 S. White Sands Blvd.,88310.0,32.879365,-105.961521,"The Comfort Inn & Suites® hotel is conveniently located near Flickinger Center for Performing Arts and New Mexico State University at Alamogordo. White Sands National Monument, Ruidoso Downs Race Track and Casino, Holloman Air Force Base and White Sands Missile Range are located minutes away from this Alamogordo hotel.</p"
Quality Inn Rio Rancho,Rio Rancho,4081 High Resort Blvd SE,87124.0,35.2492243697,-106.653707474,"The Comfort Inn® hotel is ideally located in Rio Rancho's business district, about 20 minutes from Albuquerque. This Rio Rancho, NM hotel is less than 20 miles from the Albuquerque Aquarium, the Albuquerque Convention Center, the Rio Grande Zoo, Balloon Fiesta Park, the Indian Pueblo Culture Center museum and the University of New Mexico."
Comfort Inn & Suites,Socorro,1259 Frontage Rd. NW,87801.0,34.0784149756,-106.894946601,"The Comfort Inn & Suites® hotel is ideally located in the Rio Grande Valley, just two miles from the Garcia Opera House. This Socorro hotel is minutes from Bosque del Apache National Wildlife Refuge, the Old San Miguel Mission and the popular Kelly Ghost Town. The Socorro Municipal Airport is nine miles away.</p"
Homestead Suites - Santa Fe North,Santa Fe,18 Buffalo Trail,87506.0,35.63475,-106.03995,
Courtyard by Marriott Santa Fe,Santa Fe,3347 Cerrillos Road,87507.0,35.6492280107,-106.002527393,"At the newly renovated Courtyard by Marriott Santa Fe, we feature a blend of Native American culture and modern luxury for a unique lodging experience. Our spacious guest rooms are designed for personal comfort, security, and revitalization. Complimentary Internet access is available in all guest rooms and common areas. We are located just minutes away from the Santa Fe Airport and many attractions."
Days Inn - Albuquerque West,Albuquerque,6031 Iliff Road NW,87121.0,35.103537,-106.706605,5
Days Inn - Farmington,Farmington,1901 E Broadway,87401.0,36.728263,-108.193348,
Howard Johnson Inn - Gallup,Gallup,3404 W Highway 66,87301.0,35.505307,-108.833374,"The Howard Johnson Inn Gallup, NM is located at the Western intersection of I-40 and US 66 just minutes from Window Rock, AZ, Red Rock State Park, Canyon de Chelly, and many other attractions. A clean, comfortable, and convenient stop over on your way to the Grand Canyon!</p"
Comfort Inn & Suites,Lordsburg,400 Wabash St.,88045.0,32.3442469547,-108.713184166,"The Comfort Inn & Suites® hotel is conveniently located near Interstate 10, halfway between Phoenix and El Paso. This Lordsburg, NM hotel is minutes from Shakespeare Ghost Town, Steins Railroad Ghost Town, Redrock Wildlife Area and the Lordsburg Hidalgo County Museum. Enjoy a taste from the past at the Medicine Shop Drugstore, offering an antique soda fountain."
Comfort Inn Midtown,Ruidoso,2709 Sudderth Dr.,88345.0,33.3320734344,-105.676527099,"2010 Readers Choice Award winning hotel located in the heart of downtown Ruidoso entertainment district. Walk to shops, restaurants, galleries and lounges. Complimentary HOT breakfast is served daily. Hotel also features Free High speed internet and indoor heated pool and spa. Extended size family rooms are also available."
Rodeway Inn - Albuquerque,Albuquerque,13141 Central Avenue NE,87123.0,35.069445,-106.499961,"The Rodeway Inn® hotel is conveniently located on historic Route 66, less than one mile from Los Altos golf course. This Albuquerque hotel is five miles from Albuquerque Biological Park, which includes the Albuquerque Aquarium, the Rio Grande Botanic Garden, the Rio Grande Zoo and Tingley Beach.</p"
Vista del Rio Lodge,Chama,2595 US Hwy. 64/84,87520.0,36.8873,-106.5794,
Hotel Artesia,Artesia,203 North 2nd St.,88210.0,32.8434512,-104.398824,"With 52 guest rooms, including extended-stay suites outfitted with kitchenettes, and 4,000 square feet of meeting space, the Hotel Artesia is designed to serve both leisure and business travelers as well as the local community looking for meeting and special event venues. Artesia native Richard Yates has carefully crafted the distinctive Art Deco architecture with Zydeco as the developer.</p"
Econo Lodge,Albuquerque,25 1/2 Hotel Circle NE,87123.0,35.0847969124,-106.529932812,"The Econo Lodge® hotel is conveniently located off Interstate 40, walking distance from the Los Altos Golf Course. This Albuquerque, NM hotel is close to area attractions like Old Town Albuquerque, the Rio Grande Zoo, Sandia Peak Ski and Tramway, the Albuquerque Convention Center and the National Atomic Museum.</p"
Aztec Motel,Aztec,221 S Main,87410.0,36.821212,-107.9955654,
Rodeway Inn,Espanola,604-B S. Riverside Dr.,87532.0,35.9877257741,-106.062258095,"The Comfort Inn® hotel is located off of State Route 285, approximately four miles from the San Juan Pueblo Airport. This Espanola hotel is near many local points of interest including Northern New Mexico College, the ChimayÃ³ Museum, Espanola Farmers Market, the Bond House Cultural Center and the Camel Rock Casino.</p"
Raton Pass Inn,Raton,308 Canyon Drive,87740.0,36.9071422,-104.4394293,
QUALITY INN,Albuquerque,6100 West Iliff Rd,87121.0,35.102657,-106.70872,"The Quality Inn & Suites™ hotel is conveniently located just minutes from Albuquerque International Sunport airport. This Albuquerque, NM hotel provides easy access to many area tourist attractions, including the Rio Grande Zoo, the National Atomic Museum, the Indian Pueblo Cultural Center and historic Old Town Albuquerque.</p"
Quality Suites,Albuquerque,1501 Gibson Blvd,87106.0,35.0590438809,-106.632328771,"The Quality Suites™ hotel is conveniently located less than one mile from the Albuquerque International Sunport airport. This Albuquerque hotel is close to popular area attractions, including the University of New Mexico, the Sandia Peak ski area, Old Town Albuquerque and the Kirtland Air Force Base.</p"
Holiday Inn Express & Suites Grants - Milan,Grants,1512 East Santa Fe Ave,87020.0,35.1289756244,-107.8265822375,"In Grants, New Mexico, lodging with us is the ""Smart Choice"" if you're visiting the area for work or just want to get away from it all. Because the Holiday Inn Express® Grants - Milan hotel is located just off I-40 (Historic Route 66), it's easy to get around both cities.If you're here on business, you'll enjoy our corporate amenities. Our business center makes it easy to finish work with free Wi-Fi access, a notary public and services like printing, faxing and copying. Additionally, the offices of McKinley Paper, Peabody Energy and Corrections Corporation of America are near our hotel's property in Grants, New Mexico.While lodging at our contemporary hotel, you'll find there are tons of attractions nearby. Check out the casino and ancient Native American dwellings at Sky City in Acoma Pueblo, or discover the amazing Ice Caves and Bandera Volcano. Outdoor enthusiasts can't miss hiking through the hauntingly beautiful El Malpais National Monument.We do everything we can to make sure your stay in our 100% smoke-free hotel is outstanding. Take a dip in an indoor, heated pool or relax in our lavish whirlpool. You can keep in shape in the state-of-the-art fitness center, too. Every"
Quality Inn Navajo Nation Capital,Window Rock,48 West Highway 264,86515.0,35.6639120253,-109.0538269687,"The Quality Inn® Navajo Nation Capital is conveniently located in the heart of Navajo Country, next door to the Navajo Nation Museum, the Navajo Nation Arts and Crafts and the Navajo Nation Zoo. This Window Rock hotel is close to popular area attractions like the Window Rock Tribal Park, the Hubbell Trading Post, the Navajo Nation Council Chambers, St. Michael's Museum and DinÃ© College.</p"
Holiday Inn Hotel & Suites Albuquerque-North I-25,Albuquerque,5050 Jefferson St. Ne,87109.0,35.139025,-106.593331,We
Extended Stay America DELUXE - Rio Rancho,Rio Rancho,2221 Rio Rancho Blvd,87124.0,35.221173,-106.662563,
Nobody's Inn,Durango,920 Main Avenue,81301.0,37.2736773884,-107.8805278446,"Located in the middle of Historic Downtown Durango, Nobody’s Inn is a great home base for your stay in Durango. This unique Inn is situated on the second floor of a fully-restored 120 year old building. Each room is spacious, comfy and cozy with fully-equipped kitchens, private bathrooms and central air."
Comfort Inn Albuquerque Airport,Albuquerque,1801 Yale Boulevard Southeast,87106.0,35.061639,-106.622057,"The Econo Lodge Inn & Suites® Albuquerque Airport is only one mile from the Albuquerque International Sunport airport and offers free airport transportation for its guests. This Albuquerque, NM hotel is close to local points of interest like Kirtland Air Force Base, UNM Hospital, the University Stadium and the University Arena, also known as The Pit. Isotopes Park, Albuquerque Studios and Raymond G. Murphy VA Medical Center are also nearby.</p"
Days Inn - Moriarty,Moriarty,1901 Main Street,87035.0,35.00372,-106.0511,4
Travelodge Ruidoso,Ruidoso,159 West Highway 70,88345.0,33.337545,-105.577603,"The Quaint Travelodge Ruidoso offers Product, Location and Value. Guest rooms are nicely appointed and all rooms are on ground floor. Located on Beautiful Highway 70 the hotel is conveniently located to Downtown Ruidoso, Casinos, Hubbard Museum and Ruidoso Downs Racetrack. When visiting Ruidoso select the Travelodge where guest appreciation is of the highest standards.</p"
