HotelName,AddressLocality,PostalCode,Country,LocationFeatureSpecification,LocationFeatureSpecification
Cape Sienna Phuket Hotel & Villas,"18/40 Moo 6, Nakalay Road, Kathu",83150,Thailand,98.273109,7.949119
AMARYLLIS RESORT & SPA - PHAN THIET - MU,"Hamlet 5, Phu Hai ward",0,Vietnam,108.261478,10.98046
Swiss-Belhotel Seef Bahrain,"Building 1012, Road 2813 Block 0428",,Bahrain,50.536798,26.236443
Century Park Hotel,Ratchaprarop Rd 9,10400,Thailand,100.543205,13.76216
Thavorn Beach Village & Spa Phuket,"6/2 Moo 6, Nakalay Bay, Patong Beach, Kathu",83150,Thailand,98.272812,7.925402
Ramada D’MA Bangkok,"1091/388 New Petchburi Rd., Soi 33,",10400,Thailand,100.546149,13.752646
ibis Phuket Patong,10 Chalermphrakiat Road Kathu District Patong,83150,Thailand,98.299751,7.902177
Connect Guesthouse Connect Guesthouse,125/8-9 Rath-U-Thit Rd.,83150,Thailand,98.29953,7.8958
Happy Trails At Okemo,321 Route 103 South,05149,USA,-72.673068,43.390778
RIT Inn & Conference Center RIT Inn & Conference Center,5257 W Henrietta Rd,14467,USA,-77.65818,43.04926
ZAVER PEARL CONTINENTAL GWADAR,,00000,Pakistan,62.323,25.1346
WOODSPRING SUITES BEAUMONT,2375 SOUTH I-10 & HWY 69,77705,USA,-94.14027,30.05443
Lonno Lodge Hotel,Kanani Rd. 390,80200,Kenia,40.047183,-3.339319
Taipei Fullerton Hotel South,"41 Fu Xing South Rd., Section 2",10665,Taiwan,121.543703,25.031481
The Parklane Inn,1049 Chien Hsing Road,403,Taiwan,120.663171,24.15598
Novotel Danang Premier Han River,36 Bach Dang Street Hai Chau District,02363,Vietnam,108.223333,16.077221
Ben Thanh Boutique Hotel,"55/34 LeThi Hong Gam Street, Nguyen Thai BinhWard",,Vietnam,106.698159,10.768176
Courtyard Nassau Downtown/Junkanoo Beach,West Bay Street,,Bahamas,-77.349391,25.078597
Eney Эней,2 Shimzeriv Street,79010,Ukraine,24.0506,49.83477
ShengYuan Hotel,"District 25, near ZhongHua Road",165012,China Volksrepublik,124.711526,52.335262
The St. Regis New York,"Two East 55th Street, at Fifth Avenue",10022,USA,-73.974444,40.761418
The Park Surin The Park Surin,"128 Had Surin Soi 8, Srisoonthorn Rd.",83110,Thailand,98.28062,7.98117
Capital Hotel Nanjing,"No.156, Sec. 4, Nanjing E. Rd.",10553,Taiwan,121.556316,25.051381
Palitra,"11, Constantine Doganov Street",9000,Bulgarien,27.899736,43.206169
Maison de Chine Taichung,306 Hou Zhuang Rd.,406,Taiwan,120.666789,24.191067
Park City Hotel Central Taichung,"No.66, Minquan Rd",400,Taiwan,120.680645,24.137497
Waterfront Airport Hotel & Casino,1 Airport Road,6015,Philippinen,123.977703,10.316793
Green Tree Penglai Pavilion Beiguan Road Express Hotel (Domestic only),The intersection of Beiguan Road and Dongguan Road,265600,China Volksrepublik,120.765875,37.816666
Windsor Hotel,Taiwan Ave. 4th Sec. Taiwan Boulevard Road 610,40764,Taiwan,120.62397,24.179086
Hampton Inn - Suites Albany-Airport,45 British American Blvd.,12110,USA,-73.821682,42.768342
Amagi Yugasima Onsenkyo Amagiji,"578 6 Ichiyama, Izu shi, Shizuoka 410 3205, Japan.",4103205,Japan,138.932205,34.973066
Wayside Inn Wayside Inn,7th Avenue & Mission Street,93921,USA,-121.92093,36.55319
Patong Princess Hotel Patong Princess Hotel,34/106 Prachanukroh Rd.,83150,Thailand,98.292839,7.884391
Kaiserdom South Bus Station,Mechanical and electrical market E District,410001,China Volksrepublik,113.0101,28.09178
Best Western Premier Bangtao Beach Resort & Spa,29 Moo 3 Tumbon Cheung Thalay 124,83110,Thailand,98.28682,7.98528
White Dolphin Complex White Dolphin Complex,Qawra Coast Road,SPB 1904,Malta,14.423597,35.95029
HOCK LEE HOTEL & RESIDENCES HOCK LEE HOTEL & RESIDENCES,Hock Lee Centre,93450,Malaysia,110.36793,1.55239
Andaman Embrace Resort & Spa,"2 Hadpatong Road, Patong Beach",83150,Thailand,98.297939,7.899494
HOWARD JOHNSON HOTEL BRANSON,3027 A WEST HWY 76 HWY 76 AND HWY 165,65616,USA,-93.36928,36.69836
Tuana Issara Resort,34/58 Prachanukroh Rd.,83150,Thailand,98.292992,7.881709
Dandy Hotel Daan Park Branch,"33, Sec. 3, Sinyi Rd.",10657,Taiwan,121.534611,25.033749
The Provincetown Inn,1 Commercial Street,02657,USA,-70.1957,42.037684
Hotel Bell Kaneyama Fuji Goko Resort & Business,"2318 1 Kamiyoshida, Fujiyoshida shi, Yamanashi 403 0005, Japan.",4030005,Japan,138.808003,35.459791
(RYOKAN) Yugashima Tatsuta,"347 Yugashima, Izu shi, Shizuoka 410 3206, Japan.",4103206,Japan,138.928062,34.888037
Wyndham Legend Halong Hotel,"No 12. Ha Long Street, Bai Chay Ward, Quang Ninh Province",,Vietnam,107.060483,20.959585
Temple Tree Resort & Spa,"Gaurighat,Lakeside 6",33411,Nepal,83.963233,28.205992
Pullman New Delhi Aerocity,Asset No 02 GMR Hospitality District IGI Airport New Delhi,110037,Indien,77.121211,28.549658
Oriental Palace Hotel,Tijjar Street,5546,Bahrain,50.577798,26.233104
Li-Shiuan International,No.99-1 Zhongmei Road,97054,Taiwan,121.625365,23.991185
Hyatt Place San Juan/Bayamon,,00961,Puerto Rico,-66.159793,18.408258
Hotel One Murree,Bhurban Road,47150,Pakistan,73.440948,33.943483
Fullon Resort Kenting,1000 Chuanfan Road Pingtung County,946,Taiwan,120.818232,21.937025
Wang Fu Cha Er Kang Hotel,The intersection between Shiguang Yangguang Avenue and Wanjiali Road,410117,China Volksrepublik,113.035393,28.094688
ibis Guangzhou GDD,No 348 Kaifa Avenue Construction Building E and T Development District,510730,China Volksrepublik,113.525383,23.059536
Beacon Hotel,"7F, No. 427 Fuxing Road",40742,Taiwan,120.645236,24.179145
Remm Roppongi,7-chōme-14-4 Roppongi,106-0032,Japan,139.731274,35.663746
JW Marriott Khao Lak Resort & Spa JW Marriott Khao Lak Resort & Spa,,82220,Thailand,98.286948,8.723617
Ao Nang Paradise Resort & Longstay,,81000,Thailand,98.827443,8.033187
Fanari Khaolak Resort - Courtyard Zone Fanari Khaolak Resort - Courtyard Zone,,82190,Thailand,98.286948,8.723617
Fullon Hotel LihPao Land,"No.88, Fullon Rd",421,Taiwan,120.695184,24.322975
HOWARD JOHNSON MAINGATE RESORT,8620 W IRLO BRONSON HWY US HWY 27 AND 192,34747,USA,-81.633449,28.345626
Kharkiv Palace,Avenue Nezalezhnosti 2,61022,Ukraine,36.232755,50.00656
Kolvi Hotel,7 M Khudyakov street,420021,Russland,49.112016,55.783037
Gubernator,"Novotorzhskaya Street 15, building 1",170100,Russland,35.907098,56.858709
Sohar Beach Hotel,P.O.Box 122 Al Tareef,321,Oman,57.00256,25.12041
Amara Cay Resort Amara Cay Resort,80001 Overseas Hwy,33036,USA,-80.670276,24.892532
HD Palace,"2F, No. 100, An-he Rd.",10680,Taiwan,121.549737,25.02834
Hotel de Bangkok,"133/48 Ratchaprarop road, Makkasan, Ratchathewi",10400,Thailand,100.54298,13.757096
Baramee Hip Hotel,"188/38 Phangmuang Sai Ko Road, Patong, Kathu",83150,Thailand,98.302495,7.894096
Sky Rooms Suites,"The Pavillion Tower, Level 16",50200,Malaysia,101.713337,3.148911
Meliá Danang Beach Resort,"Group 39, Hoa Hai ward, Ngu Hanh",59000,Vietnam,108.270103,15.99977
Hotelday Plus Chiayi,Chuiyang RD. no. 866,60043,Taiwan,120.437589,23.473066
Comfort Suites Vero Beach I-95,I-95 AND SR 60 SE QUAD,32963,USA,-80.514832,27.638462
Viva Wyndham Fortuna Beach,Churchill Dr and Doubloon Road,42398,Bahamas,-78.592672,26.536265
Belle Vue Inn Hotel Belle Vue Inn Hotel,King Khaled St.,32244,Saudi Arabien,50.08987,26.43653
Knights Inn Clearwater Beach,S Gulfview Blvd 678,33767,USA,-82.824302,27.966708
Tempus Hotel Taichung,No. 9 Taichung Kang Rd. Section. 2,407,Taiwan,120.655677,24.158883
La Quinta Inn by Wyndham Cheyenne,2410 WEST LINCOLN WAY,82009-3001,USA,-104.847177,41.121415
The Harbour Side Lodge,Royal Road 83,,Mauritius,57.505876,-20.159357
Baumanburi Hotel,239/1 Rat U Thit 200 Pi Rd Patong Beach Kathu,83150,Thailand,98.29442,7.886412
Northeast Suites at Watermark West,350 Third Street,02142,USA,-71.083421,42.363497
Aurora Аврора,"Alchevskyh Str., 10/12",61002,Ukraine,36.24046,50.00212
HOTEL PARADOR EL BUEN CAFE-HATILLO,,00659,Puerto Rico,-66.789209,18.48834
Ramada Inn.,"2115 South 6th Street, Highway 371 at Highway 371 Business Exit",56401,USA,-94.200797,46.332932
Hotel One Murree,,47150,Pakistan,73.440948,33.943483
Hotel de Karon Hotel de Karon,526/27-33 Patak Road,83100,Thailand,98.295418,7.849698
Serene Landmark Serene Landmark,"Building #66, Avenue 22, Area 324",20139,Bahrain,50.60056,26.22487
United Resort Yomitan,"538 1 Senaha, Yomitan son, Nakagami gun, Okinawa 904 0101, Japan.",9040325,Japan,127.730663,26.417649
Westmont Inn - Lakeland,1817 E Memorial Blvd,33801,USA,-81.92872,28.051013
Hótel Keilir by Keflavík Airport Hótel Keilir by Keflavík Airport,,230 KEF,Island,-22.553084,64.002495
Grande Elegance Serviced Apartment Grande Elegance Serviced Apartment,5/3-5 Sirirat Rd,83150,Thailand,98.293446,7.880254
Americas Best Value Inn,E Bluelick Rd 3600,45801,USA,-84.038809,40.788079
Citadel Inn Цитадель Инн,Grabovsky Street,79000,Ukraine,24.02665,49.83387
Siam Palm Residence Siam Palm Residence,5/13 Haad Patong Road.,83150,Thailand,98.27906,7.88473
Scottish Inn Bloomington,126 South Franklin Road,47404,USA,-86.571483,39.166023
Yasuragi no Bettei Shikitei,"2614 Oasumi, Fujiyoshida, Yamanashi 403 0003, Japan.",4030003,Japan,138.817658,35.482624
Hue Four Seasons Hotel,No 5 Lane 14 Nguyen Cong Tru,.,Vietnam,107.596983,16.471252
Bel Aire Resort Phuket Bel Aire Resort Phuket,59/1-3 Sainamyen Road,83150,Thailand,98.30027,7.89693
Corinthia Hotel St George's Bay,St. GEORGE'S BAY,STJ 3301,Malta,14.490419,35.92871
