RestaurantDescription,Telephone,RestaurantDescription,RestaurantDescription,PriceRange,PostalCode,AddressRegion,AddressRegion,Coordinate,Coordinate,CountryCode
Mugs Coffee House,(541) 497 -7245,Coffee Shop,https://www.munchysdeliveries.com/r/1791/restaurants/delivery/Coffee-Shop/Mugs-Coffee-House-Lebanon,$$,97355.0,550 S Main St.,Lebanon,44.540443,-122.907201,OR
StarBucks Corvallis,(541) 753 -5318,,https://www.munchysdeliveries.com/r/1142/restaurants/delivery/StarBucks-Corvallis-Corvallis,,97333.0,425 SW Madison Ave,Corvallis,44.563975,-123.262719,OR
KFC and A&W Albany,(541) 926 -4409,Fried Chicken,https://www.munchysdeliveries.com/r/984/restaurants/delivery/Fried-Chicken/KFC-and-AW-Albany-Albany,$$,,2145 Pacific Blvd SE,Albany,44.635997,-123.079145,OR
Big Town Hero Albany Mall,(541) 926 -1880,Sandwiches & Deli,https://www.munchysdeliveries.com/r/1617/restaurants/delivery/Sandwiches-Deli/Big-Town-Hero-Albany-Mall-AlbanyOr,$$,97322.0,1921 14th Ave SE D405 Albany OR 97322 United Stat,AlbanyOr,44.630194,-123.081526,OR
Baja Fresh Corvallis,(541) 452 -1010,Mexican,https://www.munchysdeliveries.com/r/218/restaurants/delivery/Mexican/Baja-Fresh-Corvallis-Corvallis,$$,97339.0,845 NW 9th St,Corvallis,44.573037,-123.26327,OR
Arby's Eugene,(555) 555 -5555,Deli,https://www.munchysdeliveries.com/r/919/restaurants/delivery/Deli/Arbys-Eugene-Eugene,$,97402.0,3865 W 11th Ave,Eugene,44.048507,-123.154545,OR
Tonys Tacos Lebanon,(541) 570 -1334,,https://www.munchysdeliveries.com/r/1446/restaurants/delivery/Tonys-Tacos-Lebanon-Lebanon,,97355.0,1500 S Main St,Lebanon,44.531871,-122.907375,OR
Evergreen Indian Cuisine,(541) 754 -7944,Indian,https://www.munchysdeliveries.com/r/318/restaurants/delivery/Indian/Evergreen-Indian-Cuisine-Corvallis,$$,97333.0,136 SW 3rd St,Corvallis,44.563766,-123.261572,OR
Little Caesars Corvallis,(541) 757 -7600,Pizza,https://www.munchysdeliveries.com/r/278/restaurants/delivery/Pizza/Little-Caesars-Corvallis-Corvallis,$$,97330.0,1329 NW 9th St,Corvallis,44.579296,-123.259959,OR
University Hero 5th St Growler,(541) 754 -7827,Deli,https://www.munchysdeliveries.com/r/388/restaurants/delivery/Deli/University-Hero-5th-St-Growler-Corvallis,$$,97333.0,211 SW 5th St,Corvallis,44.563555,-123.263416,OR
TOGO's Corvallis,(541) 753 -1444,Deli,https://www.munchysdeliveries.com/r/228/restaurants/delivery/Deli/TOGOs-Corvallis-Corvallis,$$,97331.0,2317 NW 9th St Corvallis OR 97330,Corvallis,44.564877,-123.278967,OR
The Show Corvallis,(541) 207 -3823,Asian,https://www.munchysdeliveries.com/r/348/restaurants/delivery/Asian/The-Show-Corvallis-Corvallis,$$,97330.0,1915 NW 9th St,Corvallis,44.586827,-123.255477,OR
Loafers Station,(541) 926 -8183,Sandwiches & Deli,https://www.munchysdeliveries.com/r/1296/restaurants/delivery/Sandwiches-Deli/Loafers-Station-Albany,$$,97321.0,222 SW Washington St,Albany,44.635762,-123.110131,OR
Qdoba Mexican Eats Corvallis,(541) 757 -2800,Mexican,https://www.munchysdeliveries.com/r/13/restaurants/delivery/Mexican/Qdoba-Mexican-Eats-Corvallis-Corvallis,$$,97330.0,2001 NW Monroe Ave,Corvallis,44.56826,-123.275553,OR
