news,news,news,other,datetime,other,other,other
"Arriva l'engagement report, Netflix ora dà i numeri - Ultima ora - Ansa.it","Arriva l'engagement report, Netflix ora dà i numeri","Arriva l'engagement report, Netflix ora dà i numeri",Esce primo rapporto per ore di visione globale su prima parte 2023,",
                          13 dicembre 2023, 10:29","Dopo anni di segretezza e una prima apertura nel 2021 con la pubblicazione delle top ten, Netflix arriva a quella che il co-CEO di Netflix Ted Sarandos definisce in una conferenza stampa in remoto ""una pietra miliare per la nostra industria"" e annuncia che da oggi verranno divulgati i numeri dei titoli con piu' ore di visione globale.","""Negli ultimi 16 anni di streaming una costante e' stata la richiesta di avere piu' informazioni sui numeri delle visioni - spiega Sarandos -.",
Papa: ho preparato la mia tomba in Santa Maria Maggiore - Ultima ora - Ansa.it,Papa: ho preparato la mia tomba in Santa Maria Maggiore,Papa: ho preparato la mia tomba in Santa Maria Maggiore,"'Mai pensati di dimettermi, Milei mi ha invitato in Argentina'",",
                          13 dicembre 2023, 01:57","In un'intervista esclusiva con
l'emittente messicana N+, papa Francesco ""ha rivelato di aver
preparato la sua tomba nella Basilica di Santa Maria Maggiore
per la grande devozione che ha verso la Vergine Salus Populi
Romani e che sta semplificando il rito dei funerali papali"".","Lo
rende noto su X la giornalista Valentina Alazraki, che ha
realizzato l'intervista.","Il pontefice ha spiegato che ""quando
arrivano la vecchiaia e i limiti bisogna prepararsi"" e ""per
questo ha incontrato il cerimoniere per semplificare i funerali
papali, che saranno molto più semplici"". ""Lancerò il nuovo
rituale"", ha detto ""con umorismo"" papa Francesco, scrive la
corrispondente messicana in Vaticano."
"Borsa: l'Europa termina poco mossa, Francoforte -0,02% - Ultima ora - Ansa.it","Borsa: l'Europa termina poco mossa, Francoforte -0,02%","Borsa: l'Europa termina poco mossa, Francoforte -0,02%","Parigi cede lo 0 ,11%",",
                          12 dicembre 2023, 17:55",,,
Augusto Barbera è il nuovo presidente della Consulta - Ultima ora - Ansa.it,Augusto Barbera è il nuovo presidente della Consulta,Augusto Barbera è il nuovo presidente della Consulta,Da novembre guidava la Corte come facente funzioni,",
                          12 dicembre 2023, 11:27","Augusto Barbera è il nuovo presidente
della Corte costituzionale.","Professore emerito di diritto
costituzionale all'Università di Bologna, Barbera era dal mese
scorso il presidente facente funzioni della Corte .","Eletto dal
Parlamento giudice costituzionale nel 2015 su indicazione del
Pd, Barbera è stato parlamentare fra il 1976 e il 1994, prima
con il Pci e poi con il Pds. Nominato ministro per i Rapporti
con il Parlamento nel governo Ciampi,  si dimise con altri tre
esponenti della sinistra 24 ore dopo il giuramento per il no
della Camera all'autorizzazione a procedere per Bettino Craxi."
"Mattarella, essere orgogliosi della nostra agricoltura - Ultima ora - Ansa.it","Mattarella, essere orgogliosi della nostra agricoltura","Mattarella, essere orgogliosi della nostra agricoltura",Per il livello di qualità e di produzione di ricchezza raggiunti,",
                          12 dicembre 2023, 10:57","""L'immane dimensione del passo in
avanti, fatto in questi 75 anni che ci introduce in un altro
mondo.","Un mondo che le riforme e le politiche della Repubblica e
quelle della Unione Europea hanno sollecitato e che le imprese
agricole hanno plasmato.","Dovete, dobbiamo, esserne orgogliosi! 
Per il livello di qualità e di produzione di ricchezza
raggiunti, per la profonda rivoluzione sociale che, anche nelle
campagne, ha reso effettivi i principi di eguaglianza sanciti
nei primi articoli della nostra Carta"". Lo ha detto il
presidente della Repubblica, Sergio Mattarella, parlando all'
Assemblea generale di Confagricoltura."
"Capo dell'Unrwa, 'a Gaza c'è l'inferno in terra' - Ultima ora - Ansa.it","Capo dell'Unrwa, 'a Gaza c'è l'inferno in terra'","Capo dell'Unrwa, 'a Gaza c'è l'inferno in terra'","Lazzarini, 'la nostra agenzia affronta situazione impossibile'",",
                          12 dicembre 2023, 12:36","Il capo dell'agenzia delle Nazioni
Unite per i rifugiati palestinesi (Unrwa) Philippe Lazzarini ha
affermato, al termine di una visita notturna nella Striscia di
Gaza, che i civili stanno vivendo ""l'inferno in terra"".      
				   ""A Gaza, una tragedia che si aggrava senza fine.",,
"Lollobrigida,prorogata Carta Dedicata a te e cresce fondo - Ultima ora - Ansa.it","Lollobrigida,prorogata Carta Dedicata a te e cresce fondo","Lollobrigida,prorogata Carta Dedicata a te e cresce fondo",Da 500 a 600 milioni le risorse per gli acquisti alimentari,",
                          12 dicembre 2023, 09:56","Prorogati i termini per l'attivazione
della Carta 'dedicata a te'.","Le famiglie, che non erano riuscite
a ritirare la carta per gli acquisti alimentari o a effettuare
la prima transazione entro lo scorso 15 settembre, potranno
attivare la card e disporre, dal 15 dicembre prossimo, di 382,50
euro, somma alla quale ora si aggiungono i 77,20 euro da
destinare all'acquisto di beni alimentari o di carburante"".","Lo
annuncia il Ministro dell'Agricoltura Francesco Lollobrigida,
dopo la pubblicazione del decreto Masaf-Mimit-Mef che potenzia
lo strumento con un aumento di risorse di 100 milioni, passando
così da 500 a 600 milioni di euro."
"Il Papa ribadisce, totale inconciliabilità tra mafia e Vangelo - Ultima ora - Ansa.it","Il Papa ribadisce, totale inconciliabilità tra mafia e Vangelo","Il Papa ribadisce, totale inconciliabilità tra mafia e Vangelo",Messaggio per un evento alla Lumsa dedicato a don Puglisi,",
                          12 dicembre 2023, 17:45","Il Papa ha inviato un
messaggio alla Lumsa, per un evento in memoria di don Pino
Puglisi, e ha ribadito ""la totale inconciliabilità tra ogni
organizzazione criminale, mafia, camorra o 'ndrangheta, e il
Vangelo"".      
				    Papa Francesco ha ricordato che don Puglisi è stato ucciso
perché  ""voleva togliere la sua gente, soprattutto i giovani,
dalle grinfie della mafia"".",,"Quella pace che manca a tanti nostri
fratelli e sorelle che portiamo nel cuore, come le popolazioni
dell'Ucraina, di Israele e di Palestina. Non stanchiamoci di
pregare per loro""."
"Conte a Meloni, basta con questo degrado istituzionale - Ultima ora - Ansa.it","Conte a Meloni, basta con questo degrado istituzionale","Conte a Meloni, basta con questo degrado istituzionale",Adotti i provvedimenti contro i suoi ministri,",
                          12 dicembre 2023, 21:10","Il leader del M5S Giuseppe Conte,
intervenendo nell'Aula della Camera in dichiarazione di voto
dopo le comunicazioni della premier sul Consiglio europeo,
invita la premier Giorgia Meloni ad ""adottare i provvedimenti
nei confronti dei suoi ministri come Santanchè, Delmastro,
Sgarbi"" coinvolti in vicende giudiziarie.","""Basta con questo
degrado istituzionale"", dichiara.","Degli incarichi all'interno
del suo partito, aggiunge Conte, può parlarne con i suoi come
dice lei, ""ora è Natale e ne parlerà in famiglia con sua sorella
e suo cognato"". Ma ""per gli incarichi di governo - grida Conte
tra gli applausi dei suoi - deve risponderne all'Italia intera""."
"Wafa, 4 palestinesi uccisi da drone Israele in Cisgiordania - Ultima ora - Ansa.it","Wafa, 4 palestinesi uccisi da drone Israele in Cisgiordania","Wafa, 4 palestinesi uccisi da drone Israele in Cisgiordania","Fonti sicurezza, soldati attaccati da uomini armati",",
                          12 dicembre 2023, 10:07","Quattro palestinesi sono stati
uccisi a Jenin in un ""attacco con un drone"" israeliano in un
quartiere della città nel nord della Cisgiordania.",,"Contro i militari -
ha proseguito - sono stati tirati numerosi esplosivi. Haaretz ha
riferito che i palestinesi erano miliziani del gruppo armato
Battaglione di Jenin."
