player,age,player_name,Player name,date_of_birth,height,weight,position,points,number,measurement,score,player_name
6,119.0,120,121,124,126,127,129,137.0,139.0,140.0,141.0,156
Marc Guiu LALIGA EA SPORTS | LALIGA,38.0,MARC GUIU,,04-01-2006,187 cm,82 kg,,1.0,1.0,11.0,0.0,Marc Guiu
Ilkay Gündogan LALIGA EA SPORTS | LALIGA,22.0,ILKAY GÜNDOGAN,GUNDOGAN,24-10-1990,180 cm,80 kg,Midfielder,19.0,19.0,1567.0,17.0,Gundogan
Marc Casadó LALIGA EA SPORTS | LALIGA,30.0,MARC CASADÓ,M. CASADÓ,14-09-2003,172 cm,66 kg,Midfielder,0.0,0.0,,0.0,M. Casadó
Diego Kochen LALIGA EA SPORTS | LALIGA,31.0,DIEGO KOCHEN,KOCHEN,19-03-2006,188 cm,-,Goalkeeper,,,,,Kochen
Ignacio Peña Sotorres LALIGA EA SPORTS | LALIGA,13.0,IGNACIO PEÑA SOTORRES,IÑAKI PEÑA,02-03-1999,184 cm,78 kg,Goalkeeper,,,,,
Ronald Araujo LALIGA EA SPORTS | LALIGA,4.0,RONALD ARAUJO,R. ARAUJO,07-03-1999,188 cm,79 kg,Defender,9.0,13.0,1021.0,10.0,R. Araujo
Pau Cubarsí LALIGA EA SPORTS | LALIGA,33.0,PAU CUBARSÍ,CUBARSÍ,22-01-2007,182 cm,-,Defender,0.0,0.0,,0.0,Cubarsí
Marc-André ter Stegen LALIGA EA SPORTS | LALIGA,1.0,MARC-ANDRÉ TER STEGEN,TER STEGEN,30-04-1992,187 cm,85 kg,Goalkeeper,,,,,Ter Stegen
Héctor Fort LALIGA EA SPORTS | LALIGA,39.0,HÉCTOR FORT,,02-08-2006,185 cm,78 kg,Defender,0.0,0.0,,0.0,Héctor Fort
Áron Yaakobishvili LALIGA EA SPORTS | LALIGA,36.0,ÁRON YAAKOBISHVILI,ARON,06-03-2006,185 cm,-,Goalkeeper,,,,,Aron
Sergi Roberto LALIGA EA SPORTS | LALIGA,20.0,SERGI ROBERTO,S. ROBERTO,07-02-1992,178 cm,68 kg,Defender,6.0,6.0,357.0,4.0,S. Roberto
Marcos Alonso LALIGA EA SPORTS | LALIGA,17.0,MARCOS ALONSO,MARCOS A.,28-12-1990,188 cm,84 kg,Defender,3.0,4.0,160.0,2.0,Marcos A.
Áron Yaakobishvili LALIGA EA SPORTS | LALIGA,36.0,ÁRON YAAKOBISHVILI,ARON,06-03-2006,185 cm,-,Goalkeeper,,,,,Aron
,,,,,,,,,,,,
Íñigo Martínez LALIGA EA SPORTS | LALIGA,5.0,ÍÑIGO MARTÍNEZ,I. MARTINEZ,17-05-1991,182 cm,76 kg,Defender,,8.0,543.0,,I. Martinez
Pedro González López LALIGA EA SPORTS | LALIGA,8.0,PEDRO GONZÁLEZ LÓPEZ,PEDRI,25-11-2002,,60 kg,Midfielder,5.0,,617.0,7.0,Pedri
Raphael Dias Belloli LALIGA EA SPORTS | LALIGA,11.0,RAPHAEL DIAS BELLOLI,RAPHINHA,14-12-1996,176 cm,68 kg,,29.0,15.0,671.0,8.0,Raphinha
Ferran Torres LALIGA EA SPORTS | LALIGA,7.0,FERRAN TORRES,FERRAN,29-02-2000,184 cm,77 kg,Midfielder,17.0,18.0,803.0,8.0,Ferran
Vitor Hugo Roque Ferreira LALIGA EA SPORTS | LALIGA,19.0,VITOR HUGO ROQUE FERREIRA,VITOR ROQUE,28-02-2005,,78 kg,,,1.0,12.0,0.0,Vitor Roque
Robert Lewandowski LALIGA EA SPORTS | LALIGA,9.0,ROBERT LEWANDOWSKI,LEWANDOWSKI,21-08-1988,185 cm,81 kg,,41.0,17.0,1359.0,15.0,Lewandowski
,,,,,,,,,,,,
Oriol Romeu LALIGA EA SPORTS | LALIGA,18.0,ORIOL ROMEU,ROMEU,24-09-1991,183 cm,83 kg,Midfielder,6.0,14.0,658.0,9.0,Romeu
Andreas Christensen LALIGA EA SPORTS | LALIGA,15.0,ANDREAS CHRISTENSEN,CHRISTENSEN,10-04-1996,187 cm,82 kg,Defender,1.0,,1093.0,14.0,Christensen
Ander Astralaga LALIGA EA SPORTS | LALIGA,26.0,ANDER ASTRALAGA,ASTRALAGA,03-03-2004,190 cm,77 kg,Goalkeeper,,,,,Astralaga
Fermín López LALIGA EA SPORTS | LALIGA,32.0,FERMÍN LÓPEZ,FERMIN,11-05-2003,,64 kg,Midfielder,15.0,13.0,520.0,,Fermin
Jules Koundé LALIGA EA SPORTS | LALIGA,23.0,JULES KOUNDÉ,KOUNDE,12-11-1998,180 cm,75 kg,Defender,6.0,16.0,1251.0,14.0,Kounde
Alejandro Balde LALIGA EA SPORTS | LALIGA,3.0,ALEJANDRO BALDE,BALDE,18-10-2003,175 cm,69 kg,Defender,,17.0,1288.0,14.0,Balde
João Félix Sequeira LALIGA EA SPORTS | LALIGA,14.0,JOÃO FÉLIX SEQUEIRA,JOÃO FÉLIX,10-11-1999,181 cm,70 kg,,28.0,16.0,1007.0,13.0,
