hotel name,hotel name,confidence,grade,number of reviews,reviews count,address,date/time,date,date,hotel name,restrictions,accommodation
6,25,30,38.0,40,42,45,92,100,101,114,125,187
Hotel Renaissance - Firenze - lastminute.com,Hotel Renaissance,1 / 34,92.0,287 recensioni,287 recensioni,"Via Della Condotta 4, Firenze, Italia","mar 5 mar, 08:00 - 11:00","sab, 2 mar","mar, 5 mar",Recensioni di Hotel Renaissance,"Avrai a disposizione utili servizi come il Wi-Fi gratuito, servizi di concierge e servizi per matrimoni.",Accesso con chiavi
UNAHOTELS Trastevere Roma - Roma - lastminute.com,UNAHOTELS Trastevere Roma,1 / 32,90.0,2103 recensioni,2103 recensioni,"Via Emilio Morosini, 27, Roma, Italia","dom 3 mar, fino alle 10:00","ven, 1 mar","dom, 3 mar",Recensioni di UNAHOTELS Trastevere Roma,,
Dulcis In Fundo b&b - Roma - lastminute.com,Dulcis In Fundo b&b,1 / 29,88.0,464 recensioni,464 recensioni,"Viale di Trastevere, 141, Roma, Italia","lun 1 apr, fino alle 11:00","sab, 30 mar","lun, 1 apr",Recensioni di Dulcis In Fundo b&b,,aria condizionata
Hotel Lux - Venezia - lastminute.com,Hotel Lux,1 / 41,,3280 recensioni,3280 recensioni,"Castello, 4541, Venezia, Italia","ven 26 gen, fino alle 11:00","mer, 24 gen","ven, 26 gen",Recensioni di Hotel Lux,,aria condizionata
Historical Duomo Apartment Alba - Alba - lastminute.com,Historical Duomo Apartment Alba,1 / 60,97.0,33 recensioni,,"2 Via Alessandro Manzoni Secondo Piano, Alba, Italia","dom 10 mar, 09:30 - 10:30","ven, 8 mar","dom, 10 mar",Recensioni di Historical Duomo Apartment Alba,"La struttura non è disponibile per feste di addio al nubilato/celibato o simili. Siete pregati di comunicare in anticipo a Historical Duomo Apartment Alba l'orario in cui prevedete di arrivare. Potrete inserire questa informazione nella sezione Richieste Speciali al momento della prenotazione, o contattare la struttura utilizzando i recapiti riportati nella conferma della prenotazione. Struttura gestita da un host privato",Accesso con chiavi
Casa Burelli - Montalcino - lastminute.com,Casa Burelli,1 / 30,,18 recensioni,,"Via Lapini 26, Montalcino, Italia","dom 11 feb, 10:30 - 11:00","ven, 9 feb","dom, 11 feb",Recensioni di Casa Burelli,"Siete pregati di comunicare in anticipo a Casa Burelli l'orario in cui prevedete di arrivare. Potrete inserire questa informazione nella sezione Richieste Speciali al momento della prenotazione, o contattare la struttura utilizzando i recapiti riportati nella conferma della prenotazione. When travelling with pets, please note that an extra charge of 20€ per pet, per stay applies.",Accesso con chiavi
P'Ost - Alba - lastminute.com,P'Ost,1 / 47,99.0,12 recensioni,,"2 Via dei Mille, Alba, Italia","dom 10 mar, 10:00 - 11:00","ven, 8 mar","dom, 10 mar",Recensioni di P'Ost,"La struttura non è disponibile per feste di addio al nubilato/celibato o simili. Siete pregati di comunicare in anticipo a P'Ost l'orario in cui prevedete di arrivare. Potrete inserire questa informazione nella sezione Richieste Speciali al momento della prenotazione, o contattare la struttura utilizzando i recapiti riportati nella conferma della prenotazione. Struttura gestita da un host privato",Aria condizionata
Bernini Palace - Firenze - lastminute.com,Bernini Palace,1 / 128,94.0,1337 recensioni,1337 recensioni,"Piazza San Firenze 29, Firenze, Italia","mar 6 feb, fino alle 12:00","dom, 4 feb","mar, 6 feb",Recensioni di Bernini Palace,"Potrai usufruire di accesso gratuito a Internet via cavo, un business center e servizio auto o limousine. È possibile usufruire di una navetta da e per l'aeroporto 24 ore su 24 a pagamento.",
House Boè - Favaro Veneto - lastminute.com,House Boè,1 / 27,88.0,,,"Via Monte Boè 39/D, Favaro Veneto, Italia",,,,Recensioni di House Boè,,Aria condizionata
Arco Antico - Alba - lastminute.com,Arco Antico,1 / 44,95.0,127 recensioni,,"Vicolo dell'Arco, 1, Alba, Italia","dom 10 mar, 07:00 - 10:30","ven, 8 mar","dom, 10 mar",Recensioni di Arco Antico,"Siete pregati di comunicare in anticipo a Arco Antico l'orario in cui prevedete di arrivare. Potrete inserire questa informazione nella sezione Richieste Speciali al momento della prenotazione, o contattare la struttura utilizzando i recapiti riportati nella conferma della prenotazione. La struttura non è disponibile per feste di addio al nubilato/celibato o simili. In risposta al Coronavirus (COVID-19) questa struttura ha adottato misure extra di sicurezza e igiene. Struttura gestita da un host privato",Accesso con chiavi
Chianti wood - Gaiole in Chianti - lastminute.com,Chianti wood,1 / 7,,31 recensioni,,"11 Piazza Antico Mercato, Gaiole in Chianti, Italia","dom 18 feb, 08:00 - 11:00","ven, 16 feb","dom, 18 feb",Recensioni di Chianti wood,"La struttura non è disponibile per feste di addio al nubilato/celibato o simili. Siete pregati di comunicare in anticipo a Chianti wood l'orario in cui prevedete di arrivare. Potrete inserire questa informazione nella sezione Richieste Speciali al momento della prenotazione, o contattare la struttura utilizzando i recapiti riportati nella conferma della prenotazione. Struttura gestita da un host privato",Aria condizionata
