hotel_de,hotel,hotel_de,number of reviews,price,price,number of photos
5,32,40,42,45,46,71
Hotel Berlin Köpenick by Leonardo Hotels,Hotel Berlin Köpenick by Leonardo Hotels,"8,3",Sulla base di 107 recensioni,"101,00 €","101,00 € totale -",Mostra tutte le 32 foto
Grimm´s Hotel,Grimm´s Hotel,"8,7",Sulla base di 85 recensioni,"95,00 €","95,00 € totale -",Mostra tutte le 26 foto
Motel One Berlin - Upper West,Motel One Berlin - Upper West,"8,2",Sulla base di 117 recensioni,"99,00 €","99,00 € totale -",Mostra tutte le 18 foto
Leonardo Hotel Berlin,Leonardo Hotel Berlin,"7,9",Sulla base di 167 recensioni,"93,00 €","93,00 € totale -",Mostra tutte le 40 foto
Grimm's Potsdamer Platz,Grimm's Potsdamer Platz,,Sulla base di 175 recensioni,"74,00 €","74,00 € totale -",
Ameron Abion Spreebogen,Ameron Abion Spreebogen,"8,8",Sulla base di 79 recensioni,,,Mostra tutte le 24 foto
Motel One Hauptbahnhof,Motel One Hauptbahnhof,"8,5",Sulla base di 196 recensioni,"99,00 €","99,00 € totale -",Mostra tutte le 18 foto
SO/ Berlin Das Stue,SO/ Berlin Das Stue,"9,4",Sulla base di 4 recensioni,"310,00 €","310,00 € totale -",Mostra tutte le 87 foto
Citylight,Citylight,"7,0",Sulla base di 8 recensioni,"135,00 €","135,00 € totale -",Mostra tutte le 38 foto
Adapt Apartments Berlin Berlin-Adlershof,Adapt Apartments Berlin Berlin-Adlershof,,Sulla base di 93 recensioni,,,
Select Hotel Berlin Spiegelturm,Select Hotel Berlin Spiegelturm,"7,8",Sulla base di 65 recensioni,,,Mostra tutte le 44 foto
Select Hotel Berlin The Wall,Select Hotel Berlin The Wall,"8,4",Sulla base di 151 recensioni,,,Mostra tutte le 22 foto
Hotel am Borsigturm,Hotel am Borsigturm,"8,7",Sulla base di 42 recensioni,,,Mostra tutte le 29 foto
Victors Residenz Berlin Tegel,Victors Residenz Berlin Tegel,"7,8",Sulla base di 35 recensioni,"121,00 €","121,00 € totale -",Mostra tutte le 30 foto
,,,,,,
,,,,,,
Mercure Hotel Berlin Tempelhof,Mercure Hotel Berlin Tempelhof,"8,2",Sulla base di 55 recensioni,,,Mostra tutte le 35 foto
Novum Hotel Aldea Berlin Centrum,Novum Hotel Aldea Berlin Centrum,"6,3",Sulla base di 28 recensioni,"64,07 €","64,07 € totale -",Mostra tutte le 30 foto
Leonardo Boutique Hotel Berlin City South,Leonardo Boutique Hotel Berlin City South,"8,1",Sulla base di 41 recensioni,"86,00 €","86,00 € totale -",Mostra tutte le 69 foto
Titanic Chaussee Berlin,Titanic Chaussee Berlin,"8,8",Sulla base di 285 recensioni,"121,23 €","121,23 € totale -",Mostra tutte le 50 foto
Abba Berlin Hotel,Abba Berlin Hotel,"8,5",Sulla base di 91 recensioni,,,
Scandic Berlin Potsdamer Platz,Scandic Berlin Potsdamer Platz,"7,5",Sulla base di 27 recensioni,"109,00 €","109,00 € totale -",Mostra tutte le 143 foto
Capri by Fraser Berlin,Capri by Fraser Berlin,"8,5",Sulla base di 75 recensioni,,,Mostra tutte le 22 foto
H24 Hotel Berlin Lichtenberg,H24 Hotel Berlin Lichtenberg,"8,6",Sulla base di 15 recensioni,"110,40 €","110,40 € totale -",Mostra tutte le 8 foto
Hotel Berlin Köpenick by Leonardo Hotels,Hotel Berlin Köpenick by Leonardo Hotels,"8,3",Sulla base di 107 recensioni,,,Mostra tutte le 32 foto
Motel One Berlin-Alexanderplatz,Motel One Berlin-Alexanderplatz,"8,7",Sulla base di 106 recensioni,"89,00 €","89,00 € totale -",Mostra tutte le 27 foto
Hotel Bristol Berlin,Hotel Bristol Berlin,"8,2",Sulla base di 200 recensioni,"172,00 €","172,00 € totale -",Mostra tutte le 126 foto
Seminaris CampusHotel,Seminaris CampusHotel,"7,4",Sulla base di 63 recensioni,"222,30 €","222,30 € totale -",Mostra tutte le 20 foto
enjoy Berlin City Messe,enjoy Berlin City Messe,"6,4",Sulla base di 27 recensioni,"63,00 €","63,00 € totale -",Mostra tutte le 26 foto
IntercityHotel Berlin Hauptbahnhof,IntercityHotel Berlin Hauptbahnhof,"8,1",Sulla base di 257 recensioni,,,Mostra tutte le 65 foto
