premier_league_team,name,last name,value,birthdate,height,premier league team
96,99,100,102.0,114,115,117
,,,,,,
,Sonny,Aljofree,,,,
Bournemouth,Daniel,Adu-Adjei,51.0,21/06/2005  (18),177cm,Bournemouth
,Terry,Ablade,,,,
Liverpool,,,13.0,03/01/1987  (37),190cm,Liverpool
Fulham,Tosin,Adarabioyo,4.0,24/09/1997  (26),196cm,Fulham
Nottingham Forest,Brandon,Aguilera,41.0,28/06/2003  (20),179cm,Nottingham Forest
Crystal Palace,Tayo,Adaramola,45.0,,,Crystal Palace
Burnley,Ameen,Al Dakhil,28.0,06/03/2002  (21),187cm,Burnley
Crystal Palace,Naouirou,Ahamada,29.0,29/03/2002  (21),183cm,Crystal Palace
West Ham United,Nayef,Aguerd,27.0,30/03/1996  (27),190cm,West Ham United
Manchester City,Manuel,Akanji,25.0,19/07/1995  (28),186cm,Manchester City
Bournemouth,Tyler,Adams,18.0,14/02/1999  (24),173cm,Bournemouth
,,,,,,
Everton,Dele,Alli,20.0,11/04/1996  (27),188cm,Everton
Wolverhampton Wanderers,Rayan,Aït-Nouri,3.0,06/06/2001  (22),180cm,Wolverhampton Wanderers
Brentford,Valintino,Adedokun,42.0,,,Brentford
Liverpool,Trent,Alexander-Arnold,66.0,07/10/1998  (25),175cm,Liverpool
,,,,,,
,,,,04/01/2000  (24),178cm,Bournemouth
,Adler,Nascimento,,,,
Liverpool,Thiago,Alcântara,6.0,11/04/1991  (32),174cm,Liverpool
,Josh,Allen,,,,
,,,,,,
,,,,,,
Manchester City,Nathan,Aké,6.0,18/02/1995  (28),180cm,Manchester City
Luton Town,Elijah,Adebayo,11.0,07/01/1998  (26),193cm,Luton Town
Sheffield United,Anel,Ahmedhodzic,15.0,26/03/1999  (24),195cm,Sheffield United
,,,,,,
Nottingham Forest,Ola,Aina,43.0,08/10/1996  (27),184cm,Nottingham Forest
