Name,Name,Name,Rating,number of photos,Additional informations,Name,Name,Rating,Rating,Rating,Rating,Restaurant name,Rating,Phone Number,Price Range,address,address,Name
"Su e Giù ristorante, Roma - Menu e recensioni del ristorante",Su e Giù,Su e Giù,#15 di 17373,322 foto,via Tacito,allison,Valutazioni di Su e Giù,1461.0,3696.0,"4,8",201.0,Opinioni dei clienti di Su e Giù,806.0,+39 06 3265 0352,€11 - €20,"Via Tacito, 42","Via Tacito, 42, Roma, Lazio, Italia",A Casa di Nino   #2 di 142 ristoranti  a Genzano di Roma         Grazia & Graziella   #684 di 8889 ristoranti italiani a Roma         MASTO a Testaccio I Roma   #73 di 14710  pub e bar a Roma
"Le Nasse Lab - Ristorante di pesce e sushi - Cioccolateria e sala da té, Municipio Roma X - Menu e recensioni del ristorante",Le Nasse Lab - Ristorante di pesce e sushi - Cioccolateria e sala da té,Le Nasse Lab - Ristorante di pesce e sushi - Cioccolateria e sala da té,#2 di 1029,103 foto,lunch Price,dine in Meal,Valutazioni di Le Nasse Lab - Ristorante di pesce e sushi - Cioccolateria e sala da té,136.0,53.0,5,15.0,Opinioni dei clienti di Le Nasse Lab - Ristorante di pesce e sushi - Cioccolateria e sala da té,124.0,+39 342 510 0537,€20 - €51,"Via Isole Samoa, 23a","Via Isole Samoa, 23a, Municipio Roma X, Lazio, Italia",NewMix Risto-Bistrot   #44 di 17373 ristoranti  a Roma
"Ninfa Restaurant, Frascati - Menu e recensioni del ristorante",Ninfa Restaurant,Ninfa Restaurant,#3 di 284,66 foto,,,Valutazioni di Ninfa Restaurant,60.0,13.0,5,32.0,Opinioni dei clienti di Ninfa Restaurant,63.0,+39 06 8879 5844,€23 - €47,"Via S. Francesco D'Assisi, 18","Via S. Francesco D'Assisi, 18, Frascati, Lazio, Italia",Ristorante Cavour   #1 di 284 ristoranti  a Frascati         Hostaria Santa Maria   #2 di 284 ristoranti  a Frascati         Rolinho Sushi Fusion ciampino   #58 di 172 ristoranti  a Ciampino
"Mi Sushi e Ramen ristorante, Ciampino - Menu e recensioni del ristorante",Mi Sushi e Ramen,Mi Sushi e Ramen,#2 di 172,102 foto,just,alessio,Valutazioni di Mi Sushi e Ramen,597.0,92.0,"4,5",51.0,Opinioni dei clienti di Mi Sushi e Ramen,235.0,+39 388 888 7777,€9 - €23,"Via di Morena, 197","Via di Morena, 197, Ciampino, Lazio, Italia",Ristorante Al Vigneto dal 1961   #1 di 172 ristoranti  a Ciampino         Ariò Pizza Food Delivery   #57 di 521  pizzerie a Municipio Roma X         Pesce Fritto e Baccalà   #2 di 190  ristoranti di pesce a Lido di Ostia
"Pesce Fritto e Baccalà ristorante, Lido di Ostia, Viale della Marina - Recensioni del ristorante","Pesce Fritto e Baccalà, Viale della Marina",Pesce Fritto e Baccalà,,113 foto,questa friggitoria,alessandra,Valutazioni di Pesce Fritto e Baccalà,1205.0,656.0,5,48.0,Opinioni dei clienti di Pesce Fritto e Baccalà,300.0,+39 338 990 9424,,Viale della Marina,"Viale della Marina, Lido di Ostia, Lazio, Italia",Gusto GLAM   #216 di 3807  ristoranti di pesce a Roma         Cargo Burger Lab   #7598 di 17373 ristoranti  a Roma         Le Nasse Lab - Ristorante di pesce e sushi - Cioccolateria e sala da té   #2 di 1029 ristoranti  a Municipio Roma X
"Menu di Da Enzo, Italia, Via dei Vascellari 29 - recensioni e valutazioni",,,,,,,,,,,,,,,,,,
"Colline Emiliane ristorante, Roma - Menu e recensioni del ristorante",Colline Emiliane,Colline Emiliane,#3 di 17373,602 foto,piazza Barberini,the Piazza Barbarini,Valutazioni di Colline Emiliane,1234.0,2043.0,"4,6",416.0,Opinioni dei clienti di Colline Emiliane,568.0,+39 06 481 7538,€23 - €56,"Via degli Avignonesi, 22","Via degli Avignonesi, 22, Roma, Lazio, Italia",
"A Casa di Nino ristorante, Genzano di Roma - Recensioni del ristorante",A Casa di Nino,A Casa di Nino,,316 foto,una webcam,da cucire Singer,Valutazioni di A Casa di Nino,2114.0,2035.0,"4,6",1284.0,Opinioni dei clienti di A Casa di Nino,685.0,+39 06 936 3425,€15 - €30,"Via Ercole Imbastari, 21","Via Ercole Imbastari, 21, Genzano di Roma, Lazio, Italia",Grazia & Graziella   #684 di 8889 ristoranti italiani a Roma         MASTO a Testaccio I Roma   #73 di 14710  pub e bar a Roma         La Pergola   #1 di 17373 ristoranti  a Roma
"Cargo Burger Lab ristorante, Roma - Menu e recensioni del ristorante",Cargo Burger Lab,Cargo Burger Lab,,66 foto,dello street food,chianino,Valutazioni di Cargo Burger Lab,361.0,258.0,"4,9",34.0,Opinioni dei clienti di Cargo Burger Lab,184.0,+39 06 8438 2470,€10 - €30,"Via Ippolito Desideri, 63","Via Ippolito Desideri, 63, Roma, Lazio, Italia",Le Nasse Lab - Ristorante di pesce e sushi - Cioccolateria e sala da té   #2 di 1029 ristoranti  a Municipio Roma X         NewMix Risto-Bistrot   #44 di 17373 ristoranti  a Roma
"Il Campione Spartivento pizzeria, Lido di Ostia - Menu e recensioni del ristorante",Il Campione Spartivento,Il Campione Spartivento,,13 foto,,,Valutazioni di Il Campione Spartivento,103.0,2.0,,,Opinioni dei clienti di Il Campione Spartivento,75.0,+39 333 204 0063,,"Via Capo Spartivento, 22","Via Capo Spartivento, 22, Lido di Ostia, Lazio, Italia",Status Quo   #1 di 1029 ristoranti  a Municipio Roma X         Colline Emiliane   #3 di 17373 ristoranti  a Roma         La Pergola   #1 di 17373 ristoranti  a Roma
"Colline Emiliane ristorante, Roma - Menu e recensioni del ristorante",Colline Emiliane,Colline Emiliane,#3 di 17373,602 foto,piazza Barberini,the Piazza Barbarini,Valutazioni di Colline Emiliane,1234.0,2043.0,"4,6",416.0,Opinioni dei clienti di Colline Emiliane,568.0,+39 06 481 7538,€23 - €56,"Via degli Avignonesi, 22","Via degli Avignonesi, 22, Roma, Lazio, Italia",Su e Giù   #15 di 17373 ristoranti  a Roma         A Casa di Nino   #2 di 142 ristoranti  a Genzano di Roma         Grazia & Graziella   #684 di 8889 ristoranti italiani a Roma
"Pizza Idea 1 pizzeria, Frascati, Via Enrico de Nicola - Menu e recensioni del ristorante","Pizza Idea 1, Via Enrico de Nicola, 2",Pizza Idea 1,#2 di 95,40 foto,la matriciana,sulle labbra,Valutazioni di Pizza Idea 1,388.0,215.0,"4,8",105.0,Opinioni dei clienti di Pizza Idea 1,199.0,+39 06 942 4729,€9 - €23,"Via Enrico de Nicola, 2","Via Enrico de Nicola, 2, Frascati, Lazio, Italia",Ninfa Restaurant   #3 di 284 ristoranti  a Frascati         Ristorante Cavour   #1 di 284 ristoranti  a Frascati         Hostaria Santa Maria   #2 di 284 ristoranti  a Frascati
"Pinsere pizzeria, Roma, Via Flavia - Menu e recensioni del ristorante","Pinsere, Via Flavia, 98",Pinsere,#2 di 8386,500 foto,di piazza sallustio,via Flavia,Valutazioni di Pinsere,2938.0,4272.0,,665.0,Opinioni dei clienti di Pinsere,1694.0,+39 06 4202 0924,€5 - €7,"Via Flavia, 98","Via Flavia, 98, Roma, Lazio, Italia",Alfredo e Ada   #186 di 17373 ristoranti  a Roma         Da Enzo         Colline Emiliane   #3 di 17373 ristoranti  a Roma
