Product Title,Category,ProductTitle,Prod_id,Requested_prod_id,Product_Views,Prod_id,Category,Prod_id,GTIN(EAN/UPC),GTIN(EAN/UPC),Product_Views,Category,Prod_id,Prod_id,ExpirationDate,ExpirationDate,ProductPDF,Long product name,ShortDesc,ProductTitle,LongDesc,ShortDesc,ShortSummaryDescription,ShortDesc,Product_Title,ProductTitle,LongSummaryDescription,Product_Title,Requested_prod_id,ProductTitle,Requested_prod_id,Prod_id,Category
Specs HP FY943ET graphics card (FY943ET),Graphics Cards,HP FY943ET graphics card,XML product data for HP FY943ET,Icecat LIVE: JS for HP FY943ET,JSON product data for HP FY943ET,CSV product data for HP FY943ET,Download the Icecat taxonomy for 'Graphics Cards',FY943ET,884962171530.0,884962171530.0,"The graphics card, also known as the video card, is the complete graphical subsystem of the PC. It is responsible for the quality and speed of video processing. For users that wish to play games or work with multimedia applications, it is especially important to have a video board with a high performance graphics processor and enough memory.",Graphics Cards,2153502,69992,13 Jul 2023 00:52:15,06 Mar 2013,HP FY943ET (Icecat),Long product name HP FY943ET graphics card,"The long product name of HP FY943ET graphics card. For easy access to this data, refer to the 'ProductDescription' block and the 'ShortDesc' tag in XML or the 'Description' block and the 'LongProductName' tag in JSON.",HP FY943ET graphics card:,"The official description of HP FY943ET graphics card as supplied by the manufacturer. For easy access to this data, refer to the 'ProductDescription' block and the 'LongDesc' tag in XML or the 'Description' block and the 'LongDesc' tag in JSON.","Delivering a reliable hardware and software platform, Quadro NVS 295 is designed to meet the needs of today’s most demanding business user. Featuring NVIDIA® nView® display management software and support for up to two 30’’ displays at 2560x1600 resolutions, business professionals can maximize productivity through increased desktop real estate and advanced application management tools. Tested on industry-leading business applications, Quadro NVS 295 provides a stable business environment.",Short summary description                                HP FY943ET graphics card:,This short summary of the HP FY943ET graphics card data-sheet is auto-generated and uses the product title and the first six key specs.,"HP FY943ET, Halvhöjd",Long summary description                                HP FY943ET graphics card:,This is an auto-generated long summary of HP FY943ET graphics card based on the first three specs of the first five spec groups.,HP FY943ET. Graphics card interface: Halvhöjd,XML product data for HP FY943ET,Icecat LIVE: JS for HP FY943ET,JSON product data for HP FY943ET,CSV product data for HP FY943ET,Download the Icecat taxonomy for 'Graphics Cards'
Specs HP Installation Service for Jet Fusion 5600/5620/5620 Pro 3D Printer Warranty & Support Extensions (U67MVE),Warranty & Support Extensions,HP Installation Service for Jet Fusion 5600/5620/5620 Pro 3D Printer,XML product data for HP U67MVE,Icecat LIVE: JS for HP U67MVE,JSON product data for HP U67MVE,CSV product data for HP U67MVE,Download the Icecat taxonomy for 'Warranty & Support Extensions',Installation Service for Jet Fusion 5600/5620/5620 Pro 3D Printer,,,"Extending the warranty & support beyond that offered by the manufacturer/retailer, so that the purchase is covered for a longer period of time.",Warranty & Support Extensions,114651091,9319,22 Oct 2023 09:38:03,,HP U67MVE (Icecat),Long product name HP Installation Service for Jet Fusion 5600/5620/5620 Pro 3D Printer,"The long product name of HP Installation Service for Jet Fusion 5600/5620/5620 Pro 3D Printer. For easy access to this data, refer to the 'ProductDescription' block and the 'ShortDesc' tag in XML or the 'Description' block and the 'LongProductName' tag in JSON.",HP Installation Service for Jet Fusion 5600/5620/5620 Pro 3D Printer:,"The official description of HP Installation Service for Jet Fusion 5600/5620/5620 Pro 3D Printer as supplied by the manufacturer. For easy access to this data, refer to the 'ProductDescription' block and the 'LongDesc' tag in XML or the 'Description' block and the 'LongDesc' tag in JSON.","Confidently get your new HP Jet Fusion 3D Printers and Printing Solutions up and running quickly and with minimal interruption to the business. The HP Ready-to-print Service for HP Jet Fusion 3D Printers and Printing Solutions provides fast and reliable installation of your new equipment. An HP or HP-authorized technician will help install, set up, configure, provide basic training, and give you guidance to quickly ramp up operations.",Short summary description                                HP Installation Service for Jet Fusion 5600/5620/5620 Pro 3D Printer:,This short summary of the HP Installation Service for Jet Fusion 5600/5620/5620 Pro 3D Printer data-sheet is auto-generated and uses the product title and the first six key specs.,,Long summary description                                HP Installation Service for Jet Fusion 5600/5620/5620 Pro 3D Printer:,This is an auto-generated long summary of HP Installation Service for Jet Fusion 5600/5620/5620 Pro 3D Printer based on the first three specs of the first five spec groups.,,XML product data for HP U67MVE,Icecat LIVE: JS for HP U67MVE,JSON product data for HP U67MVE,CSV product data for HP U67MVE,Download the Icecat taxonomy for 'Warranty & Support Extensions'
Specs HP RP2 Retail System Model 2000 POS Systems (J9C78EA),POS Systems,HP RP2 Retail System Model 2000,XML product data for HP J9C78EA,Icecat LIVE: JS for HP J9C78EA,JSON product data for HP J9C78EA,CSV product data for HP J9C78EA,Download the Icecat taxonomy for 'POS Systems',RP2 Retail System Model 2000,888793558065.0,888793558065.0,point of sale systems,POS Systems,23303000,45695,19 Nov 2021 12:41:24,30 Nov 2015,"Product Brochure/Datasheet                                        
                                                                                    (0.9                                            MB)   Here, we only show product PDFs of sponsoring brands that joined Open Icecat. As Full Icecat channel partner login to see all product data or request a Full Icecat subscription.",Long product name HP RP2 Retail System Model 2000,"The long product name of HP RP2 Retail System Model 2000. For easy access to this data, refer to the 'ProductDescription' block and the 'ShortDesc' tag in XML or the 'Description' block and the 'LongProductName' tag in JSON.",HP RP2 Retail System Model 2000:,"The official description of HP RP2 Retail System Model 2000 as supplied by the manufacturer. For easy access to this data, refer to the 'ProductDescription' block and the 'LongDesc' tag in XML or the 'Description' block and the 'LongDesc' tag in JSON.","The essential AiO designed for retail and hospitality    Get reliable, robust performance from the HP RP2 Retail System, a stylish, compact, and easily serviceable touchscreen All-in-One (AiO) that's deployable across your business as a customer self-service solution or operator station.",Short summary description                                HP RP2 Retail System Model 2000:,This short summary of the HP RP2 Retail System Model 2000 data-sheet is auto-generated and uses the product title and the first six key specs.,"HP RP2 Retail System Model 2000, 35.6 cm (14'), Resistive, Intel® Celeron®, J1900, 2 GHz, 2 MB",Long summary description                                HP RP2 Retail System Model 2000:,This is an auto-generated long summary of HP RP2 Retail System Model 2000 based on the first three specs of the first five spec groups.,"HP RP2 Retail System Model 2000. Display diagonal: 35.6 cm (14'), Touchscreen technology: Resistive. Processor family: Intel® Celeron®, Processor model: J1900, Processor frequency: 2 GHz. Internal memory: 4 GB, Internal memory type: DDR3-SDRAM, Maximum internal memory: 8 GB. Total storage capacity: 32 GB, Storage media type: SSD, SSD capacity: 32 GB. Graphics card manufacturer: Intel, Graphics card: HD Graphics",XML product data for HP J9C78EA,Icecat LIVE: JS for HP J9C78EA,JSON product data for HP J9C78EA,CSV product data for HP J9C78EA,Download the Icecat taxonomy for 'POS Systems'
Specs HP Samsung SCX-HCF100 2000-sheet High Capacity Paper Feeder Trays & Feeders (SV285A),Trays & Feeders,HP Samsung SCX-HCF100 2000-sheet High Capacity Paper Feeder,XML product data for HP SV285A,Icecat LIVE: JS for HP SV285A,JSON product data for HP SV285A,CSV product data for HP SV285A,Download the Icecat taxonomy for 'Trays & Feeders',Samsung SCX-HCF100 2000-sheet High Capacity Paper Feeder,192018160064.0,192018160064.0,"Enlarge the input capacity of your printer with an extra tray, so you can print longer with less maintenance.",Trays & Feeders,40601000,680,03 Oct 2020 04:31:41,06 Dec 2017,HP SV285A (Icecat),Long product name HP Samsung SCX-HCF100 2000-sheet High Capacity Paper Feeder,"The long product name of HP Samsung SCX-HCF100 2000-sheet High Capacity Paper Feeder. For easy access to this data, refer to the 'ProductDescription' block and the 'ShortDesc' tag in XML or the 'Description' block and the 'LongProductName' tag in JSON.",,,,Short summary description                                HP Samsung SCX-HCF100 2000-sheet High Capacity Paper Feeder:,This short summary of the HP Samsung SCX-HCF100 2000-sheet High Capacity Paper Feeder data-sheet is auto-generated and uses the product title and the first six key specs.,,Long summary description                                HP Samsung SCX-HCF100 2000-sheet High Capacity Paper Feeder:,This is an auto-generated long summary of HP Samsung SCX-HCF100 2000-sheet High Capacity Paper Feeder based on the first three specs of the first five spec groups.,,XML product data for HP SV285A,Icecat LIVE: JS for HP SV285A,JSON product data for HP SV285A,CSV product data for HP SV285A,Download the Icecat taxonomy for 'Trays & Feeders'
Specs HP ENVY x360 - 15-bp102na Laptops (2PH07EA),,HP ENVY x360 - 15-bp102na,XML product data for HP 2PH07EA,Icecat LIVE: JS for HP 2PH07EA,JSON product data for HP 2PH07EA,CSV product data for HP 2PH07EA,,ENVY x360 - 15-bp102na,192018166066.0,192018166066.0,,,38173244,11760,23 May 2023 19:25:59,08 Mar 2018,HP 2PH07EA (Icecat),Long product name HP ENVY x360 - 15-bp102na,"The long product name of HP ENVY x360 - 15-bp102na. For easy access to this data, refer to the 'ProductDescription' block and the 'ShortDesc' tag in XML or the 'Description' block and the 'LongProductName' tag in JSON.",HP ENVY x360 - 15-bp102na:,"The official description of HP ENVY x360 - 15-bp102na as supplied by the manufacturer. For easy access to this data, refer to the 'ProductDescription' block and the 'LongDesc' tag in XML or the 'Description' block and the 'LongDesc' tag in JSON.","360° of power and performance. Built for pen.    Optimized for inking, the ENVY x360 draws out a more productive, more creative you. Its responsive design adapts to your every move, simplifying your most demanding tasks, transforming workflow, and enhancing creativity with every stroke of the pen.",Short summary description                                HP ENVY x360 - 15-bp102na:,This short summary of the HP ENVY x360 - 15-bp102na data-sheet is auto-generated and uses the product title and the first six key specs.,"HP ENVY x360 - 15-bp102na, Intel® Core™ i5, 1.6 GHz, 39.6 cm (15.6'), 1920 x 1080 pixels, 8 GB, 256 GB",Long summary description                                HP ENVY x360 - 15-bp102na:,This is an auto-generated long summary of HP ENVY x360 - 15-bp102na based on the first three specs of the first five spec groups.,"HP ENVY x360 - 15-bp102na. Product type: Hybrid (2-in-1), Form factor: Convertible (Folder). Processor family: Intel® Core™ i5, Processor model: i5-8250U, Processor frequency: 1.6 GHz. Display diagonal: 39.6 cm (15.6'), HD type: Full HD, Display resolution: 1920 x 1080 pixels, Touchscreen. Internal memory: 8 GB, Internal memory type: DDR4-SDRAM. Total storage capacity: 256 GB, Storage media: SSD. Operating system installed: Windows 10 Home. Product colour: Silver",XML product data for HP 2PH07EA,Icecat LIVE: JS for HP 2PH07EA,JSON product data for HP 2PH07EA,CSV product data for HP 2PH07EA,
"Specs HP 22er computer monitor 54.6 cm (21.5') 1920 x 1080 pixels Full HD LED Silver, White Computer Monitors (T3M72AA)",Computer Monitors,"HP 22er computer monitor 54.6 cm (21.5') 1920 x 1080 pixels Full HD LED Silver, White",XML product data for HP T3M72AA,Icecat LIVE: JS for HP T3M72AA,JSON product data for HP T3M72AA,CSV product data for HP T3M72AA,Download the Icecat taxonomy for 'Computer Monitors',22er,889894516749.0,889894516749.0,"TFT/LCD displays are perfectly flat, a lot thinner and lighter than conventional CRT displays and do not flicker, all this because of the new technology they use for producing images. Do you want to free up space on your desk, or do you want to be able to move your monitor without breaking your back? Then this is the perfect display for you!",Computer Monitors,33209971,149882,25 Nov 2022 10:14:52,30 Sep 2018,HP T3M72AA (Icecat),"Long product name HP 22er computer monitor 54.6 cm (21.5') 1920 x 1080 pixels Full HD LED Silver, White","The long product name of HP 22er computer monitor 54.6 cm (21.5') 1920 x 1080 pixels Full HD LED Silver, White. For easy access to this data, refer to the 'ProductDescription' block and the 'ShortDesc' tag in XML or the 'Description' block and the 'LongProductName' tag in JSON.","HP 22er computer monitor 54.6 cm (21.5') 1920 x 1080 pixels Full HD LED Silver, White:","The official description of HP 22er computer monitor 54.6 cm (21.5') 1920 x 1080 pixels Full HD LED Silver, White as supplied by the manufacturer. For easy access to this data, refer to the 'ProductDescription' block and the 'LongDesc' tag in XML or the 'Description' block and the 'LongDesc' tag in JSON.","Impossibly thin. Irresistibly priced.    Our thinnest LCD display yet  [1]  has a sleek design that's easy on the eyes. And the crisp, vibrant view from almost any angle comes at an ultra-affordable price.","Short summary description                                HP 22er computer monitor 54.6 cm (21.5') 1920 x 1080 pixels Full HD LED Silver, White:","This short summary of the HP 22er computer monitor 54.6 cm (21.5') 1920 x 1080 pixels Full HD LED Silver, White data-sheet is auto-generated and uses the product title and the first six key specs.","HP 22er, 54.6 cm (21.5'), 1920 x 1080 pixels, Full HD, LED, 7 ms, Silver, White","Long summary description                                HP 22er computer monitor 54.6 cm (21.5') 1920 x 1080 pixels Full HD LED Silver, White:","This is an auto-generated long summary of HP 22er computer monitor 54.6 cm (21.5') 1920 x 1080 pixels Full HD LED Silver, White based on the first three specs of the first five spec groups.","HP 22er. Display diagonal: 54.6 cm (21.5'), Display resolution: 1920 x 1080 pixels, HD type: Full HD, Display technology: LED. Display: LED. Response time: 7 ms, Native aspect ratio: 16:9. Product colour: Silver, White",XML product data for HP T3M72AA,Icecat LIVE: JS for HP T3M72AA,JSON product data for HP T3M72AA,CSV product data for HP T3M72AA,Download the Icecat taxonomy for 'Computer Monitors'
Specs HP Compaq dc5850 Small Form Factor PC PCs/Workstations (NR782PA),PCs/Workstations,HP Compaq dc5850 Small Form Factor PC,XML product data for HP NR782PA,Icecat LIVE: JS for HP NR782PA,JSON product data for HP NR782PA,CSV product data for HP NR782PA,Download the Icecat taxonomy for 'PCs/Workstations',Compaq dc5850 Small Form Factor PC,884420919568.0,884420919568.0,"Personal Computers, PCs for short, are computers for personal usage. They always have the following components:

- A processor (CPU), this is the heart of your computer, where the data processing is done.

- Memory (RAM), this is very fast memory in which temporary data is stored before being processed by the processor.

- Motherboard, this is the component that connects all the different parts of your computer. Often it has some integrated components like a sound card, enabling your computer to play sound, or a network card, to connect your computer to the network.

- Video board, this is the part of your computer that is responsible for the graphics processing. Micro ATX motherboards often have an integrated video board. Those integrated video boards are generally not very well suited for playing games, but good enough for watching movies.

- Hard disk, this is the permanent memory of your computer where your data is stored.

- An optional DVD/CD player/recorder for reading/writing DVDs/CDs.",PCs/Workstations,57869902,6582,22 Jan 2020 16:32:24,29 Jun 2011,HP NR782PA (Icecat),,,,,,Short summary description                                HP Compaq dc5850 Small Form Factor PC:,This short summary of the HP Compaq dc5850 Small Form Factor PC data-sheet is auto-generated and uses the product title and the first six key specs.,,Long summary description                                HP Compaq dc5850 Small Form Factor PC:,This is an auto-generated long summary of HP Compaq dc5850 Small Form Factor PC based on the first three specs of the first five spec groups.,,XML product data for HP NR782PA,Icecat LIVE: JS for HP NR782PA,JSON product data for HP NR782PA,CSV product data for HP NR782PA,Download the Icecat taxonomy for 'PCs/Workstations'
Specs HP Safecom 1 year 9x5 Software Support for E33 USB Cable Warranty & Support Extensions (U9UN9E),Warranty & Support Extensions,HP Safecom 1 year 9x5 Software Support for E33 USB Cable,XML product data for HP U9UN9E,Icecat LIVE: JS for HP U9UN9E,JSON product data for HP U9UN9E,CSV product data for HP U9UN9E,Download the Icecat taxonomy for 'Warranty & Support Extensions',Safecom 1 year 9x5 Software Support for E33 USB Cable,,,"Extending the warranty & support beyond that offered by the manufacturer/retailer, so that the purchase is covered for a longer period of time.",Warranty & Support Extensions,40786530,12081,,01 Dec 2018,,Long product name HP Safecom 1 year 9x5 Software Support for E33 USB Cable,"The long product name of HP Safecom 1 year 9x5 Software Support for E33 USB Cable. For easy access to this data, refer to the 'ProductDescription' block and the 'ShortDesc' tag in XML or the 'Description' block and the 'LongProductName' tag in JSON.",HP Safecom 1 year 9x5 Software Support for E33 USB Cable:,"The official description of HP Safecom 1 year 9x5 Software Support for E33 USB Cable as supplied by the manufacturer. For easy access to this data, refer to the 'ProductDescription' block and the 'LongDesc' tag in XML or the 'Description' block and the 'LongDesc' tag in JSON.","HP Software Support Service provides comprehensive software services for HP software and selected HP-supported third-party products. HP Software Support Service also provides access to HP technical resources for assistance in resolving software implementation or operations problems. HP releases updates to software and reference manuals as soon as they are made available. Updates for selected HP-supported third-party software products are included as they are made available from the original software manufacturer. HP Software Support Service also includes the license to use software updates for each system, socket, processor, processor core, or end user software license, as allowed by the original HP or original manufacturer software license terms. In addition, HP Software Support Service provides electronic access to related product and support information, enabling any member of your IT staff to locate this commercially available essential information. For third-party products, access is subject to availability of information from the original manufacturer.",Short summary description                                HP Safecom 1 year 9x5 Software Support for E33 USB Cable:,This short summary of the HP Safecom 1 year 9x5 Software Support for E33 USB Cable data-sheet is auto-generated and uses the product title and the first six key specs.,"HP Safecom 1 year 9x5 Software Support for E33 USB Cable, 1 year(s), 9x5",Long summary description                                HP Safecom 1 year 9x5 Software Support for E33 USB Cable:,This is an auto-generated long summary of HP Safecom 1 year 9x5 Software Support for E33 USB Cable based on the first three specs of the first five spec groups.,"HP Safecom 1 year 9x5 Software Support for E33 USB Cable. Number of years: 1 year(s), Service time (hours x days): 9x5",XML product data for HP U9UN9E,Icecat LIVE: JS for HP U9UN9E,JSON product data for HP U9UN9E,CSV product data for HP U9UN9E,Download the Icecat taxonomy for 'Warranty & Support Extensions'
Specs HP GE425UP PC/workstation (GE425UP),PCs/Workstations,HP GE425UP PC/workstation,XML product data for HP GE425UP,Icecat LIVE: JS for HP GE425UP,JSON product data for HP GE425UP,CSV product data for HP GE425UP,Download the Icecat taxonomy for 'PCs/Workstations',GE425UP,883585093434.0,883585093434.0,"Personal Computers, PCs for short, are computers for personal usage. They always have the following components:

- A processor (CPU), this is the heart of your computer, where the data processing is done.

- Memory (RAM), this is very fast memory in which temporary data is stored before being processed by the processor.

- Motherboard, this is the component that connects all the different parts of your computer. Often it has some integrated components like a sound card, enabling your computer to play sound, or a network card, to connect your computer to the network.

- Video board, this is the part of your computer that is responsible for the graphics processing. Micro ATX motherboards often have an integrated video board. Those integrated video boards are generally not very well suited for playing games, but good enough for watching movies.

- Hard disk, this is the permanent memory of your computer where your data is stored.

- An optional DVD/CD player/recorder for reading/writing DVDs/CDs.",PCs/Workstations,57470580,6005,22 Jan 2020 16:31:47,28 Feb 2008,HP GE425UP (Icecat),,,,,,Short summary description                                HP GE425UP PC/workstation:,This short summary of the HP GE425UP PC/workstation data-sheet is auto-generated and uses the product title and the first six key specs.,HP GE425UP,Long summary description                                HP GE425UP PC/workstation:,This is an auto-generated long summary of HP GE425UP PC/workstation based on the first three specs of the first five spec groups.,,XML product data for HP GE425UP,Icecat LIVE: JS for HP GE425UP,JSON product data for HP GE425UP,CSV product data for HP GE425UP,Download the Icecat taxonomy for 'PCs/Workstations'
Specs HP Notebook - 14-am033na Laptops (Z5A27EA),,HP Notebook - 14-am033na,XML product data for HP Z5A27EA,Icecat LIVE: JS for HP Z5A27EA,JSON product data for HP Z5A27EA,CSV product data for HP Z5A27EA,,Notebook - 14-am033na,190780886335.0,190780886335.0,,,33333701,15589,08 Dec 2021 09:32:25,20 Apr 2017,HP Z5A27EA (Icecat),Long product name HP Notebook - 14-am033na,"The long product name of HP Notebook - 14-am033na. For easy access to this data, refer to the 'ProductDescription' block and the 'ShortDesc' tag in XML or the 'Description' block and the 'LongProductName' tag in JSON.",HP Notebook - 14-am033na:,"The official description of HP Notebook - 14-am033na as supplied by the manufacturer. For easy access to this data, refer to the 'ProductDescription' block and the 'LongDesc' tag in XML or the 'Description' block and the 'LongDesc' tag in JSON.","This HP notebook is all about getting the perfect combination of design, reliability, and features. Style and productivity while keeping your wallet in mind - now that's something to get excited about.    - Windows 10 Home 64    Right features, right price     Reliable storage and dependable power for an unbeatable value.    Colorful choices     A range of vibrant colors and a textured fingerprint-proof cover gives you a stylish way to show off.1    Extended battery Life     A longer lasting battery means more time outside and more time on the go.    Featuring     Reliable processing power     - With industry-leading processors, get the reliable performance you expect and quality you can count on.    Windows 10 Home     - Windows 10 Home is here. Do great things.2    High definition display     - Enjoy your entertainment in amazing clarity with this vivid HD display.3    DTS Sound+ Audio     - Enjoy dynamic audio nuances and rich sounds with DTS Sound +.4    Amazing graphics     - Enjoy movies, gaming and more with Intel® Graphics.    Solid-State Hybrid Drive     - Boot up and launch apps in seconds with a drive that adjusts to your needs.    Keep going with a battery that lasts     - Go about your day longer without recharging.5    Choose your color     - Take your pick of colors for style that matches you.6    HP TrueVision HD Webcam     - Capture all the details with vibrant clarity, even in low light.    Packed with ports     - Connect easily.    Re-writable DVD drive     - Watch DVD movies.7 Or write your own media.    Sleek design     - Take this notebook anywhere, thanks to a thin and light design.   - Windows 10 Home 64",Short summary description                                HP Notebook - 14-am033na:,This short summary of the HP Notebook - 14-am033na data-sheet is auto-generated and uses the product title and the first six key specs.,"HP Notebook - 14-am033na, Intel® Pentium®, 1.6 GHz, 35.6 cm (14'), 1366 x 768 pixels, 4 GB, 1 TB",Long summary description                                HP Notebook - 14-am033na:,This is an auto-generated long summary of HP Notebook - 14-am033na based on the first three specs of the first five spec groups.,"HP Notebook - 14-am033na. Product type: Laptop, Form factor: Clamshell. Processor family: Intel® Pentium®, Processor model: N3710, Processor frequency: 1.6 GHz. Display diagonal: 35.6 cm (14'), HD type: HD, Display resolution: 1366 x 768 pixels. Internal memory: 4 GB, Internal memory type: DDR3L-SDRAM. Total storage capacity: 1 TB, Storage media: HDD, Optical drive type: DVD Super Multi. Operating system installed: Windows 10 Home. Product colour: Black, Red",XML product data for HP Z5A27EA,Icecat LIVE: JS for HP Z5A27EA,JSON product data for HP Z5A27EA,CSV product data for HP Z5A27EA,
