hotel name,rating,actions,rating,additional information,hotel name,address,additional information,additional informations,additional  information,additional informations,additional informations,check-in hours,additional information,guest ratings,rating,rating,address,description,City
,,,,,,,,,,,,,,,,,,,
Pestana Amsterdam Riverside - Priceline.com,1 / 126,See All 126 Photos,9.0,126 photos,Pestana Amsterdam Riverside,"Amsteldijk 67, Amsterdam, Netherlands - Apollolaan - RAI - Amstel Canal",Food delivery             Bar             Wine/champagne             Fruits              View images for   Restaurant(s)       (3)              Restaurant (special diets available),Bike tours,Garden,CCTV security in common areas,,(81),"Guests are required to show a photo ID and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply. Please inform Pestana Amsterdam Riverside of your expected arrival time in advance. You can use the Special Requests box when booking, or contact the property directly using the contact details in your confirmation. Please note that the photos are for illustration purposes only. Different policies and charges may apply for group bookings of 9 rooms or more. Credit cardholder must match the guest's name and the credit card used for the booking must be presented at the hotel upon check-in. In case of reservations made in the Non-Refundable rates, the card used must be presented at check-in.",4164 Verified Guest Ratings,8.5,8.4,"Amsteldijk 67, Amsterdam, Netherlands",Discover Amsterdam,Apollolaan - RAI - Amstel Canal
The Rome EDITION - Priceline.com,1 / 46,See All 46 Photos,,,The Rome EDITION,"Salita Di San Nicola Da Tolentino 14, Rome, Italy - Spanish Steps - Trevi Fountain",,,,,,,,,,,"Salita Di San Nicola Da Tolentino 14, Rome, Italy",Discover Rome,
Hotel Best Roma - Priceline.com,1 / 97,See All 97 Photos,,,Hotel Best Roma,,"Free face masks             All plates, cutlery, glasses and other tableware have been sanitized             Hand sanitizer in guest accommodation and key areas             Protective screen or physical barriers in appropriate areas             Linens, towels and laundry washed in accordance with local authority guidelines             Physical/social distancing guidelines             Contactless check-in/out             Shared stationery such as printed menus, magazines, pens, and paper removed             Staff follow all safety protocols as directed by local authorities             Daily disinfection             Professional cleaning services",Sun deck,Garden,Process in place to check health of guests,First aid kit available,(22),"In response to the coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property. Cots and cribs are available on request at the time of booking; fees may apply. All special requests are subject to availability upon check-in.",986 Verified Guest Ratings,7.6,7.5,"Via Di Porta Maggiore 51, Rome, Italy",Discover Rome,Coliseum - Termini Station
,,,,,,,,,,,,,,,,,,,
Hotel Quirinale - Priceline.com,1 / 74,See All 74 Photos,9.1,74 photos,Hotel Quirinale,"Via Nazionale 7, Rome, Italy - Coliseum - Termini Station",CCTV security in common areas,Ironing amenities,Fire extinguishers,Tour services,Cashless payment available,(21),"Guests are required to show a photo ID and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply. Please inform Hotel Quirinale of your expected arrival time in advance. You can use the Special Requests box when booking, or contact the property directly using the contact details in your confirmation. In response to the coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property. Due to the coronavirus (COVID-19), make sure you're booking this property in accordance with the destination's local government guidelines, including (but not limited to) the purpose of travel and maximum group size. Due to the coronavirus (COVID-19), wearing a face mask is mandatory in all indoor common areas. Please note that due to the unique style of each room, the decoration in some rooms may differ from the photos shown. For reservations of more than 7 rooms, the hotel reserves the right to apply a cancellation and payment policy different from the one for individual bookings. Please make sure that the name on the credit card used for the booking corresponds to the guest staying at the property. Otherwise, a third-party authorization by the cardholder must be submitted when booking. Please note that the credit card used for the booking must be shown at check-in.",4587 Verified Guest Ratings,8.0,9.1,"Via Nazionale 7, Rome, Italy",Discover Rome,Coliseum - Termini Station
Maison Albar Hotels Le Diamond - Priceline.com,1 / 80,See All 80 Photos,9.2,80 photos,Maison Albar Hotels Le Diamond,"4, Rue De La Pepiniere, Paris, France - Champs-Elysees - Arc de Triomphe - 8th Arr.",,Process in place to check health of guests,First aid kit available,Snack bar,Takeout dining services available,(52),"Please inform Maison Albar - Le Diamond of your expected arrival time in advance. You can use the Special Requests box when booking, or contact the property directly using the contact details in your confirmation. Guests are required to show a photo ID and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply. In response to the coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property. Food and beverage services at this property may be limited or unavailable due to the coronavirus (COVID-19). Due to the coronavirus (COVID-19), this property is taking steps to protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result. A damage deposit of EUR 300 is required on arrival. This will be collected by credit card. You should be reimbursed within 7 days of check-out. Your deposit will be refunded in full by credit card, subject to an inspection of the property. Please note the hotel does not accept checks for payment. Please note that the hotel may pre-authorize a deposit after the booking has been completed. For bookings with a prepayment, the credit card used for the booking will be required at guest arrival at the hotel. Otherwise a new payment will be made at check-in with the credit card presented. To protect our employes, most of whom are required to be vaccinated, and per French government regulations, now in force to reduce the spread of Covid-19, the 'health pass' will be requested upon your arrival at check-in, starting Monday, August 9th, 2021. The 'health pass' consists of the presentation, digital or paper, including any type of vaccine recognized by the World Health Organization, of a valid health proof among the 3 following options: · Certificate of a complete and valid vaccination (including post-vaccination delay) · Negative test of fewer than 72 hours old (PCR or antigenic test or self-test carried out under medical supervision) · Positive RT-PCR test demonstrating recovery of Covid-19, at least 11 days old and less than 6 months old. People who have not been vaccinated but have presented a negative PCR, antigen test or self-test will have to renew it every 72 hours to access our areas, including bars, restaurants, pools, and spas. Children under 18 years old are not required to present a health pass.'",1173 Verified Guest Ratings,8.7,,"4, Rue De La Pepiniere, Paris, France",,Champs-Elysees - Arc de Triomphe - 8th Arr.
Hôtel Bleu de Grenelle - Priceline.com,1 / 63,See All 63 Photos,9.4,63 photos,Hôtel Bleu de Grenelle,"140, Boulevard De Grenelle, Paris, France - Eiffel Tower - Invalides - Grenelle - 7th Arr.",CCTV security in common areas             24-hour security,Pets allowed (charges may apply),Electronic room key,Fire extinguishers,Safety deposit box,(13),"Guests are required to show a photo ID and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply. Due to the coronavirus (COVID-19), this property is taking steps to protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result. Due to the coronavirus (COVID-19), this property has reduced reception and service hours. Due to the coronavirus (COVID-19), wearing a face mask is mandatory in all indoor common areas. A damage deposit of EUR 100 is required on arrival. This will be collected by credit card. You should be reimbursed on check-out. Your deposit will be refunded in full by credit card, subject to an inspection of the property. The reservations for more than 3 rooms may incur special conditions and additional charges.",2620 Verified Guest Ratings,8.9,9.3,"140, Boulevard De Grenelle, Paris, France",,
,,,,,,,,,,,,,,,,,,,
Hilton Rome Airport - Priceline.com,1 / 65,See All 65 Photos,8.9,65 photos,Hilton Rome Airport,"Via Arturo Ferrarin 2 Fiumicino, Rome, Italy - Rome Airport (FCO)","Free face masks             Body thermometer available             Physical/social distancing guidelines             Contactless check-in/out             Shared stationery such as printed menus, magazines, pens, and paper removed             Staff follow all safety protocols as directed by local authorities             Hand sanitizer in guest accommodation and key areas             Sterilizing equipment             Staff trained in safety protocol             Protective screen or physical barriers in appropriate areas             Hygiene certification             Daily disinfection             Professional cleaning services",French,Spanish,Designated smoking area,Laundry services,(14),"If you are booking a prepaid rate and require an invoice, please contact the property.",8813 Verified Guest Ratings,7.0,8.9,"Via Arturo Ferrarin 2 Fiumicino, Rome, Italy",Discover Rome,Rome Airport (FCO)
