DateTime,DateTime,EventName,Organization,DateTime
0,1,2,3,4
2020-09-27T13:00:00-5:00,Open House - 1:00 PM - 3:00 PM,Open House,721 Windsor Court,2020-09-27T15:00:00-5:00
2020-09-27T12:00:00-5:00,Open House - 12:00 PM - 3:00 PM,Open House,201 Greenbrook Drive,2020-09-27T15:00:00-5:00
2020-09-27T13:00:00-5:00,Open House - 1:00 PM - 3:00 PM,Open House,140 Patterson Street S,2020-09-27T15:00:00-5:00
2020-09-27T13:00:00-5:00,Open House - 1:00 PM - 3:00 PM,Open House,850 Spring Creek Road,2020-09-27T15:00:00-5:00
2020-09-27T13:00:00-5:00,Open House - 1:00 PM - 2:30 PM,Open House,1282 Pine Circle,2020-09-27T14:30:00-5:00
2020-09-27T12:00:00-5:00,Open House - 12:00 PM - 1:30 PM,Open House,304 Academy Street S,2020-09-27T13:30:00-5:00
2020-09-27T13:00:00-5:00,Open House - 1:00 PM - 3:00 PM,Open House,159 Fernridge Road,2020-09-27T15:00:00-5:00
2020-09-27T12:00:00-5:00,Open House - 12:00 PM - 1:30 PM,Open House,125 5th Street N,2020-09-27T13:30:00-5:00
2020-09-20T11:00:00-5:00,Open House - 11:00 AM - 12:30 PM,Open House,237 Thomas Street N,2020-09-20T12:30:00-5:00
2020-09-26T21:00:00-5:00,Open House - 9:00 PM - 3:00 PM,Open House,438 Old Route 53,2020-09-26T15:00:00-5:00
2020-10-04T12:30:00-5:00,Open House - 12:30 PM - 2:00 PM,Open House,2216 Upper Brush Valley Road,2020-10-04T14:00:00-5:00
2020-09-24T09:00:00-5:00,Open House - 9:00 AM - 5:00 PM,Open House,438 Old Route 53,2020-09-24T17:00:00-5:00
2020-09-27T13:00:00-5:00,Open House - 1:00 PM - 3:00 PM,Open House,832 Spring Creek Road,2020-09-27T15:00:00-5:00
2020-09-27T12:30:00-5:00,Open House - 12:30 PM - 2:00 PM,Open House,4221 School House Lane,2020-09-27T14:00:00-5:00
2020-10-04T12:00:00-5:00,Open House - 12:00 PM - 1:30 PM,Open House,304 Academy Street S,2020-10-04T13:30:00-5:00
2020-09-20T13:00:00-5:00,Open House - 1:00 PM - 3:00 PM,Open House,721 Windsor Court,2020-09-20T15:00:00-5:00
2020-09-27T12:30:00-5:00,Open House - 12:30 PM - 2:00 PM,Open House,2216 Upper Brush Valley Road,2020-09-27T14:00:00-5:00
2020-10-04T11:00:00-5:00,Open House - 11:00 AM - 1:00 PM,Open House,751 Glenn Road,2020-10-04T13:00:00-5:00
