DateTime,EventName,EventDescription,Organization,DateTime
0,1,2,4,6
2019-11-08T18:00:00-07:00,Reformation Boise presents In Christ Alone Conference,"<p>November 8th, 2019: 6:00pm – 9:30pm November 9th, 2019: 8:30am – 2:15pm Location Valley Shepherd Church of the Nazarene 150 W Maestra St Meridian, Idaho 83642 Speakers: Mark Jones (PhD Leiden University) – Pastor at Faith Reformed Presbyterian Church in Vancouver. He is the author of several books including Knowing Christ, God Is, and Faith, Hope and Love. Cornelis P. Venema – President and Professor of Doctrinal Studies at Mid-America Reformed Seminary, Dyer, Indiana. He is the author of several books including Getting the Gospel Right and Christ and the Future. FRIDAY NOVEMBER 8, 2019 6:00 PM Doors Open 7:00 PM – 8:00 PM Session 1: Our Union with Christ |<!--hootubix-read-more-quicktag--></p>\",Valley Shepherd Church,2019-11-08T21:30:00-07:00
2018-10-07T10:00:00-06:00,Harvest Festival,"<p>Morning worship and Holy Communion at 10:00 am, including offering march of food for the poor. Bring garden produce or purchased items to contribute. Harvest Feast to follow, bring salad or desert to share. All welcome.</p>\",Epworth Chapel on the Green,2018-10-07T16:00:00-06:00
2018-04-27T18:30:00-06:00,Pilgrim’s Progress: The Journey of a Lifetime!,"<p>You are invited to the performance of Pilgrim’s Progress: The journey of a lifetime! at Cloverdale Seventh-day Adventist Church at 6:30 April 27. Abridged, directed, and produced by children, this classic tale will challenge your own walk with Christ! Please bring a can of food for food bank, or monetary donation toward providing Bibles in a third world country.</p>\",Cloverdale Seventh-Day Adventist Church,2018-04-27T20:30:00-06:00
2020-03-14T19:00:00-06:00,Dennis Agajanian in Concert!,"<p>Calvary Chapel Kuna invites you to come and enjoy a special evening with Dennis Agajanian, who has recorded over 20 albums and has played in churches around the world in over 100 countries. He has been a part of the Billy Graham and Harvest crusades since 1974. A freewill offering will be taken.</p>\",Calvary Chapel Kuna,2020-03-14T21:00:00-06:00
2018-01-30T08:00:00-07:00,25th Annual Buy Idaho Capitol Show,<p>Inspirational Family Radio will be at the annual Buy Idaho Capitol Show! Come out to see us as well as meet local businesses and discover new ways to shop local.</p>\,Boise Capitol,2018-01-30T15:00:00-07:00
2020-03-07T09:00:00-07:00,Awaken Hope – Moms in Prayer Int’l,"<p>Awaken Hope Boise Idaho Saturday, March 7, 2020 9:00am – 4:00pm Valley Shepherd Church of the Nazarene, 150 W Maestra St. Meridian, ID 83642 Only $40! (includes lunch) Gather 3 of your friends and register together for only $140 (save $20) Price increases $10 per person on Feb 7th JOIN US IN WORSHIP THAT AWAKENS, BIBLICAL MESSAGES THAT EMPOWER AND PRAYER THAT SHAPES THE NEXT GENERATION!   CLICK HERE FOR MORE INFORMATION AND TO REGISTER!  </p>\",Valley Shepherd Church,2020-03-07T16:00:00-07:00
2020-01-18T13:00:00-07:00,Boise March for Life 2020,"<p>The Boise March for Life takes place every January on the weekend anniversary of Roe v Wade to commemorate the over 50 million unborn children that have been lost since the infamous Supreme Court ruling. The March and rally that follows are a celebration of life and demonstration in the belief that all life is sacred. On Saturday, January 18, 2020, Right to Life of Idaho will host the 47th Annual Boise March for Life!! Please, help us get the word out for the 2020 Boise March for Life! The Idaho March for Life will leave the Gene Harris Bandshell at Julia Davis Park (150 N<!--hootubix-read-more-quicktag--></p>\",Julia Davis Park,2020-01-18T15:00:00-07:00
2020-01-02T07:30:00-07:00,FCA Breakfast,"<p>The 2020 Famous Idaho Potato Bowl breakfast with Mike Singletary sponsored by Fellowship of Christian Athletes Idaho . Date: Thursday, January 2, 2020, 7:30 - 9:15 AM Location: BOISE CENTRE, 850 W Front Street, Boise, ID Be Challenged and inspired by our keynote speaker, Mike Singletary   2X All-American Linebacker at Baylor University College & Pro Football Hall of Famer 1981 Drafted by the Chicago Bears Known as ""The Heart of the Defense"" of the Monsters of the Midway. NFL career was from 1981 - 1992 with the Chicago Bears 10X Pro Bowler from 1983 - 1992 NFL Man of the Year in 1990 Coached in the<!--hootubix-read-more-quicktag--></p>\",Boise Centre,2020-01-02T21:30:00-07:00
2020-02-02T09:00:00-07:00,Life of Christ Conference – Faith Community Bible Church,"<p>  The Passion Week of Jesus, the pivot point on which all of human history turns, is at once the most awful and the most blessed week in all of human history. Join us as we welcome back Dr. Doug Bookman for a Bible Conference which traces the course of those final days of Jesus’ mortal life. Dr. Bookman is a professor at Shepherd’s Theological Seminary, and is a premiere scholar of the New Testament, specializing in the life of Christ. He’s led over 50 trips to Israel and his passion, humor, engagement, and seriousness is second to none. Extensive notes will be provided, time will be<!--hootubix-read-more-quicktag--></p>\",Faith Community Bible Church,2020-02-02T12:30:00-07:00
