DateTime,EventName,Organization,DateTime
0,1,3,4
2020-01-16T16:00:00+00:00,Board of Directors Meeting,Community Action Agency of Anne Arundel County,2020-01-16T18:00:00+00:00
2020-02-17T08:30:00+00:00,North County Satellite Office Open,North County Satellite Office,2020-02-17T17:00:00+00:00
2017-05-02T00:00:00+00:00,2017 Human Services Conference,Sheraton Baltimore North Hotel,2017-05-04T23:59:59+00:00
2020-01-09T09:00:00+00:00,South County Satellite Office Open,St. James Parish,2020-01-09T12:00:00+00:00
2020-09-17T09:00:00+00:00,AAC Dept of Health Satellite Office Open,Anne Arundel County Dept of Health,2020-09-17T11:30:00+00:00
2020-09-17T10:00:00+00:00,Unity Tabernacle of Restoration Satellite Office Open,Unity Tabernacle Of Restoration,2020-09-17T12:00:00+00:00
2020-09-19T10:00:00+00:00,Unity Tabernacle of Restoration Satellite Office Open,Unity Tabernacle Of Restoration,2020-09-19T12:00:00+00:00
2020-09-24T09:00:00+00:00,AAC Dept of Health Satellite Office Open,Anne Arundel County Dept of Health,2020-09-24T11:30:00+00:00
2020-09-02T13:30:00+00:00,Meade Village Satellite Office Open,1700 Meade Village Circle,2020-09-02T16:00:00+00:00
2020-09-24T10:00:00+00:00,Unity Tabernacle of Restoration Satellite Office Open,Unity Tabernacle Of Restoration,2020-09-24T12:00:00+00:00
2020-09-26T10:00:00+00:00,Unity Tabernacle of Restoration Satellite Office Open,Unity Tabernacle Of Restoration,2020-09-26T12:00:00+00:00
2020-10-01T09:00:00+00:00,AAC Dept of Health Satellite Office Open,Anne Arundel County Dept of Health,2020-10-01T11:30:00+00:00
2020-10-01T10:00:00+00:00,Unity Tabernacle of Restoration Satellite Office Open,Unity Tabernacle Of Restoration,2020-10-01T12:00:00+00:00
2020-10-01T13:30:00+00:00,Heritage Crest and Overlook Satellite Office Open,125 Loyd Lane,2020-10-01T16:00:00+00:00
2020-10-03T10:00:00+00:00,Unity Tabernacle of Restoration Satellite Office Open,Unity Tabernacle Of Restoration,2020-10-03T12:00:00+00:00
2020-09-03T09:00:00+00:00,AAC Dept of Health Satellite Office Open,Anne Arundel County Dept of Health,2020-09-03T11:30:00+00:00
2020-09-03T10:00:00+00:00,Unity Tabernacle of Restoration Satellite Office Open,Unity Tabernacle Of Restoration,2020-09-03T12:00:00+00:00
2020-09-03T13:30:00+00:00,Heritage Crest and Overlook Satellite Office Open,125 Loyd Lane,2020-09-03T16:00:00+00:00
2020-09-05T10:00:00+00:00,Unity Tabernacle of Restoration Satellite Office Open,Unity Tabernacle Of Restoration,2020-09-05T12:00:00+00:00
2020-09-10T09:00:00+00:00,AAC Dept of Health Satellite Office Open,Anne Arundel County Dept of Health,2020-09-10T11:30:00+00:00
2020-09-10T10:00:00+00:00,Unity Tabernacle of Restoration Satellite Office Open,Unity Tabernacle Of Restoration,2020-09-10T12:00:00+00:00
2020-09-12T10:00:00+00:00,Unity Tabernacle of Restoration Satellite Office Open,Unity Tabernacle Of Restoration,2020-09-12T12:00:00+00:00
