HotelName,HotelName,PriceRange,AddressLocality,AddressLocality,AddressLocality,Time,Rating
0,1,2,3,6,7,10,11.0
Grand Plaza Hanoi Hotel,Grand Plaza Hanoi Hotel,Price range: $100 - $535,Trung Hoa - Nhan Chinh - National Convention Center,Trung Hoa - Nhan Chinh - National Convention Center,"117 Tran Duy Hung, Cau Giay District, Trung Hoa - Nhan Chinh - National Convention Center, Hanoi, Vietnam",307,4.7100977199
Harbour View Hotel,Harbour View Hotel,Price range: $90 - $160,City Center / Sat Market,City Center / Sat Market,"12 Tran Phu Street, City Center / Sat Market, Haiphong, Vietnam",61,4.4426229508
Best Western Pearl River Hotel,Best Western Pearl River Hotel,Price range: $80 - $250,Rao Bridge,Rao Bridge,"Km 8 Pham Van Dong Street, Duong Kinh Distict, Rao Bridge, Haiphong, Vietnam",139,4.0287769784
Bhaya Cruises,Bhaya Cruises,Price range: $323 - $912,Hanoi,"Hoan Kiem,","Unit 507, International Centre, 17 Ngo Quyen St.,",332,4.6897590361
Hoang Yen Hotel 1,Hoang Yen Hotel 1,Price range: $60 - $112,Quy Nhon,Quy Nhon,"No.5, An Duong Vuong Street, City Beach, Quy Nhon (Binh Dinh), Vietnam",368,4.3913043478
Majestic Hotel,Majestic Hotel,Price range: $165 - $360,District 1 - Riverside,District 1 - Riverside,"1 Dong Khoi Street, District 1, District 1 - Riverside, Ho Chi Minh City, Vietnam",177,4.9774011299
Park Hyatt Hotel,Park Hyatt Hotel,Price range: $330 - $890,District 1 - Dong Khoi / Nguyen Hue,District 1 - Dong Khoi / Nguyen Hue,"2 Lam Son Square, District 1 - Dong Khoi / Nguyen Hue, Ho Chi Minh City, Vietnam",263,4.8897338403
Victoria Can Tho Resort,Victoria Can Tho Resort,Price range: $130 - $210,Can Tho,Can Tho,"Cai Khe Ward, Cai Khe, Can Tho, Vietnam",283,4.8586572438
Seagull Hotel,Seagull Hotel,Price range: $80 - $190,Quy Nhon,Quy Nhon,"489 An Duong Vuong street, City Beach, Quy Nhon (Binh Dinh), Vietnam",182,4.7417582418
Sunny Mountain Hotel,Sunny Mountain Hotel,Price range: $25 - $95,Market Area,Market Area,"010 Muong Hoa - Cau May, Market Area, Sapa (Lao Cai), Vietnam",113,4.9115044248
Halong Bay Private Day trip,Halong Bay Private Day trip,Price range: $75 - $275,,,,123,4.4471544715
The Nam Hai Resort,The Nam Hai Resort,Price range: $830 - $1500,Beach Front,Beach Front,"Hamlet 1, Dien Duong Village, Beach Front, Hoi An, Vietnam",129,4.5271317829
Saigon Quy Nhon Hotel,Saigon Quy Nhon Hotel,Price range: $70 - $450,Quy Nhon,Quy Nhon,"24 Nguyen Hue St, Qui Nhon City, City Beach, Quy Nhon (Binh Dinh), Vietnam",135,4.6555555556
Hyatt Regency Danang Resort and Spa,Hyatt Regency Danang Resort and Spa,Price range: $240 - $1200,Da Nang,Da Nang,"Hoa Hai Ward, Ngu Hanh Son District, Non Nuoc Beach, Danang, Vietnam",182,4.2527472527
Imperial Hotel Hue,Imperial Hotel Hue,Price range: $100 - $475,Hue City,Hue City,"8 Hung Vuong Street, Hue City, Hue, Vietnam",198,4.9191919192
Novotel Nha Trang Hotel,Novotel Nha Trang Hotel,Price range: $120 - $750,Nha Trang,Nha Trang,"50 Tran Phu Street , Beach Front / Central Tran Phu, Nha Trang, Vietnam",390,4.2205128205
Emperor Cruise,Emperor Cruise,Price range: $640 - $1900,Hanoi,"Hoan Kiem,","Unit 507, International Centre, 17 Ngo Quyen St.,",365,4.9630136986
