HotelName,AddressLocality,PriceRange,Telephone
0,1,2,6
Park 79 Hotel,"117 West 79th Street, New York, United States, 10024","['110', 'Preise ab USD 110']",888-205-7322
Ramada Encore by Wyndham Geneva,"10-12, Route des Jeunes, Lancy, 1227, Switzerland",Rates from CHF 94,"['888-205-7322', 'US: 888-205-7322', 'EU: +1 469-610-3608', 'UK: 0808 145-3778']"
Copenhagen Plaza,"Bernstorffsgade 4, Copenhagen, 1577, Denmark",Rates from DKK 406,"['888-205-7322', 'US: 888-205-7322', 'EU: +1 469-610-3608', 'UK: 0808 145-3778']"
Bab Al Shams Desert Resort and Spa,"Al Qudra Road, Dubai, 8168, United Arab Emirates",,"['US: 888-697-9570', 'UK: 0808 145 3719', 'EU: +1 469-610-3610']"
Bab Al Shams Desert Resort and Spa,"Al Qudra Road, Dubai, 8168, United Arab Emirates",Rates from AED 513,"['US: 888-697-9570', '888-697-9570', 'UK: 0808 145 3719', 'EU: +1 469-610-3610']"
Park 79 Hotel,"117 West 79th Street, New York, United States, 10024","['110', 'Desde USD 110']",888-205-7322
Renaissance Santo Domingo Jaragua Hotel & Casino,"Avenida George Washington 367, Santo Domingo, 10210, Dominican Republic","Rates from DOP 3,000","['888-205-7322', 'US: 888-205-7322', 'EU: +1 469-610-3608', 'UK: 0808 145-3778']"
NORFOLK TOWERS PADDINGTON,"34 Norfolk Place, London, United Kingdom, W2 1QW","['价格从 GBP 51', '51']",888-205-7322
Hotel Riddargatan,"Riddargatan 14, Stockholm, 114 35, Sweden",Rates from SEK 783,888-205-7322
Ramada Encore by Wyndham Geneva,"10-12, Route des Jeunes, Lancy, 1227, Switzerland",Rates from CHF 94,"['888-205-7322', 'US: 888-205-7322', 'EU: +1 469-610-3608', 'UK: 0808 145-3778']"
AC Hotel Ciudad de Sevilla by Marriott,"Avenida Manuel Siurot, 25, Seville, 41013, Spain",Rates from EUR 57,"['888-205-7322', 'US: 888-205-7322', 'EU: +1 469-610-3608', 'UK: 0808 145-3778']"
Copenhagen Plaza,"Bernstorffsgade 4, Copenhagen, 1577, Denmark",Rates from DKK 406,"['888-205-7322', 'US: 888-205-7322', 'EU: +1 469-610-3608', 'UK: 0808 145-3778']"
Hotel Riddargatan,"Riddargatan 14, Stockholm, 114 35, Sweden",Rates from SEK 783,"['888-205-7322', 'US: 888-205-7322', 'EU: +1 469-610-3608', 'UK: 0808 145-3778']"
Tahiti Pearl Beach Resort,"Lafayette Beach PK7, Arue, French Polynesia","['11,490', 'Rates from XPF 11,490']",888-205-7322
Renaissance Santo Domingo Jaragua Hotel & Casino,"Avenida George Washington 367, Santo Domingo, 10210, Dominican Republic","Rates from DOP 3,000",888-205-7322
Bab Al Shams Desert Resort and Spa,"Al Qudra Road, Dubai, 8168, United Arab Emirates",Rates from AED 513,888-697-9570
The Tourmaline,"Anniewatte, Kandy, Sri Lanka, 20855","['8,049', 'Rates from LKR 8,049']","['888-205-7322', 'US: 888-205-7322', 'EU: +1 469-610-3608', 'UK: 0808 145-3778']"
Tahiti Pearl Beach Resort,"Lafayette Beach PK7, Arue, French Polynesia","['11,490', 'Rates from XPF 11,490']","['888-205-7322', 'US: 888-205-7322', 'EU: +1 469-610-3608', 'UK: 0808 145-3778']"
Century Southern Tower Hotel,"2-2-1 Yoyogi, Tokyo, 151-8583, Japan","Rates from JPY 15,143",888-205-7322
Park Plaza County Hall London,"1 Addington Street, London, SE1 7RY, United Kingdom",Rates from GBP 104,888-205-7322
Ramada Encore by Wyndham Geneva,"10-12, Route des Jeunes, Lancy, 1227, Switzerland",Rates from CHF 94,888-205-7322
Park 79 Hotel,"117 West 79th Street, New York, United States, 10024","['110', 'Ceny od USD 110']",888-205-7322
Park 79 Hotel,"117 West 79th Street, New York, United States, 10024","['110', 'A partire da USD 110']",888-205-7322
Park 79 Hotel,"117 West 79th Street, New York, United States, 10024","['110', 'Priser fra USD 110']",888-205-7322
NORFOLK TOWERS PADDINGTON,"34 Norfolk Place, London, United Kingdom, W2 1QW",,"['US: 888-205-7322', 'EU: +1 469-610-3608', 'UK: 0808 145-3778']"
Ramada Encore by Wyndham Geneva,"10-12, Route des Jeunes, Lancy, 1227, Switzerland",,"['US: 888-205-7322', 'EU: +1 469-610-3608', 'UK: 0808 145-3778']"
Park 79 Hotel,"117 West 79th Street, New York, United States, 10024","['110', '价格从 USD 110']",888-205-7322
Le Meridien Dubai Hotel & Conference Centre,"Airport Road, Dubai, United Arab Emirates",,"['US: 888-205-7322', 'EU: +1 469-610-3608', 'UK: 0808 145-3778']"
Le Meridien Dubai Hotel & Conference Centre,"Airport Road, Dubai, United Arab Emirates",Rates from AED 371,888-205-7322
Bab Al Shams Desert Resort and Spa,"Al Qudra Road, Dubai, 8168, United Arab Emirates",Rates from AED 513,"['US: 888-697-9570', '888-697-9570', 'UK: 0808 145 3719', 'EU: +1 469-610-3610']"
Le Meridien Dubai Hotel & Conference Centre,"Airport Road, Dubai, United Arab Emirates",Rates from AED 371,"['888-205-7322', 'US: 888-205-7322', 'EU: +1 469-610-3608', 'UK: 0808 145-3778']"
Park Plaza County Hall London,"1 Addington Street, London, SE1 7RY, United Kingdom",Rates from GBP 104,"['888-205-7322', 'US: 888-205-7322', 'EU: +1 469-610-3608', 'UK: 0808 145-3778']"
Century Southern Tower Hotel,"2-2-1 Yoyogi, Tokyo, 151-8583, Japan","Rates from JPY 15,143","['888-205-7322', 'US: 888-205-7322', 'EU: +1 469-610-3608', 'UK: 0808 145-3778']"
Le Meridien Dubai Hotel & Conference Centre,"Airport Road, Dubai, United Arab Emirates",Rates from AED 371,"['888-205-7322', 'US: 888-205-7322', 'EU: +1 469-610-3608', 'UK: 0808 145-3778']"
Park 79 Hotel,"117 West 79th Street, New York, United States, 10024","['110', 'Rates from USD 110']",888-205-7322
Hotel Riddargatan,"Riddargatan 14, Stockholm, 114 35, Sweden",Rates from SEK 783,"['888-205-7322', 'US: 888-205-7322', 'EU: +1 469-610-3608', 'UK: 0808 145-3778']"
Copenhagen Plaza,"Bernstorffsgade 4, Copenhagen, 1577, Denmark",Rates from DKK 406,888-205-7322
Park 79 Hotel,"117 West 79th Street, New York, United States, 10024","['110', 'Vanaf USD 110']",888-205-7322
Park 79 Hotel,"117 West 79th Street, New York, United States, 10024","['110', 'Rates from USD 110']","['888-205-7322', 'US: 888-205-7322', 'EU: +1 469-610-3608', 'UK: 0808 145-3778']"
AC Hotel Ciudad de Sevilla by Marriott,"Avenida Manuel Siurot, 25, Seville, 41013, Spain",Rates from EUR 57,"['888-205-7322', 'US: 888-205-7322', 'EU: +1 469-610-3608', 'UK: 0808 145-3778']"
NORFOLK TOWERS PADDINGTON,"34 Norfolk Place, London, United Kingdom, W2 1QW","['Rates from GBP 51', '51']","['888-205-7322', 'US: 888-205-7322', 'EU: +1 469-610-3608', 'UK: 0808 145-3778']"
Le Meridien Dubai Hotel & Conference Centre,"Airport Road, Dubai, United Arab Emirates",价格从 AED 371,888-205-7322
Century Southern Tower Hotel,"2-2-1 Yoyogi, Tokyo, 151-8583, Japan","Rates from JPY 15,143","['888-205-7322', 'US: 888-205-7322', 'EU: +1 469-610-3608', 'UK: 0808 145-3778']"
Bab Al Shams Desert Resort and Spa,"Al Qudra Road, Dubai, 8168, United Arab Emirates",价格从 AED 513,888-697-9570
Park 79 Hotel,"117 West 79th Street, New York, United States, 10024",,"['US: 888-205-7322', 'EU: +1 469-610-3608', 'UK: 0808 145-3778']"
NORFOLK TOWERS PADDINGTON,"34 Norfolk Place, London, United Kingdom, W2 1QW","['Rates from GBP 51', '51']",888-205-7322
The Tourmaline,"Anniewatte, Kandy, Sri Lanka, 20855","['8,049', 'Rates from LKR 8,049']",888-205-7322
