HotelName,AddressLocality,AddressLocality,LocationFeatureSpecification,LocationFeatureSpecification
0,2,3,4.0,5.0
Holiday Home Les Angevines,,,43.9345016,4.9057002
Sigma Inn by Sky Stays,Ahmedabad,"Hotel Sigma Inn,5th floor, Sigma Arcade, Opposite shreeji hospital",23.1005001,72.5883026
Holiday Home Marinas Beach,,,43.5108986,4.1311002
Saastower,Кочин,"saas tower near main boat jetty ernakulam, colombo junction near govt hospital main boat jetty",9.9742002,76.2807007
Apartment Domaine de Claire Rive.2,,,44.4953003,1.1804
Apartment Domaine du Golf d'Albret.1,,,44.1735992,0.2651
Les Oliviers 2 160S,,,44.3083,5.1841998
OYO 2034 Vidyapati Cottage,Patna,FLAT NO 101 Road No.1 Vijay Nagar Rua,25.6096992,85.0650024
Apartment Domaine du Golf d'Albret.7,,,44.1735992,0.2651
Apartment Les Fermes de Samoens.2,,,46.0774002,6.7312999
Apartment Le Curling B.39,,,45.4566002,6.9001999
Les Camélias 106S,,,48.8093987,-3.4505999
Stella Continental,Phagwāra,G T ROAD,31.1299,75.7758026
OYO 13333 Hotel Orchid Inn,Kankhal,"Near Laltaroa Bridge,Railway Road",29.9494991,78.1598969
Le Liorzo 104S,,,48.6876984,-3.5041001
OYO 13499 Home 2BHK Simran Villa DIT,Dehradun,"Green Valley Colony Kuthal Gaon, Mohan Chatti",30.4050598,78.0813293
Radhika,Katni,Near Main Bus Stand,23.8442993,80.3831024
OYO 13921 Home Om Prakash Homestay Family Room,Симла,"thakur home stay, Village Dudhli, Bharari",31.1305008,77.1672974
Treebo Tryst Laxvas,Thane,"Near Lodha Paradise, Bhivandi Bypass Road, Majiwade, Thane,",19.2124996,72.9804993
Mon Rayon de Soleil,Mbour,"Nyakh Nyakhal, Mbour",14.4321585,-16.9993763
KSS Inn,Doiwāla,"DPS Road, Kanharwala , Bhaniyawla (Near Dehradun Airport)",30.184,78.1531982
OYO 11529 Diamond Residency,Alleppey,"Diamond Residency, Pushpa Building, Valiyakulam",9.4819002,76.3302994
Apartment Domaine de Claire Rive.3,,,44.4953003,1.1804
Point View 100S,,,47.723999,-3.349
Apartment Chauvin Dragon,,,43.3888016,-1.658
Apartment Les Grandes Platières I et II.25,,,45.4570999,6.9000001
OYO 13600 Newcastle Inn,Kolkata,"AA-92, Kolkata",22.5894203,88.453331
Apartment Eskualduna I,,,43.3755989,-1.661
OYO 12391 Home 1BHK Hill View Lower Panthagahtti,Simla,"rana palace, near sankat mochan tara devi",31.0881004,77.1417999
OYO 13302 Hotel Ashvattha,Chennai,"Plot no 35,Kamakotti nagar, Chennai",12.9422503,80.2088928
Apartment Saphir,,,45.8666,6.6940999
Artistic 1BHK Siolim,Сиолим,"3, Next to kirti Vidyalaya high school, Seolim inn, Portawaddo, Seolim, Bardez, North Goa",15.6280003,73.7615967
de la plage,Jijel,ouled bounnar jijel,36.8184013,5.7119002
Holiday home Maison Delain,Delain,Beze,47.571701,5.6272001
OYO 13820 Coco Retreat Farm,Mahabalipuram,"4, Alpha Farms, Keelakalani, Mahabalipuram",12.5795698,80.1588287
OYO 14235 Hotel Ostria,Surat,"5th Floor Meghani Tower, Near Delhi GateBegampura",21.2008991,72.8380966
Les Alouettes 110S,,,43.7966003,-1.3025
OYO 12695 Home Cosy 5BHK Himuda Sanjauli,Simla,"Near Main Gate, Housing Board Colony, Sanjauli",31.0974998,77.1955032
Apartment Louis XIV,,,43.3908005,-1.6595
Apartment Le Riviera,,,43.3869019,6.7227998
Park Grace,Харидвар,"(A Unit of Avadh Associate) Opp ShantiKunj Gate No.2, Rishikesh, Highway Bhupatwala,Haridwar",29.9932003,78.1886978
him view,Манали,"club house road ,near club house manali club house road ,near club house manali",32.2537994,77.180603
OYO 13857 Hotel Imperial,Umele,"Ground Floor, Oynx Commercial Centre, Тхане",19.405899,72.8621979
Les Nines 120S,,,45.4118996,-1.0434
OYO 13671 Qualia,Hyderabad,"208, Swamy Ayyappa Society, VIP Hills, Silicon Valley",17.4496002,78.3887024
Apartment Le Clos Marin.2,,,43.1808014,5.6820998
Apartment Le Prariond.10,,,45.4542007,6.9008999
Treebo Eden Au Lac,Bangalore,"25,Hoysala Nagar, Bangalore",12.9824305,77.6347275
OYO 12880 Home Bhimtal,Nainital,"Mehragoan, next to Country Inn Bhowali Road, Пангот",29.3673306,79.5437622
