HotelName,AddressLocality,Time,LocationFeatureSpecification,HotelName
0,1,2.0,3.0,4
Rondo Retreat Centre,Kisumu - Kakamega Road 2153,0.27165,34.753208,Kakamega
Cranes Suites,Moi Avenue,1.01543,35.00201,Kitale
Calatrava,"C/ Plaza Llorenç Villalonga, 8 - 07001",2.65358,39.565651,Buna
Qafqaz Sahil Resort Hotel,Haydar Aliyev Avenue 261,38.794476,48.835541,Marushli
La Perla Preziosa,Mediterraneo N.8,13.86286,42.981419,Al Ghanjah
Africana Yard,off kitale kakamega road road,0.98453,34.981258,Kitale
Zippys Apartment,"Kisumu - Kakamega Road 2nd floor, door no 4",0.26398,34.76984,Kakamega
Dana Moon Hotel,"Dana , Main Street",30.67473,35.610592,Ḑānā
Welk Resorts Sirena Del Mar,Ctra. Transpeninsular Km. 4.5,15.35203,44.207458,Sana
Parsian Safayieh Hotel,"Timsar Fallahey Avenue, Yazd, Yazd",31.840137,54.377594,Şafā’īyeh
Vilesh Hotel,Qariblyar Village,38.989937,48.584656,Isi
Parsian Yazd Hotel,"Islamic Republic Blv, Nehzat Ave",31.92429,54.323704,Kasnavīyeh
Hotel Noy,Artsakhyan Highway 57,39.526161,46.326229,Verishen
Dana Castle Hotel فندق قلعة ضانا,"main St Dana village, Tafila, Jordan",30.67395,35.611679,Ḑānā
