RestaurantDescription,Telephone,PriceRange,RestaurantDescription,PostalCode,AddressRegion,RestaurantDescription,Address,Coordinate,Coordinate,Telephone
0,1,2,3,4,5,6,7,8.0,9.0,10
Newk's East,(901) 820 -0415,$$,American,38119,Memphis,https://www.mymealsinmotionordering.com/r/761/restaurants/delivery/American/Newks-East-Memphis,5336 Poplar Ave,-89.88386,35.107893,TN
Olive Garden Winchester,(901) 624 -2003,$$,Italian,38125,Memphis,https://www.mymealsinmotionordering.com/r/871/restaurants/delivery/Italian/Olive-Garden-Winchester-Memphis,7778 Winchester Rd,-89.804372,35.049891,TN
Gus's Fried Chicken,(901) 767 -2323,$,Fried Chicken,38117,Memphis,https://www.mymealsinmotionordering.com/r/902/restaurants/delivery/Fried-Chicken/Guss-Fried-Chicken-Memphis,730 S Mendenhall Rd,-89.895437,35.111124,TN
Happy Mexican,(901) 683 -0000,$$,Mexican,38119,Memphis,https://www.mymealsinmotionordering.com/r/922/restaurants/delivery/Mexican/Happy-Mexican-Memphis,6080 Primacy Parkway,-89.860776,35.095377,TN
Chipotle East,(901) 416 -1944,$$,Mexican,38119,Memphis,https://www.mymealsinmotionordering.com/r/824/restaurants/delivery/Mexican/Chipotle-East-Memphis,5865 Poplar Ave,-89.865482,35.10213,TN
The Bottle Shoppe,(901) 249 -6791,$$,"Wine, Liquor, Beer",38111,Memphis,https://www.mymealsinmotionordering.com/r/598/restaurants/delivery/Wine-Liquor-Beer/The-Bottle-Shoppe-Memphis,3933 Park Ave,-89.931753,35.107345,TN
Olive Garden Poplar,(901) 761 -5711,$$,Italian,38119,Memphis,https://www.mymealsinmotionordering.com/r/870/restaurants/delivery/Italian/Olive-Garden-Poplar-Memphis,5679 Poplar Ave,-89.872405,35.104077,TN
Tokyo Grill Kirby,(901) 522 -6988,$$,Japanese,38119,Memphis,https://www.mymealsinmotionordering.com/r/882/restaurants/delivery/Japanese/Tokyo-Grill-Kirby-Memphis,2801 Kirby Road Ste 103,-89.843004,35.072308,TN
Poke Bros,(901) 207 -3351,$$,Hawaiian Poke,38119,Memphis,https://www.mymealsinmotionordering.com/r/912/restaurants/delivery/Hawaiian-Poke/Poke-Bros-Memphis,6515 Poplar Ct Suite 104,-89.846074,35.098884,TN
Tops BBQ Poplar,(901) 682 -7146,$,Barbeque,38117,Memphis,https://www.mymealsinmotionordering.com/r/847/restaurants/delivery/Barbeque/Tops-BBQ-Poplar-Memphis,5144 Poplar Ave,-89.890362,35.110626,TN
Memphis Pizza Cafe East,(901) 684 -1306,$$,Pizza,38117,Memphis,https://www.mymealsinmotionordering.com/r/783/restaurants/delivery/Pizza/Memphis-Pizza-Cafe-East-Memphis,5061 Park Ave,-89.893154,35.106157,TN
Chick-fil-A Oak Court,(901) 682 -4493,$$,Fast-Food,38117,Memphis,https://www.mymealsinmotionordering.com/r/455/restaurants/delivery/Fast-Food/Chick-fil-A-Oak-Court-Memphis,4465 Poplar Ave FS03,-89.913349,35.117236,TN
Yorkshire Liquors,(901) 767 -1971,$$,"Wine, Liquor, Beer",38119,Memphis,https://www.mymealsinmotionordering.com/r/618/restaurants/delivery/Wine-Liquor-Beer/Yorkshire-Liquors-Memphis,5669 Quince Rd,-89.87441,35.088556,TN
Rise Germantown,(901) 308 -4912,$,Breakfast,38119,Germantown,https://www.mymealsinmotionordering.com/r/860/restaurants/delivery/Breakfast/Rise-Germantown-Germantown,7535 Poplar Ave Suite 109,-89.812047,35.093936,TN
Newk's Germantown,(901) 321 -5893,$$,American,38138,Germantown,https://www.mymealsinmotionordering.com/r/762/restaurants/delivery/American/Newks-Germantown-Germantown,1730 S Germantown Rd,-89.804615,35.101877,TN
Chipotle Midtown,(901) 729 -2640,$$,Mexican,38104,Memphis,https://www.mymealsinmotionordering.com/r/825/restaurants/delivery/Mexican/Chipotle-Midtown-Memphis,2046 Union Ste 101,-89.993626,35.134824,TN
Newk's Highland,(901) 207 -4421,$$,American,38111,Memphis,https://www.mymealsinmotionordering.com/r/763/restaurants/delivery/American/Newks-Highland-Memphis,431 S Highland St. Ste 105,-89.946303,35.120088,TN
