Telephone,Telephone,AddressRegion,Country,AddressRegion,PostalCode,Coordinate,Coordinate,Time,DayOfWeek,Time
1,4,5,6,8,9,10.0,11.0,12,13,14
14692982071,WestPlanoNewks@fullbelly.com,Plano,TX,5960 West Parker Road,75093,-96.8275805,33.0446993,"['11:00', '11:00', '11:00', '11:00', '11:00', '11:00', '11:00']","['Wednesday', 'Saturday', 'Monday', 'Tuesday', 'Friday', 'Sunday', 'Thursday']","['20:00', '20:00', '20:00', '20:00', '20:00', '20:00', '20:00']"
19018200415,newks.poplar@dancoeatery.com,Memphis,TN,5336 Poplar Ave.,38119,-89.8838566,35.1078993,"['11:00', '11:00', '11:00', '11:00', '11:00', '11:00', '11:00']","['Thursday', 'Saturday', 'Sunday', 'Tuesday', 'Wednesday', 'Monday', 'Friday']","['22:00', '22:00', '22:00', '22:00', '22:00', '22:00', '22:00']"
14798566395,newks1073@gmail.com,Fayetteville,AR,637 E. Joyce Street,72703,-94.1485642,36.1232444,"['10:30', '10:30', '10:30', '10:30', '10:30', '10:30', '10:30']","['Sunday', 'Saturday', 'Friday', 'Tuesday', 'Monday', 'Wednesday', 'Thursday']","['21:00', '21:00', '21:00', '21:00', '21:00', '21:00', '21:00']"
17703516811,newksperimeter@gmail.com,Dunwoody,GA,1181 Hammond Drive,30346,-84.3413728,33.9196385,"['10:30', '10:30', '10:30', '10:30', '10:30', '10:30', '10:30']","['Friday', 'Sunday', 'Saturday', 'Monday', 'Wednesday', 'Tuesday', 'Thursday']","['20:00', '20:00', '20:00', '20:00', '20:00', '20:00', '20:00']"
13178822300,newks.greenwood@mgeatery.com,Greenwood,IN,1279 N. Emerson Avenue,46143,-86.0815676,39.6358922,"['10:30', '10:30', '10:30', '10:30', '10:30', '10:30', '10:30']","['Friday', 'Saturday', 'Sunday', 'Monday', 'Wednesday', 'Tuesday', 'Thursday']","['20:00', '20:00', '16:00', '20:00', '20:00', '20:00', '20:00']"
19413511210,newks.sarasota@realkitchenflavors.com,Bradenton,FL,5405 University Parkway,34201,-82.462954838,27.3900162823,"['11:00', '11:00', '11:00', '11:00', '11:00', '11:00', '11:00']","['Friday', 'Sunday', 'Saturday', 'Thursday', 'Wednesday', 'Monday', 'Tuesday']","['20:30', '20:30', '20:30', '20:30', '20:30', '20:30', '20:30']"
13183291922,westmonroe@fortmirofoods.com,West Monroe,LA,811 Splane Drive,71291,-92.1568517,32.5183751,"['10:30', '10:30', '10:30', '10:30', '10:30', '10:30', '10:30']","['Tuesday', 'Monday', 'Saturday', 'Sunday', 'Wednesday', 'Thursday', 'Friday']","['22:00', '22:00', '22:00', '22:00', '22:00', '22:00', '22:00']"
16016214536,newks.meridian@ckjeateries.com,Meridian,MS,103 South Frontage Rd,39301,-88.6704146,32.3646717,"['10:30', '10:30', '10:30', '10:30', '10:30', '10:30', '10:30']","['Sunday', 'Saturday', 'Friday', 'Tuesday', 'Monday', 'Wednesday', 'Thursday']","['21:00', '21:00', '21:00', '21:00', '21:00', '21:00', '21:00']"
16155506395,newks-cs@mtn1llc.com,Franklin,TN,535 Cool Springs Blvd,37067,-86.8228578,35.9472374,"['10:30', '10:30', '10:30', '10:30', '10:30', '10:30', '10:30']","['Sunday', 'Saturday', 'Friday', 'Tuesday', 'Monday', 'Wednesday', 'Thursday']","['21:00', '21:00', '21:00', '21:00', '21:00', '21:00', '21:00']"
17705421490,newkslawrenceville@gmail.com,Lawrenceville,GA,911 Duluth Hwy,30043,-84.0225332829,33.9691740103,"['11:00', '11:00', '11:00', '11:00', '11:00', '11:00', '11:00']","['Thursday', 'Saturday', 'Wednesday', 'Sunday', 'Tuesday', 'Monday', 'Friday']","['18:30', '18:30', '18:30', '18:30', '18:30', '18:30', '18:30']"
16786808817,newkstucker@gmail.com,Tucker,GA,4280 Lavista Rd,30084,-84.2442822614,33.8484215661,"['11:00', '11:00', '11:00', '11:00', '11:00', '11:00', '11:00']","['Saturday', 'Sunday', 'Friday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday']","['19:00', '19:00', '19:00', '19:00', '19:00', '19:00', '19:00']"
15016636395,newks1069@newks.com,Little Rock,AR,314 S. University Ave,72205,-92.3427216,34.7503095,"['11:00', '11:00', '11:00', '11:00', '11:00', '11:00', '11:00']","['Tuesday', 'Wednesday', 'Monday', 'Saturday', 'Sunday', 'Friday', 'Thursday']","['21:00', '21:00', '21:00', '21:00', '21:00', '21:00', '21:00']"
13182547010,ruston@fortmirofoods.com,Ruston,LA,301 S. Vienna,71270,-92.6379646,32.5263926,"['10:30', '10:30', '10:30', '10:30', '10:30', '10:30', '10:30']","['Tuesday', 'Monday', 'Saturday', 'Sunday', 'Wednesday', 'Thursday', 'Friday']","['22:00', '22:00', '22:00', '22:00', '22:00', '22:00', '22:00']"
19035094646,newkstyler@abdining.com,Tyler,TX,3985 Old Jacksonville Highway,75701,-95.3234861,32.3047471,"['11:00', '11:00', '11:00', '11:00', '11:00', '11:00', '11:00']","['Wednesday', 'Saturday', 'Monday', 'Tuesday', 'Friday', 'Sunday', 'Thursday']","['20:00', '20:00', '20:00', '20:00', '20:00', '20:00', '20:00']"
16628444450,newkstupelo@comcast.net,Tupelo,MS,3974 North Gloster,38804,-88.7063265,34.3120681,"['10:30', '10:30', '10:30', '10:30', '10:30', '10:30', '10:30']","['Sunday', 'Saturday', 'Friday', 'Tuesday', 'Monday', 'Wednesday', 'Thursday']","['21:00', '21:00', '21:00', '21:00', '21:00', '21:00', '21:00']"
13342904955,montgomery@jmhdining.com,Montgomery,AL,7880 Vaughn Road,36116,-86.180863,32.338268,"['11:00', '11:00', '11:00', '11:00', '11:00', '11:00', '11:00']","['Wednesday', 'Saturday', 'Monday', 'Tuesday', 'Friday', 'Sunday', 'Thursday']","['20:00', '20:00', '20:00', '20:00', '20:00', '20:00', '20:00']"
12546620361,newkswaco@abdining.com,Waco,TX,2716 West Loop 340,76711,-97.15538,31.496297,"['10:30', '10:30', '10:30', '10:30', '10:30', '10:30', '10:30']","['Sunday', 'Saturday', 'Friday', 'Tuesday', 'Monday', 'Wednesday', 'Thursday']","['21:00', '21:00', '21:00', '21:00', '21:00', '21:00', '21:00']"
12294059895,newksalbany@gmail.com,Albany,GA,717 N Westover Blvd,31707,-84.2236408,31.6157497,"['11:00', '11:00', '11:00', '11:00', '11:00', '11:00', '11:00']","['Tuesday', 'Wednesday', 'Monday', 'Saturday', 'Sunday', 'Friday', 'Thursday']","['21:00', '21:00', '21:00', '21:00', '21:00', '21:00', '21:00']"
19012074421,newks.highlandrow@dancoeatery.com,Memphis,TN,431 South Highland St.,38111,-89.9460808,35.1199945,"['11:00', '11:00', '11:00', '11:00', '11:00', '11:00', '11:00']","['Thursday', 'Saturday', 'Sunday', 'Tuesday', 'Wednesday', 'Monday', 'Friday']","['22:00', '22:00', '22:00', '22:00', '22:00', '22:00', '22:00']"
19013778796,newks.cordova@dancoeatery.com,Cordova,TN,2200 Germantown Parkway,38016,-89.7918784,35.1844915,"['11:00', '11:00', '11:00', '11:00', '11:00', '11:00', '11:00']","['Thursday', 'Saturday', 'Sunday', 'Tuesday', 'Wednesday', 'Monday', 'Friday']","['22:00', '22:00', '22:00', '22:00', '22:00', '22:00', '22:00']"
