RestaurantDescription,Telephone,AddressRegion,AddressRegion,AddressRegion,PostalCode,Coordinate,DayOfWeek,Time,Time,Coordinate
0,1,2,3,5,6,7.0,8,9,10,11.0
O'Neill's Brentwood Brentwood,01277 264558,Essex,Brentwood,82-84 High Street,CM14 4AP,0.299779,"['Thursday', 'Saturday', 'Sunday', 'Tuesday', 'Wednesday', 'Monday', 'Friday']","['11:00', '11:00', '11:00', '11:00', '11:00', '11:00', '11:00']","['22:00', '22:00', '22:00', '22:00', '22:00', '22:00', '22:00']",51.619663
O'Neills Southampton Southampton,023 8022 5464,Hampshire,Southampton,130-132 Above Bar Street,SO14 7DU,-1.404388,"['Friday', 'Thursday', 'Saturday', 'Sunday', 'Tuesday', 'Monday', 'Wednesday']","['12:00', '12:00', '12:00', '12:00', '12:00', '12:00', '12:00']","['22:00', '22:00', '22:00', '22:00', '22:00', '22:00', '22:00']",50.907417
O'Neill's Nottingham Nottingham,0115 941 0961,Nottinghamshire,Nottingham,8-9 Beastmarket Hill,NG1 6FB,-1.151167,"['Wednesday', 'Tuesday', 'Thursday', 'Friday', 'Saturday', 'Sunday', 'Monday']","['12:00', '12:00', '12:00', '12:00', '12:00', '12:00', '12:00']","['23:00', '23:00', '23:00', '00:00', '00:00', '23:00', '23:00']",52.953063
O'Neill's Watford Watford,01923 218413,Hertfordshire,Watford,Station Road,WD17 1ET,-0.397498,"['Friday', 'Thursday', 'Saturday', 'Sunday', 'Tuesday', 'Monday', 'Wednesday']","['12:00', '12:00', '12:00', '12:00', '12:00', '12:00', '12:00']","['22:00', '22:00', '22:00', '22:00', '22:00', '22:00', '22:00']",51.66394
O'Neill's Harrow Harrow,020 8863 2872,Greater London,Harrow,335-339 Station Road,HA1 2AA,-0.334184,"['Wednesday', 'Tuesday', 'Thursday', 'Friday', 'Saturday', 'Sunday', 'Monday']","['12:00', '12:00', '12:00', '12:00', '12:00', '12:00', '12:00']","['23:00', '23:00', '23:00', '00:00', '00:00', '23:00', '23:00']",51.580555
O'Neill's Worcester Worcester,01905 21373,Worcestershire,Worcester,6-8 St. Nicholas Street,WR1 1UW,-2.220291,"['Thursday', 'Sunday', 'Tuesday', 'Monday', 'Wednesday', 'Friday', 'Saturday']","['12:00', '12:00', '12:00', '12:00', '12:00', '12:00', '12:00']","['22:00', '22:00', '22:00', '22:00', '22:00', '23:00', '23:00']",52.193761
O'Neill's Ilford Ilford,020 8514 6343,Greater London,London,"Station Road, Ilford",IG1 4DW,0.070776,"['Friday', 'Thursday', 'Saturday', 'Sunday', 'Tuesday', 'Monday', 'Wednesday']","['12:00', '12:00', '12:00', '12:00', '12:00', '12:00', '12:00']","['22:00', '22:00', '22:00', '22:00', '22:00', '22:00', '22:00']",51.558863
O’Neill’s Enfield Enfield,020 8363 3508,Greater London,Enfield,5 The Town,EN2 6LE,-0.081475,"['Friday', 'Thursday', 'Saturday', 'Sunday', 'Tuesday', 'Monday', 'Wednesday']","['12:00', '12:00', '12:00', '12:00', '12:00', '12:00', '12:00']","['22:00', '22:00', '22:00', '22:00', '22:00', '22:00', '22:00']",51.651963
O'Neill's St Mary Street Cardiff,029 2066 4103,South Glamorgan,Cardiff,85-87 St Mary Street,CF10 1DW,-3.178037,"['Wednesday', 'Tuesday', 'Friday', 'Saturday', 'Thursday', 'Sunday', 'Monday']","['12:00', '12:00', '12:00', '12:00', '12:00', '12:00', '12:00']","['23:00', '23:00', '02:00', '02:00', '23:00', '23:00', '23:00']",51.477841
