RestaurantDescription,Telephone,RestaurantDescription,RestaurantDescription,AddressRegion,AddressRegion,AddressRegion,PostalCode,Time,Review
0,1,2,3,4,5,6,7,9,11.0
Restaurant Indian Flavours,069 700756,indian,Tisch reservieren - Restaurant Restaurant Indian Flavours in Frankfurt am Main,Frankfurt am Main,Robert-Mayer-Straße 17,Hessen,60486,5,4.2
Restaurant Bahadur,030 22474610,greek,Tisch reservieren - Restaurant Restaurant Bahadur in Berlin,Berlin,Sigmaringer Straße 36,Berlin,10713,5,4.6
Restaurant Am Schiefersee,07427 9472903,kebab,Tisch reservieren - Restaurant Restaurant Am Schiefersee in Dormettingen,Dormettingen,Schiefererlebnis 1,Baden-Württemberg,72358,5,4.2
Chi Chi Thai,069 15347422,thai,Tisch reservieren - Restaurant Chi Chi Thai in Frankfurt am Main,Frankfurt am Main,Berger Straße 10,Hessen,60316,5,4.3
Thai Eck,069 94947997,thai,Tisch reservieren - Restaurant Thai Eck in Frankfurt am Main,Frankfurt am Main,Sandweg 80,Hessen,60316,5,4.7
Sto Steki,030 67796459,greek,Tisch reservieren - Restaurant Sto Steki in Berlin,Berlin,Hasenheide 18,Berlin,10967,5,4.2
Yam Yam Döner,069 98956702,indian,Tisch reservieren - Restaurant Yam Yam Döner in Frankfurt am Main,Frankfurt am Main,Holzgraben 11,Hessen,60313,5,4.5
China town restaurant,069 71910288,chinese,Tisch reservieren - Restaurant China town restaurant in Frankfurt am Main,Frankfurt am Main,Oeserstraße 219,Hessen,60486,4,4.7
Grill Merksem Pizzeria,02825 100054,pizza,Tisch reservieren - Restaurant Grill Merksem Pizzeria in Uedem,Uedem,Markt 3,Nordrhein-Westfalen,47589,5,4.0
Koryano,069 94549270,asian,Tisch reservieren - Restaurant Koryano in Frankfurt am Main,Frankfurt am Main,Maybachstraße 12,Hessen,60433,5,4.2
Reishut Restaurant,069 69868862,chinese,Tisch reservieren - Restaurant Reishut Restaurant in Frankfurt am Main,Frankfurt am Main,Ottostraße 17,Hessen,60329,5,4.1
Mr.Yu,069 79126988,thai,Tisch reservieren - Restaurant Mr.Yu in Frankfurt am Main,Frankfurt am Main,August-Schanz-Straße 29,Hessen,60433,5,3.4
Taste of India,01521 5163778,indian,Tisch reservieren - Restaurant Taste of India in Frankfurt am Main,Frankfurt am Main,Berger Straße 14,Hessen,60316,5,4.1
Sushi KTV,069 40159570,sushi,Tisch reservieren - Restaurant Sushi KTV in Frankfurt am Main,Frankfurt am Main,Schmidtstraße 12,Hessen,60326,1,2.0
eat happy to go,069 46998383,sushi,Tisch reservieren - Restaurant eat happy to go in Frankfurt am Main,Frankfurt am Main,Eschersheimer Landstraße 221,Hessen,60320,5,3.2
Africa Queen Restaurant,069 24248505,sushi,Tisch reservieren - Restaurant Africa Queen Restaurant in Frankfurt am Main,Frankfurt am Main,Stuttgarter Straße 21,Hessen,60329,5,4.7
Manufactum brot&butter,069 976931360,sushi,Tisch reservieren - Restaurant Manufactum brot&butter in Frankfurt am Main,Frankfurt am Main,Bockenheimer Anlage 49-50,Hessen,60322,5,3.8
Pizzeria Mina,02825 1778,italian,Tisch reservieren - Restaurant Pizzeria Mina in Uedem,Uedem,Mosterstraße 12,Nordrhein-Westfalen,47589,5,3.9
Ha. ! - Ka. ?,069 4930096,sushi,Tisch reservieren - Restaurant Ha. ! - Ka. ? in Frankfurt am Main,Frankfurt am Main,Habsburgerallee 21,Hessen,60385,5,4.6
Chá Dào – China Tea & Art,069 83047126,chinese,Tisch reservieren - Restaurant Chá Dào – China Tea & Art in Frankfurt am Main,Frankfurt am Main,Friedrichstraße 10,Hessen,60323,5,4.9
Tibet Ama Kitchen,01517 1461893,sushi,Tisch reservieren - Restaurant Tibet Ama Kitchen in Frankfurt am Main,Frankfurt am Main,Wiesenstraße 52,Hessen,60385,5,4.7
Stavros Grill & More,030 22666624,greek,Tisch reservieren - Restaurant Stavros Grill & More in Berlin,Berlin,Kantstraße 132,Berlin,10625,5,4.7
Maifresh,069 67736999,asian,Tisch reservieren - Restaurant Maifresh in Frankfurt am Main,Frankfurt am Main,Bruchfeldstraße 56,Hessen,60528,5,4.6
Ba Quê,0162 6888444,greek,Tisch reservieren - Restaurant Ba Quê in Berlin,Berlin,Rotherstraße 27,Berlin,10245,5,3.9
Hasan Kahraman,02825 5398272,pizza,Tisch reservieren - Restaurant Hasan Kahraman in Uedem,Uedem,Markt 3,Nordrhein-Westfalen,47589,5,3.9
Matsuri Restaurant,069 71678710,japanese,Tisch reservieren - Restaurant Matsuri Restaurant in Frankfurt am Main,Frankfurt am Main,Ulmenstraße 1,Hessen,60325,5,4.6
Restaurant Syrtaki,030 47485977,greek,Tisch reservieren - Restaurant Restaurant Syrtaki in Berlin,Berlin,Alt-Blankenburg 22,Berlin,13129,5,4.4
My Thai Airport,069 69538840,thai,Tisch reservieren - Restaurant My Thai Airport in Frankfurt am Main,Frankfurt am Main,Flughafen Frankfurt am Main 640-644,Hessen,60549,5,4.5
