positive,negative,occurrences,attr_name,type,importance,negative_perc,positive_perc
10,1,11,Product Name,TITLE,9,0.09090909090909091,0.9090909090909091
5,2,7,Seller,NAME,2.0,0.2857142857142857,0.7142857142857143
154,172,326,Other,TITLE,0,0.5276073619631901,0.4723926380368098
25,5,30,Price,PRICE,2.0,0.16666666666666666,0.8333333333333334
1,0,1,Min,TITLE,0,0.0,1.0
18,5,23,Description,PROSE,1.5,0.21739130434782608,0.782608695652174
31,3,34,Rating,RATING,3.0,0.08823529411764706,0.9117647058823529
1,0,1,Color,TITLE,0,0.0,1.0
4,0,4,Product Category,TITLE,6,0.0,1.0
3,0,3,Article Content,PROSE,2,0.0,1.0
1,0,1,Publication Date,DATE,4.5,0.0,1.0
14,0,14,Name,TITLE,9.0,0.0,1.0
12,11,23,Additional informations,TITLE,0,0.4782608695652174,0.5217391304347826
8,2,10,Check in hours,TITLE,0,0.2,0.8
4,0,4,other,TITLE,0,0.0,1.0
1,0,1,Size,TITLE,0,0.0,1.0
7,0,7,Address,TITLE,4,0.0,1.0
16,1,17,Location,TITLE,5.5,0.058823529411764705,0.9411764705882353
3,1,4,Labels/actions,TITLE,0,0.25,0.75
1,0,1,Annotations in webpage,TITLE,0,0.0,1.0
3,0,3,Annotation in webpage,TITLE,0,0.0,1.0
4,0,4,Phone Number,NUMERIC,0,0.0,1.0
1,0,1,Unknown,TITLE,0,0.0,1.0
1,0,1,Galleria fotografica,TITLE,0,0.0,1.0
1,1,2,Labels or actions,TITLE,0,0.5,0.5
9,0,9,Advertisement title,TITLE,4,0.0,1.0
1,0,1,Number of photos,TITLE,0,0.0,1.0
1,0,1,Number of floors,TITLE,0,0.0,1.0
7,0,7,Broker,NAME,2,0.0,1.0
1,0,1,Recensioni,TITLE,0,0.0,1.0
5,0,5,City,NAME,6,0.0,1.0
6,0,6,Surface,NUMERIC,3,0.0,1.0
0,1,1,Codice di riferimento,TITLE,0,1.0,0.0
2,1,3,Energy Class,DISCRETE,2,0.3333333333333333,0.6666666666666666
1,0,1,Contact,TITLE,0,0.0,1.0
1,0,1,Number of Photos,TITLE,0,0.0,1.0
1,1,2,Additional information,TITLE,0,0.5,0.5
1,0,1,Opening hours,TITLE,0,0.0,1.0
1,0,1,ID,TITLE,0,0.0,1.0
2,0,2,Year of construction,YEAR,5,0.0,1.0
3,0,3,Number of rooms,NUMERIC,2,0.0,1.0
0,1,1,Bathrooms,TITLE,2,1.0,0.0
1,0,1,Number of balconies,TITLE,0,0.0,1.0
0,1,1,Ratings,TITLE,0,1.0,0.0
1,0,1,tripadvisor,TITLE,0,0.0,1.0
0,1,1,additional information,TITLE,0,1.0,0.0
1,0,1,Number of 3 stars reviews,TITLE,0,0.0,1.0
0,1,1,Date,TITLE,0,1.0,0.0
9,0,9,Book Title,TITLE,9,0.0,1.0
0,1,1,Letteratura nordamericana,TITLE,0,1.0,0.0
3,1,4,Pages,NUMERIC,2,0.25,0.75
6,0,6,Book Description,PROSE,2,0.0,1.0
2,2,4,Date of publication,YEAR,4,0.5,0.5
2,0,2,Author,NAME,4.5,0.0,1.0
3,1,4,Publisher,TITLE,0,0.25,0.75
1,0,1,Points,TITLE,0,0.0,1.0
3,3,6,Code/ID,NUMERIC,2,0.5,0.5
2,0,2,Team,NAME,6,0.0,1.0
3,5,8,Height,NUMERIC,3,0.625,0.375
3,0,3,Date of birth,DATE,6,0.0,1.0
6,0,6,Player Name,NAME,9,0.0,1.0
2,0,2,Value,PRICE,2,0.0,1.0
2,0,2,Role,NAME,5.5,0.0,1.0
2,0,2,Weight,TITLE,0,0.0,1.0
1,1,2,Additional Information,PROSE,2,0.5,0.5
1,0,1,Book Category,TITLE,0,0.0,1.0
1,0,1,Argomenti,TITLE,0,0.0,1.0
1,0,1,Country,TITLE,0,0.0,1.0
