positive,negative,occurrences,attr_name,type,importance,negative_perc,positive_perc
16,12,28,Product Name,TITLE,9,0.42857142857142855,0.5714285714285714
6,4,10,Seller,NAME,2.0,0.4,0.6
48,35,83,Price,PRICE,2.0,0.42168674698795183,0.5783132530120482
1,0,1,Min,TITLE,0,0.0,1.0
28,16,44,Description,PROSE,1.5,0.36363636363636365,0.6363636363636364
49,19,68,Rating,RATING,3.0,0.27941176470588236,0.7205882352941176
1,0,1,Color,TITLE,0,0.0,1.0
4,0,4,Product Category,TITLE,6,0.0,1.0
7,0,7,Article Content,PROSE,2,0.0,1.0
1,0,1,Publication Date,DATE,4.5,0.0,1.0
26,15,41,Name,TITLE,9.0,0.36585365853658536,0.6341463414634146
26,32,58,Additional informations,TITLE,0,0.5517241379310345,0.4482758620689655
8,3,11,Check in hours,TITLE,0,0.2727272727272727,0.7272727272727273
4,0,4,other,TITLE,0,0.0,1.0
2,0,2,Size,TITLE,0,0.0,1.0
9,1,10,Address,TITLE,4,0.1,0.9
27,3,30,Location,TITLE,5.5,0.1,0.9
3,1,4,Labels/actions,TITLE,0,0.25,0.75
1,0,1,Annotations in webpage,TITLE,0,0.0,1.0
6,1,7,Annotation in webpage,TITLE,0,0.14285714285714285,0.8571428571428571
6,0,6,Phone Number,NUMERIC,0,0.0,1.0
1,0,1,Unknown,TITLE,0,0.0,1.0
1,0,1,Galleria fotografica,TITLE,0,0.0,1.0
2,1,3,Labels or actions,TITLE,0,0.3333333333333333,0.6666666666666666
23,10,33,Advertisement title,TITLE,4,0.30303030303030304,0.696969696969697
1,0,1,Number of photos,TITLE,0,0.0,1.0
6,1,7,Other,TITLE,0,0.14285714285714285,0.8571428571428571
1,0,1,Number of floors,TITLE,0,0.0,1.0
10,1,11,Broker,NAME,2,0.09090909090909091,0.9090909090909091
1,0,1,Recensioni,TITLE,0,0.0,1.0
8,0,8,City,NAME,6,0.0,1.0
6,2,8,Surface,NUMERIC,3,0.25,0.75
0,1,1,Codice di riferimento,TITLE,0,1.0,0.0
4,4,8,Energy Class,DISCRETE,2,0.5,0.5
1,0,1,Contact,TITLE,0,0.0,1.0
1,0,1,Number of Photos,TITLE,0,0.0,1.0
1,1,2,Additional information,TITLE,0,0.5,0.5
1,0,1,Opening hours,TITLE,0,0.0,1.0
1,0,1,ID,TITLE,0,0.0,1.0
2,0,2,Year of construction,YEAR,5,0.0,1.0
3,2,5,Number of rooms,NUMERIC,2,0.4,0.6
0,1,1,Bathrooms,TITLE,2,1.0,0.0
1,0,1,Number of balconies,TITLE,0,0.0,1.0
0,1,1,Ratings,TITLE,0,1.0,0.0
1,0,1,tripadvisor,TITLE,0,0.0,1.0
0,1,1,additional information,TITLE,0,1.0,0.0
1,0,1,Number of 3 stars reviews,TITLE,0,0.0,1.0
0,1,1,Date,TITLE,0,1.0,0.0
11,15,26,Book Title,TITLE,9,0.5769230769230769,0.4230769230769231
11,3,14,Author,NAME,4.5,0.21428571428571427,0.7857142857142857
0,1,1,Letteratura nordamericana,TITLE,0,1.0,0.0
4,3,7,Pages,NUMERIC,2,0.42857142857142855,0.5714285714285714
7,1,8,Book Description,PROSE,2,0.125,0.875
3,2,5,Date of publication,YEAR,4,0.4,0.6
3,2,5,Publisher,TITLE,0,0.4,0.6
1,0,1,Points,TITLE,0,0.0,1.0
6,6,12,Code/ID,NUMERIC,2,0.5,0.5
2,0,2,Team,NAME,6,0.0,1.0
16,1,17,Player Name,NAME,9,0.058823529411764705,0.9411764705882353
3,8,11,Height,NUMERIC,3,0.7272727272727273,0.2727272727272727
3,0,3,Date of birth,DATE,6,0.0,1.0
3,2,5,Value,PRICE,2,0.4,0.6
2,0,2,Role,NAME,5.5,0.0,1.0
2,0,2,Weight,TITLE,0,0.0,1.0
2,1,3,Additional Information,PROSE,2,0.3333333333333333,0.6666666666666666
1,0,1,Book Category,TITLE,0,0.0,1.0
1,0,1,Argomenti,TITLE,0,0.0,1.0
1,0,1,Country,TITLE,0,0.0,1.0
