positive,negative,occurrences,attr_name,type,importance,negative_perc,positive_perc
22,3,25,product name,TITLE,0,0.12,0.88
46,11,57,description,TITLE,0,0.19298245614035087,0.8070175438596491
6,1,7,seller,TITLE,0,0.14285714285714285,0.8571428571428571
1,0,1,age_group,TITLE,0,0.0,1.0
60,5,65,price,TITLE,0,0.07692307692307693,0.9230769230769231
41,26,67,rating,TITLE,0,0.3880597014925373,0.6119402985074627
3,3,6,product category,TITLE,0,0.5,0.5
4,3,7,Article Content,PROSE,2,0.42857142857142855,0.5714285714285714
1,0,1,Publication Date,DATE,4.5,0.0,1.0
17,0,17,hotel name,TITLE,0,0.0,1.0
9,4,13,check-in hours,TITLE,0,0.3076923076923077,0.6923076923076923
12,1,13,address,TITLE,0,0.07692307692307693,0.9230769230769231
7,12,19,additional information,TITLE,0,0.631578947368421,0.3684210526315789
1,0,1,Check-in hours,TIME,2,0.0,1.0
1,0,1,size,TITLE,0,0.0,1.0
4,1,5,name,TITLE,0,0.2,0.8
30,0,30,location,TITLE,0,0.0,1.0
4,0,4,restaurant name,TITLE,0,0.0,1.0
1,0,1,annotation in webpage,TITLE,0,0.0,1.0
2,3,5,labels/actions,TITLE,0,0.6,0.4
1,0,1,Additional informations,TITLE,0,0.0,1.0
1,0,1,opening times,TITLE,0,0.0,1.0
16,2,18,other,TITLE,0,0.1111111111111111,0.8888888888888888
5,0,5,phone number,TITLE,0,0.0,1.0
2,0,2,website,TITLE,0,0.0,1.0
15,9,24,additional informations,TITLE,0,0.375,0.625
1,0,1,number of reviews,TITLE,0,0.0,1.0
2,3,5,additional  information,TITLE,0,0.6,0.4
1,2,3,labels or actions,TITLE,0,0.6666666666666666,0.3333333333333333
9,1,10,city,TITLE,0,0.1,0.9
18,2,20,advertisement title,TITLE,0,0.1,0.9
2,0,2,number of photos,TITLE,0,0.0,1.0
1,5,6,Number of rooms,NUMERIC,2,0.8333333333333334,0.16666666666666666
2,0,2,number of floors,TITLE,0,0.0,1.0
2,0,2,broker name,TITLE,0,0.0,1.0
7,0,7,broker,TITLE,0,0.0,1.0
0,1,1,duo,TITLE,0,1.0,0.0
1,0,1,reviews count,TITLE,0,0.0,1.0
0,1,1,reservation availability,TITLE,0,1.0,0.0
1,0,1,actions,TITLE,0,0.0,1.0
1,0,1,guest ratings,TITLE,0,0.0,1.0
1,0,1,City,NAME,6,0.0,1.0
5,1,6,surface,TITLE,0,0.16666666666666666,0.8333333333333334
2,5,7,Energy Class,DISCRETE,2,0.7142857142857143,0.2857142857142857
3,2,5,Unknown,TITLE,0,0.4,0.6
1,0,1,price range,TITLE,0,0.0,1.0
1,0,1,distance from landmarks,TITLE,0,0.0,1.0
1,0,1,distance,TITLE,0,0.0,1.0
1,0,1,Location,TITLE,5.5,0.0,1.0
1,0,1,Condition,TITLE,0,0.0,1.0
2,2,4,Heating system,DISCRETE,2,0.5,0.5
3,4,7,number of rooms,TITLE,0,0.5714285714285714,0.42857142857142855
1,0,1,Surface,NUMERIC,3,0.0,1.0
1,0,1,distance from schools,TITLE,0,0.0,1.0
1,0,1,Year of construction,YEAR,5,0.0,1.0
1,1,2,Broker,NAME,2,0.5,0.5
1,0,1,energy class,TITLE,0,0.0,1.0
1,0,1,broker email,TITLE,0,0.0,1.0
0,1,1,Advertisement title,TITLE,4,1.0,0.0
3,1,4,Price,PRICE,2.0,0.25,0.75
1,0,1,benefits,TITLE,0,0.0,1.0
1,0,1,Product Category,TITLE,6,0.0,1.0
0,1,1,Description,PROSE,1.5,1.0,0.0
23,2,25,book title,TITLE,0,0.08,0.92
15,0,15,author,TITLE,0,0.0,1.0
4,1,5,book description,TITLE,0,0.2,0.8
8,0,8,category,TITLE,0,0.0,1.0
7,4,11,pages,TITLE,0,0.36363636363636365,0.6363636363636364
0,1,1,code/ID,TITLE,0,1.0,0.0
1,0,1,editors,TITLE,0,0.0,1.0
0,1,1,confidence,TITLE,0,1.0,0.0
2,0,2,Editor,NAME,5,0.0,1.0
4,0,4,date of publication,TITLE,0,0.0,1.0
1,2,3,code/id,TITLE,0,0.6666666666666666,0.3333333333333333
4,1,5,Code/ID,NUMERIC,2,0.2,0.8
2,0,2,team,TITLE,0,0.0,1.0
15,1,16,player name,TITLE,0,0.0625,0.9375
1,0,1,Value,PRICE,2,0.0,1.0
3,0,3,date of birth,TITLE,0,0.0,1.0
3,2,5,height,TITLE,0,0.4,0.6
1,5,6,Additional Information,PROSE,2,0.8333333333333334,0.16666666666666666
2,0,2,Role,NAME,5.5,0.0,1.0
2,0,2,weight,TITLE,0,0.0,1.0
1,1,2,value,TITLE,0,0.5,0.5
2,0,2,Player Name,NAME,9,0.0,1.0
1,0,1,Author,NAME,4.5,0.0,1.0
1,0,1,Book Title,TITLE,9,0.0,1.0
1,0,1,publisher,TITLE,0,0.0,1.0
2,0,2,editor,TITLE,0,0.0,1.0
1,0,1,Other,TITLE,0,0.0,1.0
1,0,1,dimensions,TITLE,0,0.0,1.0
