a,p,r,f1,tp,tn,fp,fn,datasetName,output_columns,numeric_columns,rows,has_ontology,shots,fusion,case,ontology
0.75,0.7777777777777778,0.9545454545454546,0.8571428571428572,21,0,6,1,alibaba_1,28,0,25,False,1,False,case1,eshopping
0.625,1.0,0.5714285714285714,0.7272727272727273,4,1,0,3,ansa_1,8,0,80,False,1,False,case1,finance
0.8666666666666667,1.0,0.8333333333333334,0.9090909090909091,10,3,0,2,bestwestern_1,15,1,38,False,1,False,case1,hotels
0.5263157894736842,0.8181818181818182,0.5625,0.6666666666666666,9,1,2,7,decathlon_1,19,1,32,False,1,False,case1,eshopping
0.6666666666666666,0.8125,0.6842105263157895,0.742857142857143,13,5,3,6,happycow_1,27,3,30,False,1,False,case1,restaurants
0.8571428571428571,1.0,0.8571428571428571,0.923076923076923,6,0,0,1,hotel_de_1,7,0,31,False,1,False,case1,hotels
0.9444444444444444,1.0,0.9411764705882353,0.9696969696969697,16,1,0,1,hotels_com_1,18,0,34,False,1,False,case1,hotels
0.8421052631578947,0.8888888888888888,0.9411764705882353,0.9142857142857143,16,0,2,1,immobiliare_it_1,19,0,31,False,1,False,case1,realestate
0.6923076923076923,1.0,0.6666666666666666,0.8,8,1,0,4,lastminute_1,13,1,38,False,1,False,case1,hotels
0.6666666666666666,0.75,0.8571428571428571,0.7999999999999999,6,0,2,1,michelin_1,9,1,49,False,1,False,case1,restaurants
0.7916666666666666,0.9,0.8571428571428571,0.8780487804878048,18,1,2,3,opentable_1,24,7,35,False,1,False,case1,restaurants
0.9,1.0,0.8888888888888888,0.9411764705882353,16,2,0,2,priceline_1,20,3,32,False,1,False,case1,hotels
0.6666666666666666,0.9,0.6923076923076923,0.7826086956521738,9,1,1,4,remax_1,15,0,28,False,1,False,case1,realestate
0.6666666666666666,0.6666666666666666,0.9473684210526315,0.782608695652174,18,2,9,1,restaurantguru_1,30,4,35,False,1,False,case1,restaurants
0.8181818181818182,0.9,0.9,0.9,18,0,2,2,skyscanner_1,22,2,26,False,1,False,case1,hotels
0.7142857142857143,0.7692307692307693,0.7692307692307693,0.7692307692307693,10,5,3,3,subito_1,21,1,39,False,1,False,case1,realestate
1.0,1.0,1.0,1.0,4,2,0,0,target_com_1,6,0,32,False,1,False,case1,eshopping
0.8181818181818182,0.8421052631578947,0.9411764705882353,0.8888888888888888,16,2,3,1,tecnocasa_1,22,6,29,False,1,False,case1,realestate
0.6774193548387096,0.8571428571428571,0.72,0.782608695652174,18,3,3,7,toscano_1,31,7,34,False,1,False,case1,realestate
0.6727272727272727,0.6136363636363636,0.9642857142857143,0.75,27,10,17,1,tripadvisor_1,55,19,30,False,1,False,case1,hotels
0.9411764705882353,1.0,0.9333333333333333,0.9655172413793104,14,2,0,1,unicredit_1,17,1,36,False,1,False,case1,realestate
0.6923076923076923,0.7837837837837838,0.7837837837837838,0.7837837837837838,29,7,8,8,walmart_1,52,7,39,False,1,False,case1,eshopping
1.0,1.0,1.0,1.0,4,0,0,0,zalando_1,4,0,35,False,1,False,case1,eshopping
0.7307692307692307,0.9,0.782608695652174,0.8372093023255814,18,1,2,5,adelphi_1,26,0,35,False,1,False,case1,books
0.6129032258064516,0.8095238095238095,0.68,0.7391304347826089,17,2,4,8,mondadori_1,31,4,39,False,1,False,case1,books
1.0,1.0,1.0,1.0,6,1,0,0,premier_1,7,1,31,False,1,False,case1,footballplayers
1.0,1.0,1.0,1.0,1,0,0,0,transfermarkt_1,1,0,31,False,1,False,case1,footballplayers
0.48,0.4666666666666667,0.5833333333333334,0.5185185185185186,7,5,8,5,bundesliga_1,25,9,34,False,1,False,case1,footballplayers
0.7391304347826086,0.8421052631578947,0.8421052631578947,0.8421052631578947,16,1,3,3,feltrinelli_1,23,3,29,False,1,False,case1,books
0.6176470588235294,0.85,0.6296296296296297,0.723404255319149,17,4,3,10,giunti_1,34,2,33,False,1,False,case1,books
0.8,1.0,0.7777777777777778,0.8750000000000001,7,1,0,2,hoepli_1,10,1,29,False,1,False,case1,books
0.6153846153846154,0.625,0.7142857142857143,0.6666666666666666,5,3,3,2,laliga_1,13,5,28,False,1,False,case1,footballplayers
