a,p,r,f1,tp,tn,fp,fn,datasetName,output_columns,numeric_columns,rows,has_ontology,shots,fusion,case,ontology
0.5357142857142857,0.8461538461538461,0.5,0.6285714285714286,11,4,2,11,alibaba_1,28,0,25,True,1,True,case3bis,eshopping
0.5,1.0,0.5,0.6666666666666666,4,0,0,4,ansa_1,8,0,80,True,1,True,case3bis,finance
0.6666666666666666,0.75,0.8181818181818182,0.7826086956521738,9,1,3,2,bestwestern_1,15,1,37,True,1,True,case3bis,hotels
0.631578947368421,1.0,0.6111111111111112,0.7586206896551725,11,1,0,7,decathlon_1,19,1,31,True,1,True,case3bis,eshopping
0.5925925925925926,1.0,0.45,0.6206896551724138,9,7,0,11,happycow_1,27,3,30,True,1,True,case3bis,restaurants
0.7142857142857143,0.8333333333333334,0.8333333333333334,0.8333333333333334,5,0,1,1,hotel_de_1,7,0,30,True,1,True,case3bis,hotels
0.6666666666666666,0.8571428571428571,0.5454545454545454,0.6666666666666665,6,6,1,5,hotels_com_1,18,0,34,True,1,True,case3bis,hotels
0.42105263157894735,1.0,0.42105263157894735,0.5925925925925926,8,0,0,11,immobiliare_it_1,19,0,30,True,1,True,case3bis,realestate
0.8461538461538461,0.9166666666666666,0.9166666666666666,0.9166666666666666,11,0,1,1,lastminute_1,13,1,37,True,1,True,case3bis,hotels
0.6666666666666666,0.8,0.6666666666666666,0.7272727272727272,4,2,1,2,michelin_1,9,1,48,True,1,True,case3bis,restaurants
0.4583333333333333,0.9090909090909091,0.45454545454545453,0.6060606060606061,10,1,1,12,opentable_1,24,7,35,True,1,True,case3bis,restaurants
0.4,0.75,0.375,0.5,6,2,2,10,priceline_1,20,3,31,True,1,True,case3bis,hotels
0.4666666666666667,0.875,0.5,0.6363636363636364,7,0,1,7,remax_1,15,0,28,True,1,True,case3bis,realestate
0.7333333333333333,0.75,0.75,0.75,12,10,4,4,restaurantguru_1,30,4,34,True,1,True,case3bis,restaurants
0.45454545454545453,0.5,0.5,0.5,6,4,6,6,skyscanner_1,22,2,25,True,1,True,case3bis,hotels
0.7619047619047619,1.0,0.7058823529411765,0.8275862068965517,12,4,0,5,subito_1,21,1,38,True,1,True,case3bis,realestate
1.0,1.0,1.0,1.0,5,1,0,0,target_com_1,6,0,31,True,1,True,case3bis,eshopping
0.5454545454545454,0.9,0.5,0.6428571428571429,9,3,1,9,tecnocasa_1,22,6,28,True,1,True,case3bis,realestate
0.5806451612903226,0.8333333333333334,0.47619047619047616,0.6060606060606061,10,8,2,11,toscano_1,31,7,33,True,1,True,case3bis,realestate
0.7272727272727273,0.8095238095238095,0.6071428571428571,0.6938775510204083,17,23,4,11,tripadvisor_1,55,19,29,True,1,True,case3bis,hotels
0.8235294117647058,0.9,0.8181818181818182,0.8571428571428572,9,5,1,2,unicredit_1,17,1,35,True,1,True,case3bis,realestate
0.9038461538461539,0.8571428571428571,0.9,0.8780487804878048,18,29,3,2,walmart_1,52,7,38,True,1,True,case3bis,eshopping
0.75,1.0,0.75,0.8571428571428571,3,0,0,1,zalando_1,4,0,35,True,1,True,case3bis,eshopping
0.6923076923076923,0.8571428571428571,0.46153846153846156,0.6,6,12,1,7,adelphi_1,26,0,35,True,1,True,case3bis,books
0.7096774193548387,0.7692307692307693,0.625,0.6896551724137931,10,12,3,6,mondadori_1,31,4,38,True,1,True,case3bis,books
0.5714285714285714,0.8,0.6666666666666666,0.7272727272727272,4,0,1,2,premier_1,7,1,30,True,1,True,case3bis,footballplayers
1.0,1.0,1.0,1.0,1,0,0,0,transfermarkt_1,1,0,30,True,1,True,case3bis,footballplayers
0.52,0.75,0.5,0.6,9,4,3,9,bundesliga_1,25,9,34,True,1,True,case3bis,footballplayers
0.5217391304347826,0.9090909090909091,0.5,0.6451612903225806,10,2,1,10,feltrinelli_1,23,3,28,True,1,True,case3bis,books
0.7941176470588235,1.0,0.6111111111111112,0.7586206896551725,11,16,0,7,giunti_1,34,2,32,True,1,True,case3bis,books
0.8,1.0,0.8,0.888888888888889,8,0,0,2,hoepli_1,10,1,28,True,1,True,case3bis,books
0.6923076923076923,0.7777777777777778,0.7777777777777778,0.7777777777777778,7,2,2,2,laliga_1,13,5,28,True,1,True,case3bis,footballplayers
