a,p,r,f1,tp,tn,fp,fn,datasetName,output_columns,numeric_columns,rows,has_ontology,shots,fusion,case,ontology
0.8928571428571429,0.8928571428571429,1.0,0.9433962264150945,25,0,3,0,alibaba_1,28,0,25,True,5,False,case4c,eshopping
0.625,1.0,0.625,0.7692307692307693,5,0,0,3,ansa_1,8,0,80,True,5,False,case4c,finance
0.7333333333333333,0.7333333333333333,1.0,0.846153846153846,11,0,4,0,bestwestern_1,15,1,37,True,5,False,case4c,hotels
0.7368421052631579,0.8235294117647058,0.875,0.8484848484848485,14,0,3,2,decathlon_1,19,1,31,True,5,False,case4c,eshopping
0.8148148148148148,0.7727272727272727,1.0,0.8717948717948718,17,5,5,0,happycow_1,27,3,30,True,5,False,case4c,restaurants
0.7142857142857143,0.7142857142857143,1.0,0.8333333333333333,5,0,2,0,hotel_de_1,7,0,30,True,5,False,case4c,hotels
0.7222222222222222,0.8125,0.8666666666666667,0.8387096774193549,13,0,3,2,hotels_com_1,18,0,34,True,5,False,case4c,hotels
0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,18,0,1,0,immobiliare_it_1,19,0,30,True,5,False,case4c,realestate
0.9230769230769231,0.9230769230769231,1.0,0.9600000000000001,12,0,1,0,lastminute_1,13,1,37,True,5,False,case4c,hotels
0.6666666666666666,0.75,0.8571428571428571,0.7999999999999999,6,0,2,1,michelin_1,9,1,48,True,5,False,case4c,restaurants
0.7916666666666666,0.8181818181818182,0.9473684210526315,0.8780487804878049,18,1,4,1,opentable_1,24,7,35,True,5,False,case4c,restaurants
0.85,0.85,1.0,0.9189189189189189,17,0,3,0,priceline_1,20,3,31,True,5,False,case4c,hotels
1.0,1.0,1.0,1.0,13,2,0,0,remax_1,15,0,28,True,5,False,case4c,realestate
0.631578947368421,0.8333333333333334,0.6666666666666666,0.7407407407407408,10,2,2,5,restaurantguru_1,19,4,35,True,5,False,case4c,restaurants
0.6363636363636364,0.6190476190476191,1.0,0.7647058823529412,13,1,8,0,skyscanner_1,22,2,25,True,5,False,case4c,hotels
0.6666666666666666,0.7777777777777778,0.8235294117647058,0.7999999999999999,14,0,4,3,subito_1,21,1,38,True,5,False,case4c,realestate
1.0,1.0,1.0,1.0,9,1,0,0,target_com_1,10,1,32,True,5,False,case4c,eshopping
0.7727272727272727,0.9444444444444444,0.8095238095238095,0.8717948717948718,17,0,1,4,tecnocasa_1,22,6,28,True,5,False,case4c,realestate
0.7096774193548387,0.8148148148148148,0.8461538461538461,0.830188679245283,22,0,5,4,toscano_1,31,7,33,True,5,False,case4c,realestate
0.5,0.5,1.0,0.6666666666666666,20,0,20,0,tripadvisor_1,40,19,31,True,5,False,case4c,hotels
0.8235294117647058,0.8125,1.0,0.896551724137931,13,1,3,0,unicredit_1,17,1,35,True,5,False,case4c,realestate
0.6153846153846154,0.6428571428571429,0.84375,0.7297297297297298,27,5,15,5,walmart_1,52,7,39,True,5,False,case4c,eshopping
0.5,1.0,0.5,0.6666666666666666,2,0,0,2,zalando_1,4,0,35,True,5,False,case4c,eshopping
0.46153846153846156,0.5,0.8571428571428571,0.631578947368421,12,0,12,2,adelphi_1,26,0,35,True,5,False,case4c,books
0.84375,0.9629629629629629,0.8666666666666667,0.912280701754386,26,1,1,4,mondadori_1,32,4,39,True,5,False,case4c,books
1.0,1.0,1.0,1.0,7,0,0,0,premier_1,7,1,30,True,5,False,case4c,footballplayers
1.0,1.0,1.0,1.0,1,0,0,0,transfermarkt_1,1,0,30,True,5,False,case4c,footballplayers
0.68,0.7083333333333334,0.9444444444444444,0.8095238095238096,17,0,7,1,bundesliga_1,25,9,34,True,5,False,case4c,footballplayers
0.8666666666666667,0.8666666666666667,1.0,0.9285714285714286,26,0,4,0,feltrinelli_1,30,3,29,True,5,False,case4c,books
0.6176470588235294,0.6060606060606061,1.0,0.7547169811320755,20,1,13,0,giunti_1,34,2,32,True,5,False,case4c,books
1.0,1.0,1.0,1.0,10,0,0,0,hoepli_1,10,1,28,True,5,False,case4c,books
0.6153846153846154,0.6153846153846154,1.0,0.761904761904762,8,0,5,0,laliga_1,13,5,28,True,5,False,case4c,footballplayers
